variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	spi_formula	spi_monoisotopic	spi_name	spi_KEGGpathwaysfamily	spi_KEGGpathways	spi_subpathways	supp_spi_annot	inchi	inchikey	pubchem	chebi	hmdb	kegg	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	OPLSDA_xload-p1_MX2	OPLSDA_xload-o1_MX2	OPLSDA_VIP-pred_MX2	OPLSDA_VIP-ortho_MX2	OPLSDA_coef_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_spi_annot.2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_QC	supp_Blanc	supp_Bio	supp_spi_annot.1	supp_blankMean_over_sampleMean	supp_pool_CV	supp_poolCV_over_sampleCV	supp_poolDil_cor	supp_poolDil_pval
M80.9749T438	hilic_neg	M80.9749T438	80.97493796	438.237004			8														0.183939135	0.113623187	0	-0.049587203	0.830765465	0	0.022909793	-0.011788488	-0.025428995	-0.02055536	1.463988488	0.980465215	-0.00115903	E	E	E	0.09339038	0.6944667	0	0.080866104	0.672307441	0	-0.021881487	-0.011619799	-0.00713277	-0.028136665	0.405438528	1.484495857	-0.000821701	E	E	E		80.97481542	80.97512001	428.1842065	442.2251337	60	18	0	42		2.55E-05	0.112816646	0.650543643	0.989909761	8.10E-10
M81.0146T1012	hilic_neg	M81.0146T1012	81.0146218	1012.110258			13														-0.13518737	0.693616214	0	-0.043081782	0.91992917	0	0.00590004	-0.003180361	0.005787884	-0.019528536	0.333217879	0.931486994	0.000306843	E	E	E	-0.19462496	0.673101397	0	0.129005589	0.718321904	0	-0.001494209	-0.001656266	0.006676037	-0.005141331	0.379477086	0.271257601	0.000793528	E	E	E		81.01448306	81.0147641	1008.997971	1014.732453	52	18	0	34		0.000244408	0.205079675	0.584150809	0.834209488	0.000741504
M81.0459T128	hilic_neg	M81.0459T128	81.04588941	128.2573103		[M-2H]2- 164.097	35														0.28103677	0.48998986	0	-0.013227884	0.989348054	0	-0.005143806	-0.004792879	-0.014871252	0.021214215	0.85616211	1.011891775	-0.00050116	E	E	E	-0.470481128	0.606703732	0	0.356637407	0.567615076	0	0.00250002	0.008273169	0.010596537	0.004393173	0.602324821	0.231784651	0.000980466	E	E	E		81.04576738	81.04605708	125.9891244	130.4072652	56	20	0	36		0.061209348	0.101159833	0.172778041	0.966513461	3.13E-07
M81.0459T100	hilic_neg	M81.0459T100	81.04590637	99.87784524		[M+Cl]- 46.078	5														1.089537385	0.509160372	0	-0.97995837	0.628615057	0	0.013088591	-0.012754305	-0.013372298	-0.018018939	0.769864855	0.859481052	-0.000500641	E	E	E	0.50628862	0.866025617	0	-0.22885023	0.920728046	0	-0.004057516	0.000612115	-0.002366209	-0.002684184	0.13449928	0.141618047	-0.000327182	E	E	E		81.04577844	81.04606825	98.55250235	101.1515213	37	19	0	18		0.054229086	0.144375554	0.126156478	0.85323941	0.00041687
M81.9912T993	hilic_neg	M81.9912T993	81.99115114	993.1509171		[M-3H]3- 248.991 [M-3H]3- 248.991	13														0.191255306	0.236568191	0	0.005895821	0.93954588	0	0.034073412	-0.001383661	-0.015931383	-0.050539794	0.917195569	2.410685568	-0.000841526	E	E	E	0.111064056	0.676864165	0	0.013391048	0.967484635	0	-0.025541965	-0.017755117	-0.012948525	-0.034413857	0.736015779	1.815681697	-0.000839836	E	E	E		81.99092575	81.99131712	985.0862782	997.7050292	67	24	1	42		0.004838967	0.190675893	0.92953023	0.985599373	4.76E-09
M82.03T159	hilic_neg	M82.03T159	82.02996184	158.9556085		[M-2H]2- 166.068	15														0.328399824	0.176908489	0	-0.323499754	0.201463154	0	0.020044058	-0.014971119	-0.018706623	-0.026158435	1.0769706	1.247724934	-0.000917469	E	E	E	0.336744637	0.385021143	0	-0.124776449	0.642580588	0	-0.022923793	-0.02226063	-0.018178453	-0.031980173	1.033293608	1.687280057	-0.001594802	E	E	E		82.02981694	82.0301192	157.3202122	160.9088492	60	18	0	42		0.025870135	0.26194935	0.743083631	0.983056351	1.07E-08
M82.03T300	hilic_neg	M82.03T300	82.0300004	299.5421072			220														0.288477128	0.458957914	0	-0.259679209	0.579511115	0	-0.001281286	-0.01239658	-0.017216011	0.016946744	0.99115368	0.808338687	-0.000558771	E	E	E	-0.727544902	0.750782065	0	-1.442436119	0.316912738	0	0.008546393	-0.009597983	0.011011061	0.000788902	0.625887045	0.041622643	0.000631288	E	E	E		82.02987757	82.03017858	297.033741	302.8866377	58	21	0	37		0.006293372	0.222598507	0.516544747	0.976250803	5.72E-08
M82.9543T187	hilic_neg	M82.9543T187	82.95430447	187.040644			19														-0.20601882	0.74055232	0	0.924572975	0.012101958	1	0.007508633	0.02507162	0.009499426	-0.015771063	0.546897343	0.75226018	0.000322688	E	E	E	0.701068324	0.377544704	0	1.089574579	0.017189648	1	-0.024620016	0.009949293	-0.017791889	-0.015561578	1.011320622	0.82103182	-0.001487794	E	E	E		82.95417873	82.95447723	185.9652281	188.3800286	66	24	0	42		5.99E-06	0.120596779	0.116566707	0.99967995	2.64E-17
M82.972T438	hilic_neg	M82.972T438	82.97202997	437.9851118			8														0.270013098	0.032427768	1	-0.059778199	0.808734003	0	0.022253589	-0.011377593	-0.029938107	-0.013880669	1.723585369	0.662090704	-0.001520463	E	E	E	0.120190996	0.649042229	0	0.135888143	0.43692629	0	-0.023344241	-0.008427419	-0.008338981	-0.027683067	0.474001577	1.460563935	-0.000986428	E	E	E		82.97190171	82.97221757	428.1842065	442.2251337	60	18	0	42		0.000149002	0.159276505	0.86651905	0.983625643	9.02E-09
M83.0365T193	hilic_neg	M83.0365T193	83.03648563	193.3267059			619														0.223601679	0.930846238	0	2.172856602	0.608334324	0	-0.006179355	0.009803245	-0.003168896	0.018800527	0.18243847	0.896761849	-4.50E-05	E	E	B	-4.589200722	0.40633068	0	0.979361088	0.799099031	0	0.009629423	0.009977456	0.021257736	0.010937068	1.208325194	0.577041809	0.001530173	E	E	A		83.0362389	83.03664975	192.2465022	197.8104336	50	24	2	24		0.056281161	0.07521987	0.039446878	0.936659287	7.22E-06
M83.495T464	hilic_neg	M83.495T464	83.49503546	463.8689417			3														0.447292862	0.07168031	0	-0.047644933	0.966452373	0	0.01273253	-0.013936038	-0.027295991	0.000606362	1.571474426	0.028922733	-0.001195394	E	E	E	0.481959041	0.24840313	0	-0.154991227	0.606355261	0	-0.012698974	-0.026604568	-0.034070343	-0.022609064	1.936615101	1.192858557	-0.00190065	E	E	E		83.4949032	83.49521355	456.7494077	469.0933988	66	24	0	42		4.89E-07	0.155590894	0.476515021	0.996283694	5.55E-12
M84.0218T610	hilic_neg	M84.0218T610	84.02177191	610.4425838			9														0.600964962	0.002011398	1	0.091733838	0.467813021	0	0.030563824	0.002625764	-0.036697605	-0.017057479	2.112740617	0.813620605	-0.001856316	C	E	E	0.117618624	0.6944667	0	-0.074468535	0.758563789	0	-0.019512418	-0.01512314	-0.009646435	-0.025876207	0.54831943	1.365233633	-0.00074924	E	E	E		84.02166117	84.02195429	609.842756	612.0861741	62	20	0	42		2.67E-05	0.12907744	0.449742196	0.997101978	1.60E-12
M84.9514T187	hilic_neg	M84.9514T187	84.95138066	186.729178			19														0.478338904	0.725975444	0	1.941853378	0.225209512	0	0.01381818	0.014578377	-0.001256183	-0.019949819	0.072320495	0.951581642	-0.000202886	E	E	E	1.616530926	0.532844694	0	2.593196367	0.0694924	0	-0.017889313	0.009119138	-0.016970666	-0.009683915	0.964640987	0.510925212	-0.001194383	E	E	E		84.95127272	84.95155428	185.538997	188.3800286	52	24	0	28		2.18E-05	0.114402599	0.096782192	0.996326192	5.24E-12
M84.9908T992	hilic_neg	M84.9908T992	84.99082764	992.1692132	[3][M]-		13														0.074937209	0.406879497	0	0.001960568	0.957378586	0	0.001339355	0.007352743	-0.017566408	0.018584305	1.011326593	0.886448318	-0.000742366	E	E	E	-0.031692347	0.849401029	0	0.024336551	0.856993991	0	-0.007558956	-0.004732684	0.007294831	-0.012934764	0.414650372	0.68244062	0.000441147	E	E	E		84.9906071	84.99099597	985.0862782	1015.322121	70	24	3	42		0.156465096	0.12932726	1.198919217	0.972409439	1.20E-07
M85.0296T611	hilic_neg	M85.0296T611	85.02963041	611.2361376	[4][M]-	[M-H]- 86.0346	9														0.29462291	0.025404394	1	0.116253811	0.290178632	0	0.027458873	0.0067905	-0.030588906	-0.01707476	1.761052914	0.814444909	-0.001473308	E	E	E	0.232098313	0.285976496	0	0.126571455	0.45289008	0	-0.02246076	-0.007720812	-0.031706479	-0.021840068	1.802249122	1.152286188	-0.001950838	E	E	E		85.0294987	85.02979446	610.761503	612.0656126	66	24	0	42		0.002969196	0.070660428	0.331148478	0.995289692	1.81E-11
M85.0296T477	hilic_neg	M85.0296T477	85.02960449	477.296783		[M-H-HCOOH]- 132.045	3														-0.108105221	0.706302883	0	-0.006938327	0.970512595	0	-0.002610631	0.009400439	0.004040426	0.000616937	0.232613871	0.02942714	0.000303326	E	E	E	-0.066592364	0.846719059	0	0.344402977	0.172744829	0	-0.007224265	0.024430157	0.010121699	0.006240922	0.575334258	0.329272257	0.000307968	E	E	E		85.02947357	85.02979448	464.5331436	480.9804273	70	24	0	42		0.015787756	0.2318366	0.723335222	0.933526658	9.14E-06
M85.4186T254_2	hilic_neg	M85.4186T254_2	85.41861743	254.0424493		[M+Cl]- 50.4482	1														0.304181452	0.272066141	0	0.03302706	0.904280069	0	0.016075014	0.001415915	-0.017304345	-0.013977875	0.996239189	0.666727333	-0.000750344	E	E	E	0.093738229	0.846719059	0	0.119258376	0.752480954	0	-0.017949328	-0.002579859	-0.007026692	-0.017866768	0.399408898	0.942654125	-0.000408943	E	E	E		85.41384852	85.42292743	243.1871809	264.0010052	42	18	0	22		8.39E-06	0.262003295	0.737310395	0.854102112	0.000405377
M85.4636T254_4	hilic_neg	M85.4636T254_4	85.46360746	254.3252517		[M-H]- 86.4786	1														0.423987735	0.113327694	0	-0.299053336	0.32629284	0	0.018208371	-0.008834882	-0.024881248	-0.012979493	1.432453799	0.619105716	-0.001047908	E	E	E	0.143681734	0.746941878	0	-0.206899093	0.53152987	0	-0.015130949	-0.010800851	-0.007357934	-0.0189047	0.418237213	0.997415581	-0.000587428	E	E	E		85.45925881	85.46855897	243.9968907	263.8799794	42	17	0	24		7.43E-06	0.277221227	0.777162475	0.923384867	1.83E-05
M85.4791T253	hilic_neg	M85.4791T253	85.47910624	253.2014193		[M-H]- 86.4786	1														0.409143413	0.200582933	0	-0.308449169	0.412735234	0	0.010980298	-0.008213936	-0.016233005	-0.007857566	0.934560437	0.374796152	-0.000878557	E	E	E	-0.45267138	0.565663464	0	-0.327508243	0.557861171	0	-0.000534905	-0.005411052	0.015661695	-0.006012566	0.89023688	0.317224151	0.001153401	E	E	E		85.47410589	85.48356395	242.8775863	262.3972875	48	18	0	27		8.71E-06	0.255288931	0.551761454	0.97664793	5.26E-08
M85.5184T254_1	hilic_neg	M85.5184T254_1	85.51843721	254.1180187		[M-H]- 86.5306	1														0.441555065	0.055231221	0	-0.318169465	0.180992014	0	0.010149939	-0.024170887	-0.028541388	0.002256494	1.643173974	0.107631981	-0.001251322	E	E	E	-0.035792299	0.955276407	0	-0.186540293	0.617570896	0	-0.012659588	-0.014818314	-0.002665438	-0.021030246	0.151507923	1.109559841	0.000141182	E	E	E		85.51374038	85.52357729	243.5232854	259.8323301	45	18	0	25		7.15E-06	0.275113416	0.841668001	0.911560601	3.67E-05
M85.5438T253_1	hilic_neg	M85.5438T253_1	85.54383497	252.6527523		[M-2H]2- 173.104	1														0.336071081	0.237339366	0	-0.327086703	0.277710827	0	0.005916319	-0.018161426	-0.023032118	0.005131851	1.325996382	0.244782947	-0.000825726	E	E	E	0.225836426	0.606703732	0	-0.077219911	0.806105084	0	-0.00986612	-0.008564339	-0.022666957	-0.010702264	1.288427641	0.564653495	-0.001027464	E	E	E		85.53868321	85.5484869	243.0795337	263.7638039	48	19	0	28		7.53E-06	0.294231867	0.825033492	0.976111441	5.89E-08
M85.5628T254_3	hilic_neg	M85.5628T254_3	85.5627764	253.5744142			1														0.131615625	0.806053475	0	-0.10312842	0.889964022	0	0.002430883	-0.00544225	-0.007966191	-0.001125399	0.458626516	0.05368016	-0.000214608	E	E	E	-0.145081853	0.776729597	0	-0.097160172	0.819737042	0	-0.01249714	-0.009223821	0.01253798	-0.019769853	0.712679714	1.043061262	0.000579988	E	E	E		85.5590073	85.56816811	243.0795337	262.9671805	46	14	0	31		7.12E-06	0.259572471	0.616327398	0.919864197	2.27E-05
M85.6151T253_2	hilic_neg	M85.6151T253_2	85.61508532	253.4705293			1														0.133750881	0.667590797	0	-0.130817603	0.734689352	0	0.009414567	-0.008468269	-0.013602398	-0.007718612	0.783112115	0.368168225	-0.000362096	E	E	E	0.09196796	0.853083977	0	-0.046317828	0.908017538	0	-0.020548691	-0.009140863	-0.0062827	-0.024129852	0.357119143	1.273095608	-0.000363809	E	E	E		85.60889726	85.61860041	244.7058844	259.9190691	40	9	0	31		6.46E-06	0.286367851	0.858631726	0.971130268	1.50E-07
M85.7137T253_5	hilic_neg	M85.7137T253_5	85.71370007	253.2881942			1														0.475392705	0.057379586	0	-0.380716381	0.127643934	0	0.013299142	-0.016516809	-0.025407283	-0.005792006	1.462738464	0.276271497	-0.001226464	E	E	E	0.04096646	0.948527608	0	0.007411451	0.987687513	0	-0.015404911	0.000761127	-0.001393015	-0.013720158	0.079181281	0.723878195	-0.000141783	E	E	E		85.70894978	85.7185823	242.6862881	261.3768216	47	14	0	31		6.09E-06	0.231297931	0.629479324	0.904085974	5.43E-05
M85.7379T253_6	hilic_neg	M85.7379T253_6	85.73793959	252.9513228			1														0.016167908	0.997814914	0	-0.215379431	0.326813493	0	0.011559092	-0.01037254	-0.007724708	-0.019625156	0.444723978	0.93609565	-5.58E-05	E	E	E	-0.088238866	0.848481331	0	-0.038692714	0.92285152	0	-0.013525047	-0.001753777	0.004344597	-0.014377855	0.246954125	0.758578385	0.00039333	E	E	E		85.73383067	85.7433082	244.1565954	260.5005421	44	17	0	27		6.28E-06	0.245800284	0.838193957	0.929459659	1.22E-05
M85.7743T254_4	hilic_neg	M85.7743T254_4	85.77432658	253.5087033		[M-H]- 86.789	1														0.373717605	0.183801842	0	-0.378644349	0.193346141	0	0.01699655	-0.014633486	-0.024032952	-0.015478993	1.383616027	0.738328798	-0.000898201	E	E	E	0.165388265	0.737656678	0	-0.08312238	0.831642267	0	-0.017153366	-0.008842251	-0.01299786	-0.019305517	0.738820043	1.018562774	-0.00063731	E	E	E		85.76891522	85.77837902	242.1581728	262.2860408	49	17	0	30		6.33E-06	0.275661457	0.739867154	0.897169637	7.60E-05
M85.7891T253_7	hilic_neg	M85.7891T253_7	85.78906167	252.8399035		[M-H]- 86.789	1														0.483771056	0.07168031	0	-0.20291595	0.589180796	0	0.015918281	-0.009757556	-0.019233735	-0.01189265	1.107317295	0.567264675	-0.001195865	E	E	E	0.324353373	0.558709276	0	-0.046647199	0.898008004	0	-0.014182626	-0.00803476	-0.01428202	-0.014968185	0.811813817	0.789724328	-0.001164788	E	E	E		85.78468554	85.79349994	241.6722283	262.9671805	53	22	0	30		6.24E-06	0.264486579	0.746316544	0.987418578	2.43E-09
M85.8048T253_8	hilic_neg	M85.8048T253_8	85.80484003	253.2703874		[M-H]- 86.8192	1														0.539917111	0.092877419	0	-0.011516331	0.955980423	0	0.026757464	0.003268726	-0.024764627	-0.025219956	1.425739712	1.202960667	-0.001098363	E	E	E	0.168323353	0.75458283	0	0.063400497	0.904110311	0	-0.019084453	0.000905356	-0.004894138	-0.016159957	0.278190944	0.852602422	-0.000615533	E	E	E		85.79865758	85.80859384	243.0389172	261.9440974	53	19	0	32		5.96E-06	0.283668957	0.761200166	0.899127365	6.93E-05
M85.8589T253_10	hilic_neg	M85.8589T253_10	85.85886976	253.1082766		[M-H]- 86.8733	1														0.161187703	0.714071478	0	-0.419585531	0.215268049	0	0.007663025	-0.011122741	-0.009837287	-0.011406129	0.566348545	0.544058228	-0.000339487	E	E	E	0.091958048	0.858303049	0	-0.21621685	0.584868831	0	-0.016402597	-0.011888072	-0.006660975	-0.021616474	0.378620913	1.140489309	-0.000326062	E	E	E		85.85378078	85.86362189	244.0940211	259.4687575	49	19	0	29		6.27E-06	0.277783349	0.689974598	0.975732314	6.36E-08
M85.8881T253_12	hilic_neg	M85.8881T253_12	85.88808413	253.3564515		[M-H]- 86.9029	1														0.140621808	0.715613712	0	-0.225689095	0.554459686	0	0.008697908	-0.004088405	-0.009310607	-0.011079977	0.536026711	0.528501192	-0.000323089	E	E	E	-0.221772411	0.661319343	0	-0.202039677	0.584868831	0	-0.010710339	-0.005227945	0.014186844	-0.015888027	0.806403891	0.838255379	0.000882683	E	E	E		85.88386595	85.89359088	244.1565954	260.4075892	48	20	0	28		6.11E-06	0.134507616	0.371772122	0.962849575	5.24E-07
M85.9032T253_13	hilic_neg	M85.9032T253_13	85.90317457	253.3718328		[M-H]- 86.9029	1														0.209614067	0.391850276	0	-0.22197442	0.40970693	0	0.014835641	-0.010347863	-0.01903488	-0.013909652	1.095868884	0.663473164	-0.000639269	E	E	E	0.192423055	0.671604419	0	0.01810159	0.976513608	0	-0.01855773	-0.007157391	-0.013360944	-0.019328762	0.759458366	1.019789219	-0.000839825	E	E	E		85.89900549	85.90858781	244.1565954	259.8323301	48	17	0	29		5.74E-06	0.194211504	0.650494895	0.981762615	1.54E-08
M85.969T252_1	hilic_neg	M85.969T252_1	85.96902223	252.2867991		[M+Cl]- 51.0006	1														0.039965996	0.950411779	0	-0.22095011	0.539537207	0	0.00655536	-0.00639111	-0.007324306	-0.009712735	0.421672181	0.463285425	-9.44E-05	E	E	E	-0.095442984	0.86734391	0	-0.08349422	0.860548724	0	-0.010081028	0.003199883	0.006073697	-0.007882514	0.345239079	0.415882966	0.000344884	E	E	E		85.96384228	85.97273677	243.4368429	260.9952392	49	19	0	26		6.25E-06	0.270755677	0.727849131	0.851579898	0.000439688
M85.9861T993	hilic_neg	M85.9861T993	85.9861029	993.2131823	[3][M+1]-		13														0.306151231	0.110037034	0	0.033902519	0.851281769	0	0.01617355	-0.006531458	-0.024025273	-0.006528549	1.383173935	0.311403682	-0.00105765	E	E	E	0.123662089	0.701388273	0	-0.08498485	0.747507296	0	0.000726385	-0.010860075	-0.019131131	-0.002362074	1.087445415	0.124623474	-0.00071587	E	E	E		85.98584692	85.98626692	986.6974271	998.2094429	67	24	1	42		0.020337577	0.170331714	0.768649862	0.9554824	1.28E-06
M85.9843T253_16	hilic_neg	M85.9843T253_16	85.98425837	253.0731458			1														0.450534566	0.079650594	0	-0.05792368	0.947740222	0	0.013566513	-0.004069491	-0.022030265	-0.003358665	1.268318083	0.160204158	-0.001162241	E	E	E	0.083067346	0.851890747	0	0.045266316	0.910608664	0	-0.011788972	0.002412887	0.001887992	-0.008901058	0.10731664	0.469621515	-0.000382917	E	E	E		85.97870861	85.98835808	242.8775863	259.1765407	52	20	0	30		5.61E-06	0.252644233	0.744300825	0.913065921	3.37E-05
M86.0249T190	hilic_neg	M86.0249T190	86.02491599	189.5071701			626														0.559673514	0.004256054	1	-0.392655728	0.020790339	1	0.023101811	-0.029218952	-0.036224825	-0.015149634	2.085521882	0.722618754	-0.001681112	E	E	E	0.468224573	0.067946485	0	-0.275987262	0.136170003	0	-0.012274573	-0.022189783	-0.035897298	-0.017271552	2.040462259	0.91125041	-0.002375915	E	E	E		86.02480001	86.02510061	186.0888922	195.0742025	66	24	0	42		1.75E-06	0.088764415	0.31442318	0.995940008	8.63E-12
M86.0261T254_6	hilic_neg	M86.0261T254_6	86.02606854	253.7175523		[M+Cl]- 51.0493	1														-0.326619909	0.506501868	0	-0.305596222	0.599607747	0	0.010181573	-0.003219417	0.00763827	-0.030875988	0.439747586	1.4727464	0.000444178	E	E	E	-0.382283596	0.626513199	0	0.394401758	0.449504285	0	0.001514807	0.015533773	0.010889384	0.008532941	0.618970774	0.450199625	0.000920208	E	E	E		86.02367783	86.03339424	241.2865258	265.5783062	56	17	0	34		5.88E-06	0.187443859	0.433032478	0.961779498	6.02E-07
