variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi
M178.9631T1000.55	hilic	M179T1001	178.963055781701	1000.55091980111			31	3	@M100.0017T1000.42|+(PO3)|@M134.9733T1000.63|+(CO2)|@M143.9915T1000.49|+Cl|+(Cl.)|@M184.9681T1000.74|-Li												
M183T1000.31	hilic	M183T1000	182.999979696712	1000.31338801423			31	3	@M122.9677T1000.49|+(NH3)+(CONH)|@M139.9944T1000.37|+(NHCO)|@M165.9734T1000.33|+(NH3)|+NH3|@M226.006T1000.41|-(NHCO)|@M226.9901T1000.43|-(CO2)												
M183.984T1000.39	hilic	M184T1000	183.984019735808	1000.38583534534		[M+Cl+NH3]- 131.989 [M+Cl+NH3]- 131.989	31	3	@M139.9944T1000.37|+(CO2)|@M165.9734T1000.33|+(H2O)|@M205.966T1000.31|-Na|@M226.006T1000.41|-(CH2N2)|@M226.9901T1000.43|-(NHCO)|@M227.9741T1000.36|-(CO2)												
M185.9714T1000.79	hilic	M186T1001	185.971403094871	1000.78545064886	[203][M+1]-		31	3	@M184.9681T1000.74|+13C|@M186.9723T1000.95|-13C|-15N|@M207.9533T1000.6|-Na												
M186.9723T1000.95	hilic	M187T1001	186.972296028516	1000.95356955468	[203][M+2]-		31	3	@M143.0075T1000.41|+2Na|@M168.9617T1000.61_1|+(H2O)|@M184.9681T1000.74|+18O|+13C2|@M185.9714T1000.79|+13C|+15N												
M189.9428T1000.61	hilic	M190T1001	189.942799964633	1000.60945724085	[215][M+1]-		31	3	@M167.9608T1000.57|+Na|@M188.9395T1000.58|+13C|@M190.9437T1000.68_1|-13C|-15N												
M190.9437T1000.68_1	hilic	M191T1001_1	190.943701475156	1000.67979364132	[215][M+2]-		31	3	@M168.9617T1000.61_1|+Na|@M188.9395T1000.58|+18O|+13C2|@M189.9428T1000.61|+13C|+15N|@M205.966T1000.31|-(CH3.)|@M249.956T1000.37|-(CH3COO.)												
M190.9551T1000.68_2	hilic	M191T1001_2	190.955106149309	1000.67979364132		[3M+2Cl]2- 103.994 [3M+2Cl]2- 103.994	31	3	@M168.9731T1000.88_2|+Na|@M234.9451T1000.69|-(CO2)												
M205.966T1000.31	hilic	M206T1000	205.965973506193	1000.31106468509			31	3	@M183.984T1000.39|+Na|@M188.9395T1000.58|+(NH3)|+NH3|@M190.9437T1000.68_1|+(CH3.)|@M248.972T1000.35|-(NHCO)|@M249.956T1000.37|-(CO2)												
M206.95T1000.64	hilic	M207T1001	206.950044466354	1000.64389389394	[255][M]-	[M+Cl+NaCOOH]- 103.994 [M+Cl+NaCOOH]- 103.994	31	3	@M184.9681T1000.74|+Na|@M188.9395T1000.58|+(H2O)|@M207.9533T1000.6|-13C|@M249.956T1000.37|-(NHCO)|@M250.9401T1000.68|-(CO2)												
M207.9533T1000.6	hilic	M208T1001	207.953292146726	1000.60402462526	[255][M+1]-		31	3	@M185.9714T1000.79|+Na|@M206.95T1000.64|+13C												
M212.9631T1000.91	hilic	M213T1001	212.963086761897	1000.90689759677		[M+Cl+HCOOH]- 131.989 [M+Cl+HCOOH]- 131.989	31	3	@M168.9731T1000.88_2|+(CO2)|@M234.9451T1000.69|-Na												
M226.006T1000.41	hilic	M226T1000	226.00604817016	1000.40728372684		[M-H+CF3COOH]- 93.0249 [M+Cl]- 191.035	31	3	@M165.9734T1000.33|+(NH3)+(CONH)|@M183T1000.31|+(NHCO)|@M183.984T1000.39|+(CH2N2)												
M226.9901T1000.43	hilic	M227T1000	226.990056320772	1000.42913395038			31	3	@M165.9734T1000.33|+(NH3)+(CO2)|@M183T1000.31|+(CO2)|@M183.984T1000.39|+(NHCO)|@M184.9681T1000.74|+(CH2N2)|@M248.972T1000.35|-Na												
M228.9321T1000.49	hilic	M229T1000	228.93205506192	1000.49291271195	[298][M]-	[M-H-CO2]- 273.929	31	3	@M229.9354T1000.47|-13C|@M230.9363T1000.7_1|-18O|-13C2|@M256.9272T1000.62|-(CO)|@M271.938T1000.29|-(NHCO)|@M272.9222T1000.57|-(CO2)|@M296.9197T1000.5|-(HCOONa)												
M228.9579T1000.78	hilic	M229T1001	228.95792562814	1000.77787018131	[299][M]-	[2M-2H+Na]- 103.994 [2M-2H+Na]- 103.994	31	3	@M184.9681T1000.74|+(CO2)|@M229.9614T1000.78|-13C|@M250.9401T1000.68|-Na|@M272.9222T1000.57|-2Na												
M229.9354T1000.47	hilic	M230T1000	229.935439831824	1000.47043510411	[298][M+1]-		31	3	@M165.9734T1000.33|+(SO2)|@M228.9321T1000.49|+13C|@M230.9363T1000.7_1|-13C|-15N|@M273.9255T1000.65|-(CO2)|@M359.8981T1000.53|-(HCOOH)-(HCOOK)												
M229.9614T1000.78	hilic	M230T1001	229.961372279415	1000.77812114174	[299][M+1]-		31	3	@M228.9579T1000.78|+13C|@M251.9435T1000.71|-Na												
M230.9363T1000.7_1	hilic	M231T1001_1	230.936256988122	1000.69523765589	[298][M+2]-		31	3	@M143.0075T1000.41|+4Na|@M228.9321T1000.49|+18O|+13C2|@M229.9354T1000.47|+13C|+15N|@M314.9003T1000.51_1|-(HCOOK)												
M234.9451T1000.69	hilic	M235T1001	234.945103062382	1000.69023099337		[M+Cl+NaCOOH]- 131.989 [M+Cl+NaCOOH]- 131.989	31	3	@M190.9551T1000.68_2|+(CO2)|@M212.9631T1000.91|+Na|@M256.9272T1000.62|-Na												
M248.972T1000.35	hilic	M249T1000	248.971989683286	1000.35443636333		[2M-2H+K]- 106.01	31	3	@M188.9395T1000.58|+(NH3)+(CONH)|@M205.966T1000.31|+(NHCO)|@M226.9901T1000.43|+Na|@M336.8953T1000.39_1|-4Na												
M249.956T1000.37	hilic	M250T1000	249.956002715128	1000.37437785674			31	3	@M188.9395T1000.58|+(NH3)+(CO2)|@M190.9437T1000.68_1|+(CH3COO.)|@M205.966T1000.31|+(CO2)|@M206.95T1000.64|+(NHCO)|@M227.9741T1000.36|+Na|@M271.938T1000.29|-Na												
M250.9401T1000.68	hilic	M251T1001	250.940069822111	1000.67979364132	[342][M]-		31	3	@M206.95T1000.64|+(CO2)|@M228.9579T1000.78|+Na|@M251.9435T1000.71|-13C|@M252.9444T1000.75|-18O|-13C2|@M272.9222T1000.57|-Na												
M251.9435T1000.71	hilic	M252T1001	251.943505626332	1000.71068167047	[342][M+1]-		31	3	@M229.9614T1000.78|+Na|@M250.9401T1000.68|+13C|@M252.9444T1000.75|-13C|-15N|@M273.9255T1000.65|-Na												
M252.9444T1000.75	hilic	M253T1001	252.944392084037	1000.74690790863	[342][M+2]-		31	3	@M250.9401T1000.68|+18O|+13C2|@M251.9435T1000.71|+13C|+15N												
M256.9272T1000.62	hilic	M257T1001	256.927204552513	1000.6173688797			31	3	@M228.9321T1000.49|+(CO)|@M234.9451T1000.69|+Na												
M271.938T1000.29	hilic	M272T1000	271.9380123518	1000.28933996935		[M+Cl]- 236.964	31	3	@M227.9741T1000.36|+2Na|@M228.9321T1000.49|+(NHCO)|@M249.956T1000.37|+Na|@M335.9T1000.47|-(SO2)												
M272.9222T1000.57	hilic	M273T1001	272.922166945271	1000.57215295088	[385][M]-	[M-H]- 273.929	31	3	@M228.9321T1000.49|+(CO2)|@M228.9579T1000.78|+2Na|@M250.9401T1000.68|+Na|@M273.9255T1000.65|-13C|@M274.9263T1000.58|-18O|-13C2|@M294.904T1000.49|-Na												
M273.9255T1000.65	hilic	M274T1001	273.925487575956	1000.65071690721	[385][M+1]-		31	3	@M229.9354T1000.47|+(CO2)|@M251.9435T1000.71|+Na|@M272.9222T1000.57|+13C|@M274.9263T1000.58|-13C|-15N|@M295.9071T1000.54|-Na												
M274.9263T1000.58	hilic	M275T1001	274.926325405841	1000.57637130508	[385][M+2]-		31	3	@M272.9222T1000.57|+18O|+13C2|@M273.9255T1000.65|+13C|+15N												
M294.904T1000.49	hilic	M295T1000	294.903966906179	1000.48520148654	[431][M]-	[M-2H+Na]- 273.929	31	3	@M272.9222T1000.57|+Na|@M295.4058T1000.62|-13Cdb|@M295.9071T1000.54|-13C|@M296.9197T1000.5|-(H2)|@M340.9094T1000.61|-(HCOOH)|-(H2O-CO)|@M362.8916T1000.49|-(HCOONa)												
M295.4058T1000.62	hilic	M295T1001	295.405845603776	1000.61645280657		[M-H-COCH2]- 338.409	31	3	@M294.904T1000.49|+13Cdb|@M295.9071T1000.54|-13Cdb												
M295.9071T1000.54	hilic	M296T1001	295.907116457776	1000.53506365229	[431][M+1]-		31	3	@M273.9255T1000.65|+Na|@M294.904T1000.49|+13C|@M295.4058T1000.62|+13Cdb												
M296.9197T1000.5	hilic	M297T1000	296.919656887941	1000.49751015029			31	3	@M228.9321T1000.49|+(HCOONa)|@M294.904T1000.49|+(H2)												
M303.9223T1000.55	hilic	M304T1001	303.922340911359	1000.54876893412			31	3	@M325.9043T1000.41|-Na												
M312.9148T1000.55	hilic	M313T1001	312.914752769076	1000.54876893412			31	3	@M314.9135T1000.6_2|-34S|-41K|-37Cl|@M356.9046T1000.61|-(CO2)												
M314.9003T1000.51_1	hilic	M315T1001_1	314.900265644806	1000.50955445495		[M-H-CO]- 343.912	31	3	@M230.9363T1000.7_1|+(HCOOK)|@M317.907T1000.39|-13C3|-13C-18O|@M348.8878T1000.44|-(H2S)												
M314.9135T1000.6_2	hilic	M315T1001_2	314.913458340598	1000.60203851593		[M-H-CO]- 343.912	31	3	@M312.9148T1000.55|+34S|+41K|+37Cl												
M317.907T1000.39	hilic	M318T1000	317.906993527416	1000.38583534534		[M-H]- 318.916	31	3	@M314.9003T1000.51_1|+13C3|+13C+18O|@M401.8712T1000.48|-(HCOOK)												
M325.9043T1000.41	hilic	M326T1000	325.904341102	1000.40728372684	[504][M]-	[M-H]- 326.915	31	3	@M303.9223T1000.55|+Na|@M326.4061T1000.64|-13Cdb|@M347.8862T1000.35_1|-Na|@M441.8904T1000.61_2|-(H3PO4)-(H2O)												
M326.4061T1000.64	hilic	M326T1001	326.406116301796	1000.64389389394		[M-H]- 327.409	31	3	@M325.9043T1000.41|+13Cdb												
M334.8967T1000.43	hilic	M335T1000	334.896724449643	1000.42913395038	[518][M]-		31	3	@M335.9T1000.47|-13C|@M336.8953T1000.39_1|-34S|-41K|-37Cl|@M337.8975T1000.58|-13C-37Cl|-13C-34S|@M340.9094T1000.61|-Li|@M362.8916T1000.49|-(CO)|@M378.8865T1000.47|-(CO2)												
M334.9225T1000.66	hilic	M335T1001	334.922456611946	1000.65642392971			31	3	@M356.9046T1000.61|-Na												
M335.9T1000.47	hilic	M336T1000	335.899998748153	1000.47043510411	[518][M+1]-		31	3	@M271.938T1000.29|+(SO2)|@M334.8967T1000.43|+13C|@M336.8953T1000.39_1|-15N|@M337.8975T1000.58|-34S|-41K|-37Cl												
M336.8953T1000.39_1	hilic	M337T1000_1	336.895307965085	1000.38583534534	[518][M+2]-		31	3	@M248.972T1000.35|+4Na|@M334.8967T1000.43|+34S|+41K|+37Cl|@M335.9T1000.47|+15N|@M337.3969T1000.43_2|-13Cdb|@M337.8975T1000.58|-13C												
M337.3969T1000.43_2	hilic	M337T1000_2	337.396941553764	1000.42913395038		[M-H]- 338.409	31	3	@M336.8953T1000.39_1|+13Cdb												
M337.8975T1000.58	hilic	M338T1001	337.897492525704	1000.58447709469	[518][M+3]-		31	3	@M334.8967T1000.43|+13C+37Cl|+13C+34S|@M335.9T1000.47|+34S|+41K|+37Cl|@M336.8953T1000.39_1|+13C												
M340.9094T1000.61	hilic	M341T1001	340.909429794377	1000.60945724085		[M-H+NaCOOH]- 273.929	31	3	@M294.904T1000.49|+(HCOOH)|+(H2O-CO)|@M334.8967T1000.43|+Li|@M362.8916T1000.49|-Na												
M347.8862T1000.35_1	hilic	M348T1000_1	347.886217026998	1000.35443636333	[535][M]-	[M-2H+Na]- 326.915	31	3	@M325.9043T1000.41|+Na|@M348.3878T1000.47_2|-13Cdb|@M348.8878T1000.44|-13C|-15N|@M359.8981T1000.53|-2Li												
M348.3878T1000.47_2	hilic	M348T1000_2	348.387814793269	1000.4715311195		[M-2H+Na]- 327.409	31	3	@M347.8862T1000.35_1|+13Cdb|@M348.8878T1000.44|-13Cdb												
M348.8878T1000.44	hilic	M349T1000	348.887759930371	1000.43504806345	[535][M+1]-		31	3	@M314.9003T1000.51_1|+(H2S)|@M347.8862T1000.35_1|+13C|+15N|@M348.3878T1000.47_2|+13Cdb												
M356.9046T1000.61	hilic	M357T1001	356.904603638016	1000.60601073459	[550][M]-		31	3	@M312.9148T1000.55|+(CO2)|@M334.9225T1000.66|+Na|@M357.9079T1000.65|-13C|@M358.9087T1000.7|-18O|-13C2|@M378.8865T1000.47|-Na												
M357.9079T1000.65	hilic	M358T1001	357.907903816817	1000.65071690721	[550][M+1]-		31	3	@M356.9046T1000.61|+13C|@M358.9087T1000.7|-13C|-15N|@M379.8894T1000.54|-Na												
M358.9087T1000.7	hilic	M359T1001	358.908740238239	1000.69523765589	[550][M+2]-		31	3	@M356.9046T1000.61|+18O|+13C2|@M357.9079T1000.65|+13C|+15N												
M359.8981T1000.53	hilic	M360T1001	359.898142699303	1000.52833120595	[550][M+3]-		31	3	@M229.9354T1000.47|+(HCOOH)+(HCOOK)|@M347.8862T1000.35_1|+2Li												
M362.8916T1000.49	hilic	M363T1000	362.891596437354	1000.48688701242		[2M+Cl]- 163.967	31	3	@M294.904T1000.49|+(HCOONa)|@M334.8967T1000.43|+(CO)|@M340.9094T1000.61|+Na												
M367.8825T1000.33_1	hilic	M368T1000_1	367.882464232905	1000.32551341585	[568][M]2-		31	3	@M368.3842T1000.49_3|-13Cdb|@M401.8712T1000.48|-(H2S)												
M368.3842T1000.49_3	hilic	M368T1000_3	368.384214105608	1000.48688701242	[568][M+1]2-		31	3	@M367.8825T1000.33_1|+13Cdb												
M378.8865T1000.47	hilic	M379T1000	378.886473511827	1000.47036023095	[585][M]-	[M+Cl]- 343.912	31	3	@M334.8967T1000.43|+(CO2)|@M356.9046T1000.61|+Na|@M379.3882T1000.52|-13Cdb|@M379.8894T1000.54|-13C|@M400.8685T1000.43_1|-Na|@M440.887T1000.57|-(H2O)-(CO2)|@M441.8904T1000.61_2|-Na-CH3CN												
M379.3882T1000.52	hilic	M379T1001	379.388171675793	1000.52159875961		[M+Cl+NH3]- 327.409	31	3	@M378.8865T1000.47|+13Cdb												
M379.8894T1000.54	hilic	M380T1001	379.889387453876	1000.5429917267	[585][M+1]-		31	3	@M357.9079T1000.65|+Na|@M378.8865T1000.47|+13C|@M441.8904T1000.61_2|-(H2O)-(CO2)|@M451.8778T1000.54|-(CO2)-(CO)												
M400.8685T1000.43_1	hilic	M401T1000_1	400.868479798881	1000.42913395038	[615][M]2-	[M-2H]2- 803.751	31	3	@M378.8865T1000.47|+Na|@M401.3701T1000.47_2|-13Cdb|@M401.8712T1000.48|-13C|@M468.8558T1000.61|-(HCOONa)												
M401.3701T1000.47_2	hilic	M401T1000_2	401.370081929257	1000.47043510411	[615][M+1]2-		31	3	@M400.8685T1000.43_1|+13Cdb|@M401.8712T1000.48|-13Cdb												
M401.8712T1000.48	hilic	M402T1000	401.871191361147	1000.48489618814	[615][M+2]2-		31	3	@M317.907T1000.39|+(HCOOK)|@M367.8825T1000.33_1|+(H2S)|@M400.8685T1000.43_1|+13C|@M401.3701T1000.47_2|+13Cdb|@M473.8598T1000.46|-(CO2)-(CO)												
M418.9052T1000.64	hilic	M419T1001	418.905165575713	1000.64389389394		[M-H]- 419.912	31	3	@M462.8691T1000.47|-2Na												
M440.861T1000.43	hilic	M441T1000	440.861045147923	1000.42913395038	[655][M]-	[M-H]- 441.868	31	3	@M468.8558T1000.61|-(CO)|@M484.8509T1000.48|-(CO2)												
M440.887T1000.57	hilic	M441T1001	440.887022263227	1000.56793459668	[656][M]-	[M-2H+Na]- 419.912	31	3	@M378.8865T1000.47|+(H2O)+(CO2)|@M441.8904T1000.61_2|-13C|@M462.8691T1000.47|-Na|@M484.8509T1000.48|-2Na												
M441.8904T1000.61_2	hilic	M442T1001_2	441.890387360038	1000.60834099033	[656][M+1]-		31	3	@M325.9043T1000.41|+(H3PO4)+(H2O)|@M378.8865T1000.47|+Na+CH3CN|@M379.8894T1000.54|+(H2O)+(CO2)|@M440.887T1000.57|+13C|@M485.8544T1000.6|-2Na												
M451.8778T1000.54	hilic	M452T1001	451.877808645086	1000.5419162932			31	3	@M379.8894T1000.54|+(CO2)+(CO)|@M473.8598T1000.46|-Na												
M462.8691T1000.47	hilic	M463T1000	462.869061296163	1000.47385429411		[M-H]- 463.872	31	3	@M418.9052T1000.64|+2Na|@M440.887T1000.57|+Na|@M524.8691T1000.55|-(H2O)-(CO2)												
M468.8558T1000.61	hilic	M469T1001	468.855802906055	1000.61402006288			31	3	@M400.8685T1000.43_1|+(HCOONa)|@M440.861T1000.43|+(CO)												
M473.8598T1000.46	hilic	M474T1000	473.859751134881	1000.46281240007		[M-H]- 474.871	31	3	@M401.8712T1000.48|+(CO2)+(CO)|@M451.8778T1000.54|+Na												
M480.8533T1000.49	hilic	M481T1000	480.853335414962	1000.4882672399			31	3	@M484.8509T1000.48|-44Ca|@M526.8414T1000.49|-(CH2S)|@M559.8144T1000.38|-(PO3)												
M484.8509T1000.48	hilic	M485T1000	484.850949462907	1000.48489618814	[692][M]-	[M-2H+Na]- 463.872	31	3	@M440.861T1000.43|+(CO2)|@M440.887T1000.57|+2Na|@M480.8533T1000.49|+44Ca|@M485.8544T1000.6|-13C|@M506.8326T1000.48|-Na												
M485.8544T1000.6	hilic	M486T1001	485.854396151701	1000.60004276844	[692][M+1]-		31	3	@M441.8904T1000.61_2|+2Na|@M484.8509T1000.48|+13C|@M507.8361T1000.54|-Na|@M557.8417T1000.53|-(CO2)-(CO)												
M504.86T1000.49	hilic	M505T1000	504.859973526924	1000.4882672399			31	3	@M526.8414T1000.49|-Na												
M506.8326T1000.48	hilic	M507T1000	506.832603309272	1000.48489618814	[712][M]-	[M+Cl+NH3]- 454.854	31	3	@M484.8509T1000.48|+Na|@M507.8361T1000.54|-13C												
M507.8361T1000.54	hilic	M508T1001	507.836126741703	1000.54476667815	[712][M+1]-		31	3	@M485.8544T1000.6|+Na|@M506.8326T1000.48|+13C												
M524.8691T1000.55	hilic	M525T1001	524.869140680909	1000.54984436761			31	3	@M462.8691T1000.47|+(H2O)+(CO2)|@M546.8509T1000.57|-Na												
M526.8414T1000.49	hilic	M527T1000	526.84144139764	1000.4883152736		[3M+Cl]- 163.967	31	3	@M480.8533T1000.49|+(CH2S)|@M504.86T1000.49|+Na												
M537.8323T1000.59	hilic	M538T1001	537.832285428773	1000.59407480229		[M-H]- 538.836	31	3	@M559.8144T1000.38|-Na												
M546.8252T1000.41	hilic	M547T1000	546.825151878082	1000.40728372684			31	3	@M590.815T1000.4|-(CO2)												
M546.8509T1000.57	hilic	M547T1001	546.850897980001	1000.56793459668		[2M-H]- 273.929	31	3	@M524.8691T1000.55|+Na|@M568.8328T1000.53|-Na												
M557.8417T1000.53	hilic	M558T1001	557.841690516978	1000.52833120595			31	3	@M485.8544T1000.6|+(CO2)+(CO)												
M559.8144T1000.38	hilic	M560T1000	559.814392932843	1000.38010660104		[M-2H+Na]- 538.836	31	3	@M480.8533T1000.49|+(PO3)|@M537.8323T1000.59|+Na|@M621.8147T1000.52|-(H2O)-(CO2)												
M568.8328T1000.53	hilic	M569T1001	568.832848782616	1000.52833120595		[2M-2H+Na]- 273.929	31	3	@M546.8509T1000.57|+Na|@M590.815T1000.4|-Na												
M590.815T1000.4	hilic	M591T1000	590.815044864721	1000.39655953609		[M+Cl+NH3]- 538.836	31	3	@M546.8252T1000.41|+(CO2)|@M568.8328T1000.53|+Na|@M612.7967T1000.37|-Na												
M612.7967T1000.37	hilic	M613T1000	612.796722891282	1000.37437785674	[790][M]-		31	3	@M590.815T1000.4|+Na|@M613.8001T1000.49|-13C												
M613.8001T1000.49	hilic	M614T1000	613.800053235089	1000.48550678493	[790][M+1]-		31	3	@M612.7967T1000.37|+13C												
M621.8147T1000.52	hilic	M622T1001	621.814674259602	1000.52159875961		[M-H]- 622.827	31	3	@M559.8144T1000.38|+(H2O)+(CO2)												
M82.9542T186.2	hilic	M83T186	82.9541974138741	186.198264055845		[M-H-C2H4]- 111.99	22	4	@M84.9512T186.3|-34S|-41K|-37Cl|@M144.9546T186.99|-(H2O)-(CO2)												
M146.9517T187.07	hilic	M147T187	146.951719374881	187.070236376933			22	4	@M84.9512T186.3|+(H2O)+(CO2)|@M144.9546T186.99|+34S|+41K|+37Cl												
M87.0452T152.97	hilic	M87T153	87.0452013781343	152.965413882579		[M-H-CH2]- 102.067	25	5	@M88.0486T153.14_2|-13C	Isobutyric acid	C4H8O2	88.05243	C02632	Microbial Metabolism	Microbial Metabolism	Microbial Metabolism	CHEBI:16135	HMDB01873	CID6590	KQNPFQTWMSNSAP-UHFFFAOYSA-N	InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)
