variableMetadata	chromato	namecustom	mz	rt	isotopes	adduct	pcgroup	BiH_base_POS_QTof_Plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.name.M.Formule.M.H..M.H...th.Intensite...Tr.Masse.Exp.Delta.ppm.	BiH_Pool_Qtof_Pos_plasma.txt_.MzDelta_Query.Bank.0.005Da..MzBank.RtQuery.RtDelta_Query.Bank.0.2min...RtBank.G.N.compound.composition.Formule.M.H...M.H....Th...TR.Masse.exo.delta.ppm.	BiH_DB_Lipids_POS.MzDelta_Query.Bank.0.005Da..MzBank.m.z..M.H...Formule.Brute..M..Annotation..Lipid.class.and.subclass.RT.min..	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	PCA_xload-p1_LAT	PCA_xload-p2_LAT	OPLSDA_xload-p1_LAT	OPLSDA_xload-o1_LAT	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-ortho_LAT	OPLSDA_coef_LAT	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	PCA_xload-p1_MX2	PCA_xload-p2_MX2	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	supp_mzmin	supp_mzmax	supp_rtmin	supp_rtmax	supp_npeaks	supp_Sample	supp_BLC	supp_fold	supp_tstat	supp_pvalue	supp_pool_CV	supp_poolCV_over_sampleCV
M139.0502T1.18_3	c18acqui_pos	M139.0502T1.18_3	139.0502276	1.1821734	[189][M]+	[M+H-CH4]+ 154.07	1		0.000127595217#139.0501#0.10782660043167#1.29#34#942#Nicotinamide N-oxide#C6H6N2O2#C6H7N2O2#139.050208#NA#1.29#139.0501#-0.78|0.000127595217#139.0501#0.09782660043167#1.28#43#1079#6-Aminopyridine-3-carboxylic acid#C6H6N2O2#C6H7N2O2#139.05021#NA#1.28#139.0501#-0.79|0.000127595217#139.0501#0.11782660043167#1.3#46#1077#2-Aminopyridine-3-carboxylic acid#C6H6N2O2#C6H7N2O2#139.05021#100#1.3#139.0501#-0.79|0.000027595217#139.0502#0.05217339956833#1.13#47#1071#5-Aminopyridine-3-carboxylic acid#C6H6N2O2#C6H7N2O2#139.05021#NA#1.13#139.0502#-0.07|0.000072404783#139.0503#0.11782660043167#1.3#25#677#4-Imidazoleacrylic acid (urocanic acid)#C6H6N2O2#C6H7N2O2#139.05021#100#1.3#139.0503#0.65|0.000072404783#139.0503#0.11782660043167#1.3#48#1073#4-Amino-nicotinic acid#C6H6N2O2#C6H7N2O2#139.05021#NA#1.3#139.0503#0.65|0.000072404783#139.0503#0.11782660043167#1.3#48#1138#beta-Pseudouridine [M+H-C3H6O4]+#NA#C6H7N2O2#139.050204#100#1.3#139.0503#0.69		0.303636275	0.627633596	0	0.085902882	0.741587212	0	-0.006045799	-0.012322892	-0.026635514	-0.010416329	1.493434043	0.517785586	-0.001848379	E	E	E	0.442482902	0.300146134	0	-0.261444584	0.26408713	0	0.006360094	-0.002801175	E	E	E	139.04214	139.0503986	1.068233356	1.367538553	57	50	2	26.26064284	-15.84374701	0	0.079146566	0.179874186
M130.0499T1.19_2	c18acqui_pos	M130.0499T1.19_2	130.0499152	1.187446925	[176][M]+		1	0.000215171373#130.0497#0.00255307459962#1.19#QP [M+H-C5H10N2O]+#NA#C5H8NO3#130.04987#15.67#1.19#130.0497#-1.307|0.000184828627#130.0501#0.01744692540038#1.17#N-alpha-Acetyl-L-Glutamine frag 2 [M+H-C2H5ON]+#NA#C5H8NO3#130.04987#19.39#1.17#130.0501#1.769			0.111044743	0.741524149	0	-0.093995833	0.560595567	0	0.010145991	-0.016747944	-0.022650209	-0.012331234	1.269980869	0.612973669	-0.001410865	E	E	E	0.050203273	0.859989667	0	-0.379207004	0.000816755	1	0.029093393	-0.007769111	E	E	E	130.0497528	130.05005	1.01710408	1.385404616	68	50	0	74.24293305	-33.74760198	0	0.12314984	0.640274734
M169.0356T1.18_2	c18acqui_pos	M169.0356T1.18_2	169.0356294	1.182014043	[252][M]+		1		0.000129420055#169.0355#0.19798595684817#1.38#19#274#Uric acid#C5H4N4O3#C5H5N4O3#169.03558#NA#1.38#169.0355#-0.47		-0.011591971	0.940936593	0	-0.608517239	0.018623928	1	0.027846535	-0.003335616	-0.004280764	0.009515411	0.240019323	0.473001841	6.35E-05	E	E	E	-0.44500804	0.176678451	0	-0.911084721	1.67E-05	1	0.032937705	-0.00689942	E	E	E	169.0354479	169.035835	1.174215855	1.192230263	50	50	0	313.7821263	-18.74016594	0	0.166523816	0.431486631
M169.0109T1.19_1	c18acqui_pos	M169.0109T1.19_1	169.0109277	1.185962817			1				-1.326976087	0.66311886	0	-0.4753261	0.715374393	0	0.009194086	0.003414421	0.020434462	0.02061918	1.145745535	1.024959431	0.001651682	E	E	C	-1.608059848	0.517448394	0	0.336629536	0.7693612	0	-0.005626749	0.019409916	E	E	C	169.0105542	169.0116008	1.178615262	1.194088425	7	7	0	255.5657474	-11.96739177	4.44E-16	0.159368285	0.247738196
M112.0505T1.18	c18acqui_pos	M112.0505T1.18	112.0504811	1.179056356		[M+H-CH2]+ 125.065	1		0.000081108164#112.0504#0.01094364409675#1.19#8#10#Cytidine [M+H-C5H8O4]+#NA#C4H6N3O#112.050538#100#1.19#112.0504#-1.23|0.000018891836#112.0505#0.09094364409675#1.27#13#142#Cytosine#C4H5N3O#C4H6N3O#112.050542#NA#1.27#112.0505#-0.37|0.000118891836#112.0506#0.04094364409675#1.22#51#377#2'-Deoxycytidine 5'-monophosphate [M+H-C5H9O6P]+#NA#C4H6N3O#112.050538#79.41#1.22#112.0506#0.55		0.286826743	0.290017155	0	-0.158109826	0.322156748	0	0.008684906	-0.028537069	-0.042760768	0.006952122	2.397565375	0.345583219	-0.003044129	E	E	E	0.356430227	0.096118721	0	-0.32330202	0.01741832	1	0.019030346	0.012756926	E	E	E	112.0389669	112.0505948	1.169256302	1.215466676	49	48	1	204.48431	-30.09660221	0	0.064357354	0.288728009
M202.1801T1.18_2	c18acqui_pos	M202.1801T1.18_2	202.1801449	1.182014043	[341][M]+	[M+H-COCH2]+ 243.187	1				-0.031121403	0.928929237	0	-0.158660909	0.308885775	0	0.011638799	-0.03552454	0.004510716	0.006382033	0.252912574	0.317244685	0.000326386	E	E	E	0.019470511	0.970638426	0	-0.141396568	0.329115117	0	0.016191469	-0.017262004	E	E	E	202.1799288	202.1804122	1.174215855	1.192230263	50	50	0	260.9696525	-35.74662167	0	0.054126648	0.271820432
M91.0388T1.19_1	c18acqui_pos	M91.0388T1.19_1	91.03881784	1.194670425			1				0.094596596	0.7874508	0	-0.155292011	0.216321938	0	0.016104062	0.025963408	-0.021296846	0.012653778	1.194098758	0.629006998	-0.001258522	E	E	E	0.041854722	0.910831394	0	-0.118631409	0.333595141	0	0.007555217	0.002613051	E	E	E	91.03872948	91.0389246	1.184387431	1.203107604	50	50	0	57.18421516	-42.65249622	0	0.130478497	0.820322221
M165.0755T1.21	c18acqui_pos	M165.0755T1.21	165.0755093	1.207218865	[247][M]+	[M+Na+NH3]+ 125.065	1				0.956878023	0.784971383	0	0.364836955	0.808043804	0	-0.005064789	0.004858104	-0.012983673	0.009256993	0.727985174	0.460156157	-0.001137473	E	E	C	2.006406228	0.352397139	0	0.654445472	0.647647822	0	-0.007222197	-0.004174796	E	E	C	165.0750821	165.0756844	1.195636289	1.219817027	10	10	0	177.041551	-13.27768991	0	0.108357287	0.179459566
M152.0543T1.18_2	c18acqui_pos	M152.0543T1.18_2	152.0542552	1.18469433	[221][M+2]+		1		0.002344789274#152.0566#0.05530566973138#1.24#45#1102#Guanine#C5H5N5O#C5H6N5O#152.05669#NA#1.24#152.0566#-0.59		-0.024692521	0.947170816	0	-0.005659131	0.967070868	0	-0.005099414	0.012546997	0.002408009	-0.004690856	0.135015348	0.233177882	0.000350048	E	E	E	0.060234843	0.910831394	0	0.145484193	0.32585229	0	-0.012300028	0.023640594	E	E	E	152.0541113	152.0553169	1.174215855	1.194979621	50	50	0	19.16482885	-28.87101659	2.42E-11	0.034470899	0.183181282
M177.1022T1.21	c18acqui_pos	M177.1022T1.21	177.1022119	1.213035398	[263][M+3]+		1				0.616331028	0.562413276	0	0.342913786	0.438406269	0	-0.003719588	-0.006521602	-0.027581443	0.020469063	1.546471616	1.017497253	-0.002012401	E	E	C	0.963800209	0.185799607	0	0.349861455	0.516685612	0	-0.006239065	0.008865702	E	E	E	177.1020003	177.1032118	1.198650821	1.42461222	51	47	0	161.1755373	-14.2797053	0	0.274375609	0.52843503
M133.0608T1.18_2	c18acqui_pos	M133.0608T1.18_2	133.0608225	1.181809456	[184][M]+		1		0.000122528482#133.0607#0.10819054410741#1.29#37#395#3-Ureidopropionic acid#C4H8N2O3#C4H9N2O3#133.060772#100#1.29#133.0607#-0.54		0.260296416	0.650255041	0	0.665092389	0.015507595	1	-0.022817786	0.028140939	-0.013374812	0.003452751	0.749916065	0.171632892	-0.001267261	E	E	E	0.423547657	0.546368528	0	0.775298049	0.01030558	1	-0.02877614	0.014124187	E	E	E	133.0606258	133.0611679	1.02450277	1.373548853	55	50	0	38.93254098	-16.56902512	0	0.125595936	0.292521822
M215.0162T1.19_1	c18acqui_pos	M215.0162T1.19_1	215.0162066	1.187316152	[380][M]+	[M+Na+K-H]+ 154.07	1				0.388080884	0.037000058	1	0.091613985	0.335859454	0	-0.009612593	0.012273579	-0.053504796	-0.004449929	2.999975299	0.221201653	-0.004083527	D	E	E	0.067546385	0.882086778	0	-0.033047966	0.832980832	0	0.002345097	0.023310369	E	E	E	215.0159869	215.016437	0.979210403	1.197516655	51	50	0	144.3684808	-31.73394758	0	0.109534672	0.517309133
M324.1291T1.19	c18acqui_pos	M324.1291T1.19	324.1290999	1.191080594	[803][M]+		1				0.318895831	0.409728324	0	0.364937263	0.059483367	0	-0.015388407	0.032786918	-0.028969548	0.00272846	1.624301649	0.135629121	-0.002161287	E	E	E	0.004840851	0.998680808	0	0.140988339	0.577521744	0	-0.007721906	0.027751562	E	E	E	324.1287843	324.1293539	1.181603465	1.198994377	7	7	0	171.8584896	-22.22993596	0	0.119121263	0.363829353
M218.1387T1.19_2	c18acqui_pos	M218.1387T1.19_2	218.1387012	1.194339537			1	0.000198768238#218.1389#0.13433953658807#1.06#Propionyl-L-carnitine# C10H19NO4# C10H20NO4#218.138685#100#1.06#218.1389#0.986			0.091698758	0.849148599	0	0.392130644	0.102713736	0	-0.026938677	-0.012274307	-0.003357097	-0.051781904	0.188230025	2.574028201	-0.000566183	E	E	E	-0.010695716	0.986859531	0	0.195311242	0.389575258	0	-0.007278246	-0.019640901	E	E	E	218.1382479	218.1389632	1.184548801	1.203107604	48	48	0	145.9687668	-18.97938461	0	0.170805336	0.452632025
M282.1545T1.19_2	c18acqui_pos	M282.1545T1.19_2	282.1545338	1.187316152		[M+K]+ 243.187	1				-1.668225778	0.57191538	0	0.684338112	0.712976328	0	0.000702423	0.008473514	0.023439646	0.009021137	1.314244033	0.448431987	0.002067922	E	E	B	-0.411396156	0.910685044	0	-0.159828963	0.911893804	0	0.002497857	-0.012905222	E	E	E	282.1526891	282.1553665	1.180165799	1.197516655	11	11	0	87.85324274	-12.14974871	2.22E-16	0.268634547	0.424155961
M55.0542T1.18	c18acqui_pos	M55.0542T1.18	55.05419068	1.181603465		[M+H-HCOOH]+ 100.055	1				0.044243819	0.951108192	0	-0.063049045	0.83209795	0	0.000923564	0.003662463	-0.001172738	0.003502813	0.065754557	0.174121446	-0.000348349	E	E	E	0.0859555	0.897245903	0	0.019382195	0.950004946	0	0.003470562	0.006262271	E	E	E	55.05392216	55.05431986	1.172526328	1.38122531	51	50	0	24.6105663	-26.7381104	0	0.156360171	0.599564298
