variableMetadata	chromato	name	chebi_id	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M123.0178T990.62	hilic										NA			M123T991	123.017787788321	990.620004760413			14	4	@M81.9912T993.04|+(CH3CN)|+(C2H3N)
M139.9944T993.58	hilic										NA			M140T994	139.994426620178	993.582143644315		[M+Cl+NH3]- 87.9938 [M+Cl+NH3]- 87.9938	14	4	@M143.0077T993.11|-13C3|@M161.9764T993.88|-Na|@M183.0002T992.91|-(NHCO)|@M183.9842T992.81|-(CO2)
M161.9764T993.88	hilic										NA			M162T994	161.976395567448	993.884055541235			14	4	@M139.9944T993.58|+Na|@M165.9736T992.98|-44Ca|@M204.9823T993.88|-(NHCO)|@M205.9662T993.61|-(CO2)|@M331.971T993.73|-(C3H7O6P)
M165.9736T992.98	hilic										NA			M166T993	165.973602170826	992.979658617324		[M-2H+Na]- 144.996	14	4	@M161.9764T993.88|+44Ca|@M183.0002T992.91|-(NH3)|-NH3|@M183.9842T992.81|-(H2O)
M183.0002T992.91	hilic										NA			M183T993	183.000174443637	992.908090697177			14	4	@M139.9944T993.58|+(NHCO)|@M165.9736T992.98|+(NH3)|+NH3|@M204.9823T993.88|-Na
M183.9842T992.81	hilic										NA			M184T993	183.98422526673	992.813901742493			14	4	@M139.9944T993.58|+(CO2)|@M165.9736T992.98|+(H2O)|@M205.9662T993.61|-Na|@M227.9743T993.82_2|-(CO2)
M204.9823T993.88	hilic										NA			M205T994	204.982328315229	993.884055541235		[M-H]- 205.991 [M-H]- 205.991	14	4	@M161.9764T993.88|+(NHCO)|@M183.0002T992.91|+Na|@M247.9883T993.74|-(NHCO)|@M248.9723T993.65|-(CO2)|@M265.999T993.84|-(NH3)-(CO2)
M205.9662T993.61	hilic										NA			M206T994	205.966232262883	993.609555738802			14	4	@M161.9764T993.88|+(CO2)|@M183.9842T992.81|+Na|@M247.9883T993.74|-(CH2N2)|@M248.9723T993.65|-(NHCO)|@M249.9563T993.63_1|-(CO2)|@M265.999T993.84|-(NH3)-(CONH)|@M273.9541T993.6|-(HCOONa)
M227.9743T993.82_2	hilic										NA			M228T994_2	227.974312910646	993.819910667847			14	4	@M183.9842T992.81|+(CO2)|@M249.9563T993.63_1|-Na
M247.9883T993.74	hilic										NA			M248T994	247.988275450109	993.738850924037			14	4	@M204.9823T993.88|+(NHCO)|@M205.9662T993.61|+(CH2N2)|@M265.999T993.84|-(H2O)
M248.9723T993.65	hilic										NA			M249T994	248.972263653795	993.652097929855			14	4	@M204.9823T993.88|+(CO2)|@M205.9662T993.61|+(NHCO)|@M265.999T993.84|-(NH3)|-NH3
M249.9563T993.63_1	hilic										NA			M250T994_1	249.956305592175	993.625888774107		[M+Cl+HCOOH]- 168.976	14	4	@M205.9662T993.61|+(CO2)|@M227.9743T993.82_2|+Na|@M271.9384T993.85|-Na
M265.999T993.84	hilic										NA			M266T994	265.998960223003	993.837828401286			14	4	@M204.9823T993.88|+(NH3)+(CO2)|@M205.9662T993.61|+(NH3)+(CONH)|@M247.9883T993.74|+(H2O)|@M248.9723T993.65|+(NH3)|+NH3
M271.9384T993.85	hilic										NA			M272T994	271.938397533325	993.845117697651		[M+Cl+NaCOOH]- 168.976	14	4	@M249.9563T993.63_1|+Na|@M272.9407T993.96|-13C|@M273.9541T993.6|-(H2)|@M288.965T993.72|-(NH3)|-NH3|@M331.971T993.73|-(NH3)-(CONH)|@M332.955T993.68|-(NH3)-(CO2)|@M339.9259T993.63|-(HCOONa)
M272.9407T993.96	hilic										NA			M273T994	272.9406609932	993.96257640954			14	4	@M271.9384T993.85|+13C
M273.9541T993.6	hilic										NA			M274T994	273.954076270758	993.596098715205			14	4	@M205.9662T993.61|+(HCOONa)|@M271.9384T993.85|+(H2)
M288.965T993.72	hilic										NA			M289T994	288.964974713946	993.717545998828		[2M-H]- 144.996	14	4	@M271.9384T993.85|+(NH3)|+NH3|@M331.971T993.73|-(NHCO)|@M332.955T993.68|-(CO2)|@M356.9522T993.69_2|-(HCOONa)
M311.9311T993.74	hilic										NA			M312T994	311.931071207343	993.740366600783		[2M-3H]3- 469.402	14	4	@M339.9259T993.63|-(CO)|@M353.9528T993.27|-(CH2N2)|@M354.9369T993.71|-(NHCO)|@M355.921T993.74_1|-(CO2)|@M356.9522T993.69_2|-(NH3CO)|@M371.9634T993.65|-(NH3)-(CONH)|@M379.9186T993.44|-(HCOONa)
M324.9207T993.64_1	hilic										NA			M325T994_1	324.920734087977	993.639446290625		[2M-2H+K]- 143.988	14	4	@M500.8942T993.65|-2(HCOOH)-(HCOOK)|@M520.9338T993.54|-(C5H9O6P)
M331.971T993.73	hilic										NA			M332T994	331.970974043927	993.734449138872			14	4	@M161.9764T993.88|+(C3H7O6P)|@M271.9384T993.85|+(NH3)+(CONH)|@M288.965T993.72|+(NHCO)|@M353.9528T993.27|-Na|@M419.8939T993.37|-4Na
M332.955T993.68	hilic										NA			M333T994	332.954994932936	993.684296349231			14	4	@M271.9384T993.85|+(NH3)+(CO2)|@M288.965T993.72|+(CO2)|@M354.9369T993.71|-Na
M333.939T993.65	hilic										NA			M334T994	333.939020226177	993.649723531854			14	4	@M355.921T993.74_1|-Na
M339.9259T993.63	hilic										NA			M340T994	339.925894203135	993.629043358679		[M+Cl]- 304.956	14	4	@M271.9384T993.85|+(HCOONa)|@M311.9311T993.74|+(CO)|@M356.9522T993.69_2|-(NH3)|-NH3|@M419.8939T993.37|-(HPO3)
M344.9169T993.37	hilic										NA			M345T993	344.916937045174	993.366625238536	[487][M]2-		14	4	@M460.9017T993.71|-(H3PO4)-(H2O)
M353.9528T993.27	hilic										NA			M354T993	353.952766586357	993.269495163592			14	4	@M311.9311T993.74|+(CH2N2)|@M331.971T993.73|+Na|@M371.9634T993.65|-(H2O)
M354.9369T993.71	hilic										NA			M355T994	354.936919661583	993.708349613207	[501][M]2-		14	4	@M311.9311T993.74|+(NHCO)|@M332.955T993.68|+Na|@M356.9522T993.69_2|-(H2)|@M371.9634T993.65|-(NH3)|-NH3|@M414.9696T993.96|-(NH3)-(CONH)|@M415.9535T993.65|-(NH3)-(CO2)|@M422.9247T993.63|-(HCOONa)
M355.921T993.74_1	hilic										NA			M356T994_1	355.920983716683	993.740366600783	[504][M]2-		14	4	@M311.9311T993.74|+(CO2)|@M333.939T993.65|+Na|@M356.9244T993.75_1|-13C|@M377.903T993.63_1|-Na|@M407.9196T993.27_1|-(H2S)-(H2O)|@M415.9535T993.65|-(NH3)-(CONH)|@M416.9377T993.76|-(NH3)-(CO2)
M356.9244T993.75_1	hilic										NA			M357T994_1	356.924429072643	993.754546678487	[504][M+2]2-		14	4	@M355.921T993.74_1|+13C
M356.9522T993.69_2	hilic										NA			M357T994_2	356.952168044075	993.692086335363		[M+Cl+NH3]- 304.956	14	4	@M288.965T993.72|+(HCOONa)|@M311.9311T993.74|+(NH3CO)|@M339.9259T993.63|+(NH3)|+NH3|@M354.9369T993.71|+(H2)
M371.9634T993.65	hilic										NA			M372T994	371.963448270527	993.654472327856		[M+Cl]- 336.99 [M+Cl]- 336.99	14	4	@M311.9311T993.74|+(NH3)+(CONH)|@M353.9528T993.27|+(H2O)|@M354.9369T993.71|+(NH3)|+NH3|@M414.9696T993.96|-(NHCO)
M377.903T993.63_1	hilic										NA			M378T994_1	377.90295428712	993.629043358679	[527][M]2-		14	4	@M355.921T993.74_1|+Na|@M379.9186T993.44|-(H2)|@M394.9294T993.71|-(NH3)|-NH3|@M399.8847T993.91|-Na|@M422.9247T993.63|-(NH3CO)|@M437.9355T993.58|-(NH3)-(CONH)|@M438.9195T993.72|-(NH3)-(CO2)|@M439.9035T993.75|-(H2O)-(CO2)
M379.9186T993.44	hilic										NA			M380T993	379.918571057623	993.437975620867			14	4	@M311.9311T993.74|+(HCOONa)|@M377.903T993.63_1|+(H2)|@M422.9247T993.63|-(NHCO)
M394.9294T993.71	hilic										NA			M395T994	394.929407472301	993.708349613207			14	4	@M377.903T993.63_1|+(NH3)|+NH3|@M422.9247T993.63|-(CO)|@M437.9355T993.58|-(NHCO)|@M438.9195T993.72|-(CO2)|@M454.9621T993.67|-(NH3)-(CONH)
M399.8847T993.91	hilic										NA			M400T994	399.884718431303	993.91142682262		[M+Cl+HCOOH]- 318.919	14	4	@M377.903T993.63_1|+Na|@M417.8957T993.88|-(H2O)|@M461.8857T993.69_1|-(H2O)-(CO2)
M407.9196T993.27_1	hilic										NA			M408T993_1	407.919624235182	993.272966075471		[M+Cl+NaCOOH]- 304.956	14	4	@M355.921T993.74_1|+(H2S)+(H2O)
M408.9035T993.38	hilic										NA			M409T993	408.903460767017	993.378198166511		[M-H+NaCOOH]- 341.922	14	4	@M430.8853T993.4|-Na|@M460.9017T993.71|-(H2S)-(H2O)|@M500.8942T993.65|-(CH2S)-(HCOOH)
M414.9696T993.96	hilic										NA			M415T994	414.969616543899	993.96257640954		[M+Cl]- 379.997	14	4	@M354.9369T993.71|+(NH3)+(CONH)|@M371.9634T993.65|+(NHCO)
M415.9535T993.65	hilic										NA			M416T994	415.953511359147	993.649723531854			14	4	@M354.9369T993.71|+(NH3)+(CO2)|@M355.921T993.74_1|+(NH3)+(CONH)
M416.9377T993.76	hilic										NA			M417T994	416.937684805425	993.759195061012		[M-2H+K]- 379.997	14	4	@M355.921T993.74_1|+(NH3)+(CO2)|@M438.9195T993.72|-Na
M417.8957T993.88	hilic										NA			M418T994	417.895674588641	993.884055541235	[560][M]-	[M-H+NH3]- 401.877	14	4	@M399.8847T993.91|+(H2O)|@M419.8939T993.37|-34S|-41K|-37Cl|@M460.9017T993.71|-(NHCO)|@M461.8857T993.69_1|-(CO2)|@M477.9281T993.68|-(NH3)-(CONH)
M419.8939T993.37	hilic										NA			M420T993	419.893897154949	993.372411702523	[560][M+2]-		14	4	@M331.971T993.73|+4Na|@M339.9259T993.63|+(HPO3)|@M417.8957T993.88|+34S|+41K|+37Cl
M422.9247T993.63	hilic										NA			M423T994	422.924747460405	993.629043358679			14	4	@M354.9369T993.71|+(HCOONa)|@M377.903T993.63_1|+(NH3CO)|@M379.9186T993.44|+(NHCO)|@M394.9294T993.71|+(CO)
M430.8853T993.4	hilic										NA			M431T993	430.885347527591	993.398323466354			14	4	@M408.9035T993.38|+Na|@M606.8586T993.49|-2(HCOOH)-(HCOOK)
M437.9355T993.58	hilic										NA			M438T994	437.935521273199	993.583219073193		[M-H+CF3COOH]- 304.956	14	4	@M377.903T993.63_1|+(NH3)+(CONH)|@M394.9294T993.71|+(NHCO)|@M454.9621T993.67|-(NH3)|-NH3
M438.9195T993.72	hilic										NA			M439T994	438.919504979685	993.717545998828			14	4	@M377.903T993.63_1|+(NH3)+(CO2)|@M394.9294T993.71|+(CO2)|@M416.9377T993.76|+Na|@M460.9017T993.71|-Na
M439.9035T993.75	hilic										NA			M440T994	439.903529290481	993.746284062693	[576][M]2-		14	4	@M377.903T993.63_1|+(H2O)+(CO2)|@M461.8857T993.69_1|-Na|@M483.8675T993.71|-2Na|@M505.8491T993.86|-3Na|@M523.8599T993.73|-(HCOOK)
M454.9621T993.67	hilic										NA			M455T994	454.96205738191	993.667072785901			14	4	@M394.9294T993.71|+(NH3)+(CONH)|@M437.9355T993.58|+(NH3)|+NH3
M460.9017T993.71	hilic										NA			M461T994	460.901727616172	993.708349613207	[582][M]2-		14	4	@M344.9169T993.37|+(H3PO4)+(H2O)|@M408.9035T993.38|+(H2S)+(H2O)|@M417.8957T993.88|+(NHCO)|@M438.9195T993.72|+Na|@M477.9281T993.68|-(NH3)|-NH3|@M520.9338T993.54|-(NH3)-(CONH)|@M521.9179T993.73|-(NH3)-(CO2)|@M522.9018T993.75|-(H2O)-(CO2)|@M528.889T993.54|-(HCOONa)
M461.8857T993.69_1	hilic										NA			M462T994_1	461.885703629308	993.68829580351	[583][M]2-		14	4	@M399.8847T993.91|+(H2O)+(CO2)|@M417.8957T993.88|+(CO2)|@M439.9035T993.75|+Na|@M483.8675T993.71|-Na|@M505.8491T993.86|-2Na|@M521.9179T993.73|-(NH3)-(CONH)|@M522.9018T993.75|-(NH3)-(CO2)
M477.9281T993.68	hilic										NA			M478T994	477.92809540565	993.679036572531			14	4	@M417.8957T993.88|+(NH3)+(CONH)|@M460.9017T993.71|+(NH3)|+NH3|@M520.9338T993.54|-(NHCO)|@M521.9179T993.73|-(CO2)
M483.8675T993.71	hilic										NA			M484T994	483.867518316471	993.708349613207	[591][M]2-		14	4	@M439.9035T993.75|+2Na|@M461.8857T993.69_1|+Na|@M500.8942T993.65|-(NH3)|-NH3|@M505.8491T993.86|-Na|@M528.889T993.54|-(NH3CO)|@M543.8998T993.65|-(NH3)-(CONH)|@M544.8839T993.74|-(NH3)-(CO2)|@M545.8677T993.8|-(H2O)-(CO2)|@M551.855T993.47|-(HCOONa)
M500.8942T993.65	hilic										NA			M501T994	500.894177388064	993.649723531854			14	4	@M324.9207T993.64_1|+2(HCOOH)+(HCOOK)|@M408.9035T993.38|+(CH2S)+(HCOOH)|@M483.8675T993.71|+(NH3)|+NH3|@M528.889T993.54|-(CO)|@M543.8998T993.65|-(NHCO)|@M544.8839T993.74|-(CO2)|@M560.9262T993.51|-(NH3)-(CONH)
M505.8491T993.86	hilic										NA			M506T994	505.849092031965	993.861697757937	[603][M+1]-		14	4	@M439.9035T993.75|+3Na|@M461.8857T993.69_1|+2Na|@M483.8675T993.71|+Na
M520.9338T993.54	hilic										NA			M521T994	520.933789208481	993.537394787707			14	4	@M324.9207T993.64_1|+(C5H9O6P)|@M460.9017T993.71|+(NH3)+(CONH)|@M477.9281T993.68|+(NHCO)
M521.9179T993.73	hilic										NA			M522T994	521.917854645352	993.72674238445			14	4	@M460.9017T993.71|+(NH3)+(CO2)|@M461.8857T993.69_1|+(NH3)+(CONH)|@M477.9281T993.68|+(CO2)|@M543.8998T993.65|-Na
M522.9018T993.75	hilic										NA			M523T994	522.901773416771	993.746284062693		[M-H+CF3COOH]- 389.92	14	4	@M460.9017T993.71|+(H2O)+(CO2)|@M461.8857T993.69_1|+(NH3)+(CO2)|@M544.8839T993.74|-Na
M523.8599T993.73	hilic										NA			M524T994	523.859894140708	993.730595761661		[M-H+NH3]- 507.843	14	4	@M439.9035T993.75|+(HCOOK)|@M525.8578T993.3_1|-34S|-41K|-37Cl|@M551.855T993.47|-(CO)|@M566.8658T993.49|-(NHCO)|@M567.8497T993.65|-(CO2)|@M583.8923T993.46|-(NH3)-(CONH)
M525.8578T993.3_1	hilic										NA			M526T993_1	525.857812795503	993.29978719936	[610][M+1]-		14	4	@M523.8599T993.73|+34S|+41K|+37Cl
M528.889T993.54	hilic										NA			M529T994	528.888979194967	993.537394787707		[M+Cl]- 493.921	14	4	@M460.9017T993.71|+(HCOONa)|@M483.8675T993.71|+(NH3CO)|@M500.8942T993.65|+(CO)
M543.8998T993.65	hilic										NA			M544T994	543.899842932133	993.64984922257		[3M-2H+K]- 168.976	14	4	@M483.8675T993.71|+(NH3)+(CONH)|@M500.8942T993.65|+(NHCO)|@M521.9179T993.73|+Na|@M560.9262T993.51|-(NH3)|-NH3
M544.8839T993.74	hilic										NA			M545T994	544.883901919639	993.736650031455	[618][M]-	[M+Cl+HCOOH]- 463.919	14	4	@M483.8675T993.71|+(NH3)+(CO2)|@M500.8942T993.65|+(CO2)|@M522.9018T993.75|+Na|@M566.8658T993.49|-Na
M545.8677T993.8	hilic										NA			M546T994	545.867737483174	993.800924191624	[618][M+1]-		14	4	@M483.8675T993.71|+(H2O)+(CO2)|@M567.8497T993.65|-Na
M551.855T993.47	hilic										NA			M552T993	551.854952095041	993.466988239507		[M+Cl]- 516.882	14	4	@M483.8675T993.71|+(HCOONa)|@M523.8599T993.73|+(CO)
M560.9262T993.51	hilic										NA			M561T994	560.926224684126	993.508493413165			14	4	@M500.8942T993.65|+(NH3)+(CONH)|@M543.8998T993.65|+(NH3)|+NH3
M566.8658T993.49	hilic										NA			M567T993	566.865801434055	993.492094351209	[629][M]-	[M+Cl+NaCOOH]- 463.919	14	4	@M523.8599T993.73|+(NHCO)|@M544.8839T993.74|+Na
M567.8497T993.65	hilic										NA			M568T994	567.84969811813	993.649723531854	[629][M+1]-		14	4	@M523.8599T993.73|+(CO2)|@M545.8677T993.8|+Na|@M589.8317T993.51|-Na
M583.8923T993.46	hilic										NA			M584T993	583.892323368404	993.460304721639		[3M-2H]2- 389.92	14	4	@M523.8599T993.73|+(NH3)+(CONH)
M589.8317T993.51	hilic										NA			M590T994	589.831709962472	993.514744569458		[M+Cl]- 554.865	14	4	@M567.8497T993.65|+Na|@M606.8586T993.49|-(NH3)|-NH3|@M649.8642T993.37|-(NH3)-(CONH)
M606.8586T993.49	hilic										NA			M607T993	606.858566526555	993.489317340279		[M+Cl+HCOOH]- 525.878 [M+Cl+NH3]- 554.865	14	4	@M430.8853T993.4|+2(HCOOH)+(HCOOK)|@M589.8317T993.51|+(NH3)|+NH3|@M649.8642T993.37|-(NHCO)
M649.8642T993.37	hilic										NA			M650T993	649.86416518798	993.366625238536		[M-H+CF3COOH]- 516.882	14	4	@M589.8317T993.51|+(NH3)+(CONH)|@M606.8586T993.49|+(NHCO)
M82.9543T186.9	hilic										NA			M83T187	82.9543062485523	186.898607568742			813	5	@M84.9514T186.64|-34S|-41K|-37Cl
M84.0218T610.39	hilic										NA			M84T610	84.0217719126357	610.390215970191			10	6	@M112.0123T611.28|-(CO)|@M128.0117T610.93|-(CO2)|@M146.0223T610.17|-(H2O)-(CO2)
M95.0064T610.19	hilic										NA			M95T610	95.0063972512647	610.185869247952	[27][M]2-	[M-2H]2- 192.026	10	6	@M95.5081T610.34_1|-13Cdb|@M96.0085T610.17_2|-13C|@M112.0123T611.28|-(OH.)
M95.5081T610.34_1	hilic										NA			M96T610_1	95.5080538894784	610.339850023314	[27][M+1]2-		10	6	@M95.0064T610.19|+13Cdb|@M96.0085T610.17_2|-13Cdb
M96.0085T610.17_2	hilic										NA			M96T610_2	96.0085342001144	610.171554846553	[27][M+2]2-		10	6	@M95.0064T610.19|+13C|@M95.5081T610.34_1|+13Cdb
M112.0123T611.28	hilic										NA			M112T611	112.012301627806	611.281770796534	[42][M+1]-		10	6	@M84.0218T610.39|+(CO)|@M95.0064T610.19|+(OH.)|@M111.0089T611.16|+13C|@M192.0234T610.93|-2(H2O)-(CO2)
M128.0117T610.93	hilic										NA			M128T611	128.011726772449	610.933528171626		[M-H-H20]- 147.03	10	6	@M84.0218T610.39|+(CO2)|@M111.0089T611.16|+(OH.)|@M146.0223T610.17|-(H2O)
M146.0223T610.17	hilic										NA			M146T610	146.022290733609	610.171147494403		[3M-H+Cl]2- 86.0345 [M-H]- 147.03	10	6	@M84.0218T610.39|+(H2O)+(CO2)|@M128.0117T610.93|+(H2O)|@M130.9987T610.5|+(CH3.)|@M192.0234T610.93|-(HCOOH)|-(H2O-CO)
M191.02T610.93	hilic	Citric acid|Isocitric acid	CHEBI:30769|CHEBI:30887	C00158|C00311	Amino acid metabolism|Carbohydrate metabolism	Alanine, Aspartate and Glutamate|Citrate Cycle|Glyoxylate and dicarboxylate metabolism	Glutamate|Krebs cycle|Citrate	HMDB00094|HMDB00193	CID311|CID1198	C6H8O7	192.027	KRKNYBCHXYNGOX-UHFFFAOYSA-N|ODBLHEXUDAPZAU-UHFFFAOYSA-N	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)|InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)	M191T611	191.020009497449	610.931248670165	[207][M]-	[M-H]- 192.026	10	6	@M111.0089T611.16|+2(H2O)+(CO2)|@M130.9987T610.5|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M192.0234T610.93|-13C|@M193.024T610.93|-18O|-13C2|@M194.0274T611.15|-13C3|-13C-18O
M85.0296T611.19	hilic										NA			M85T611	85.0296242643131	611.193118216582	[4][M]-	[M-H]- 86.0345	10	7	@M129.0196T611.36|-(CO2)
M130.0228T611.4	hilic										NA			M130T611	130.022816582936	611.39507022689	[78][M+1]-		10	7	@M129.0196T611.36|+13C|@M174.0128T611.49|-(CO2)
M173.0094T611.44	hilic	cis-Aconitic acid|Dehydroascorbic acid|trans-Aconitic acid	CHEBI:32805|CHEBI:17242|CHEBI:32806	C00417|C02341	Carbohydrate metabolism	Ascorbate and Aldarate metabolism|Citrate Cycle|Glyoxylate and dicarboxylate metabolism	Others|Krebs cycle|Citrate	HMDB00072|HMDB01264|HMDB00958	CID643757|CID835|CID444212	C6H6O6	174.0164	GTZCVFVGUGFEME-IWQZZHSRSA-N|SBJKKFFYIZUCET-UHFFFAOYSA-N|GTZCVFVGUGFEME-HNQUOIGGSA-N	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-|InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2|InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1+	M173T611	173.009434403931	611.44138210297	[161][M]-	[M-H-H20]- 192.026	10	7	@M129.0196T611.36|+(CO2)|@M174.0128T611.49|-13C|@M175.0136T611.51_1|-18O|-13C2
M87.0089T179.61	hilic										NA			M87T180	87.0088671570841	179.61452883344	[6][M]-		22	8	@M88.0122T179.61|-13C|@M89.0132T179.85|-18O|-13C2
M87.9727T437.04	hilic										NA			M88T437	87.972745508922	437.038429342645			9	9	@M89.9698T437.1|-34S|-41K|-37Cl
M299.9861T436.99_1	hilic										NA			M300T437_1	299.986124882143	436.990035067955			9	9	@M301.9831T436.78|-34S|-41K|-37Cl|@M303.9802T436.73|-44Ca
M301.9831T436.78	hilic										NA			M302T437	301.983115578163	436.780851021038		[M+Cl+NH3]- 249.987 [M+Cl+NH3]- 249.987	9	9	@M89.9698T437.1|+(C5H9O7P)|@M299.9861T436.99_1|+34S|+41K|+37Cl|@M303.9802T436.73|-34S|-41K|-37Cl|@M305.9773T436.78|-44Ca
M303.9802T436.73	hilic										NA			M304T437	303.980178402612	436.730845519256		[M-H]- 304.987 [M-H]- 304.987	9	9	@M299.9861T436.99_1|+44Ca|@M301.9831T436.78|+34S|+41K|+37Cl|@M305.9773T436.78|-34S|-41K|-37Cl
M305.9773T436.78	hilic										NA			M306T437	305.977272071941	436.780629434152		[M+Cl+NH3]- 253.983 [M+Cl+NH3]- 253.983	9	9	@M301.9831T436.78|+44Ca|@M303.9802T436.73|+34S|+41K|+37Cl
M88.0123T526.98_2	hilic										NA			M88T527_2	88.0122604380051	526.98156089255	[8][M+1]-		18	10	@M176.0284T526.96|-(C3H4O3)
M175.0251T526.99	hilic	D-(+)-Glucuronic acid γ-lactone;Glucuronolactone			Carbohydrate metabolism	Ascorbate and Aldarate metabolism	Sucrose		CID439782	C6H8O6	176.03209	OGLCQHRZUSEXNB-SMAHDKISSA-N	InChI=1S/C6H8O6/c7-1-3-4(12-5(1)9)2(8)6(10)11-3/h1-5,7-9H/t1-,2-,3-,4-,5?/m1/s1	M175T527	175.025067679039	526.990080436443	[168][M]-	[M+Cl]- 140.053	18	10	@M176.0284T526.96|-13C|@M177.0292T526.96|-18O|-13C2|@M237.0257T526.97|-(H2O)-(CO2)|@M351.0576T526.86|-(C6H8O6)
M352.0609T526.87	hilic										NA			M352T527	352.060868729482	526.865893082956	[495][M+1]-		18	10	@M176.0284T526.96|+(C6H8O6)|@M351.0576T526.86|+13C
M88.0405T456.37	hilic	β-Alanine|L-Alanine;Alanine|Sarcosine	CHEBI:16958|CHEBI:16977|CHEBI:15611	C00099|C00041|C00213	Amino acid metabolism|Carbohydrate metabolism|Metabolism of cofactors and vitamins|Metabolism of other amino acids|Nucleotide metabolism	Alanine, Aspartate and Glutamate|Glycine, Serine and Threonine|Propanoate metabolism|Pantothenate and CoA biosynthesis|beta-Alanine metabolism|Selenocoumpound metabolism|Pyrimidine metabolism	Alanine|Glycine|Propenoyl-CoA|beta-Alanine|Selenocysteine|Uracil	HMDB00056|HMDB00161|HMDB00271	CID239|CID5950|CID1088	C3H7NO2	89.04768	UCMIRNVEIXFBKS-UHFFFAOYSA-N|QNAYBMKLOCPYGJ-REOHCLBHSA-N|FSYKKLYZXJSNPZ-UHFFFAOYSA-N	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)|InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1|InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)	M88T456	88.0405161104027	456.372265012465		[M-H-C6H10O5]- 251.103	3	11	@M268.1043T458.5|-(C6H10O5)-(H2O)
M269.1076T458.5	hilic										NA			M269T458	269.107643216013	458.497123921102	[356][M]-	[M+Cl]- 234.14	3	11	@M268.1043T458.5|+13C
