variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M270.8454T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M271T54	270.84541442384	53.9456737546079		[M+Cl]- 235.872	33	NA		-1.93690181281328	0.608401334426656	0	0.11661094910372	0.902583540353679	0		svm	0
M271.0041T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M271T53	271.004094083526	52.5430062252941		[2M-2H+Na]- 125.017	33	NA		0.573376615654274	0.608401334426656	0	-0.464121421930347	0.116428166121366	0			0
M642.3958T18.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M642T1091	642.395843216457	1090.51075320066	[444][M]-		643	NA		-0.335082828805374	0.608401334426656	0	-0.0437553161239812	0.903878624263768	0			0.0029530183464306
M88.0403T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	Alanine ou sarcosine		3	a,b	M88T58	88.0403227987168	57.737720700601			105	NA		0.272521462441356	0.624623627705641	0	-0.160251753079335	0.269960184108304	0			0
M405.3013T17.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M405T1046	405.301295641875	1046.00663336899			1516	NA		-1.20893510228572	0.625901030880226	0	-0.0895091834354638	0.967026850780155	0			0
M373.0768T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M373T58	373.076847998348	57.6621158646002			105	NA		0.373391615392551	0.631555517907037	0	0.0767103028257825	0.819140002197392	0			0
M608.3569T14.5	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M608T869	608.356860862254	869.359793313288	[404][M]-	[M-H]- 609.368	36	NA		-0.241147506290874	0.636489669937515	0	-0.250189844394841	0.0522156442330936	0			0
M181.0717T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M181T54	181.071747200086	54.4327067289273		[M-H-CO]- 210.075	105	NA		0.809615211922459	0.658587574560531	0	-0.654967147342196	0.134128663420564	0			0
M137.0356T1.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b	M137T71	137.035578328491	71.2137695957664			8	6	@M93.0458T1.2|+(CO2)	0.507991047900116	0.690906405755556	0	0.0529187216683713	0.945306777167787	0			0
M174.956T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M175T503	174.956025042685	502.70150704875		[M-H]- 175.966	136	NA		0.455920916270859	0.690906405755556	0	-0.401343809151777	0.119013527451798	0			0
M168.0357T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M168T58	168.035651355298	58.1491961562496		[M+Cl]- 133.061 [M-H]- 169.037	105	NA		0.438171754909513	0.690906405755556	0	-0.441328497272334	0.0745687550648503	0			0
M167.1077T9.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M167T556	167.107695953424	556.066617804175			2058	NA		0.378814164467437	0.690906405755556	0	-0.229676180835508	0.301780951738494	0			-0.0465714716080207
M279.233T18.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M279T1090	279.232977316424	1090.36183559342	[135][M]-		622	53	@M280.2364T18.2|-13C|@M281.2393T18.2|-18O|-13C2	-0.36557994899816	0.690906405755556	0	0.177362742903327	0.393018459232001	0			0.0227573284078742
M132.0301T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	L-Aspartic acid	CHEBI:17053	2	a,b	M132T53	132.030136774395	52.6476572738028		[M+Cl]- 97.0659	33	NA		0.335779653526464	0.690906405755556	0	-0.231288396780112	0.225882596626279	0			0
M539.0074T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M539T47	539.007382362179	47.1917546042648			18	NA		0.333966040963718	0.690906405755556	0	-0.00891106026215205	0.946174673326114	0			0
M335.0449T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M335T47	335.044856021847	46.9579901272046		[M-H-CH2]- 350.068	18	NA		0.312875449704139	0.690906405755556	0	-0.0186475211502142	0.905107265078357	0			0
M339.9144T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M340T58	339.914351368853	57.7662772171594			1531	NA		0.281661355968264	0.690906405755556	0	-0.0418304620016468	0.812634474328064	0			0
M124.9913T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M125T56	124.991336332468	56.1065716182567		[M-H]- 126.004	105	NA		0.264981345419065	0.690906405755556	0	0.0533691165717034	0.832822256362866	0			0
M467.334T15.6	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M467T937	467.333958461816	937.308553775868	[273][M+1]-		17	NA		-0.264856601171548	0.690906405755556	0	-0.332683284359666	0.0250018507935176	1			0
M181.966T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M182T52	181.965976576972	52.380349636647			33	35	@M183.9629T0.9|-34S|-41K|-37Cl	0.239691087406404	0.690906405755556	0	-0.222927897566715	0.102201891539182	0			0
M297.8834T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M298T53	297.883397742649	52.5255528458243		[M+Cl]- 262.914	33	NA		0.238693716679521	0.690906405755556	0	-0.173466739018375	0.197669323852366	0			0
M341.9117T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M342T58	341.911653840879	57.859106348317		[M+Cl]- 306.944	105	NA		0.23334878361201	0.690906405755556	0	-0.165799328228537	0.200171698863569	0			0
M178.0997T13.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M178T833	178.099650435781	832.724282411736			1227	NA		0.224791238445498	0.690906405755556	0	-0.0711250882416667	0.605980786339907	0			0
M507.3184T14.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M507T882	507.318401084108	882.006608309538	[300][M+3]-		11	NA		-0.214572703539568	0.690906405755556	0	-0.270069215387631	0.0203359990359725	1			0
M686.2655T14.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M686T880	686.265542355341	879.686787483906	[468][M+2]-		23	NA		0.208032649695314	0.690906405755556	0	0.138060840283943	0.271695091531179	0			0
M277.2173T17.6	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M277T1054	277.217342886042	1054.15816521978	[133][M]-	[M+Cl]- 242.248 [M-H]- 278.225	2050	NA		-0.320657413117184	0.692746784689149	0	0.179331788665245	0.347338372370235	0			0
M212.8393T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M213T52	212.839280941145	52.4152010388091		[2M-2H+Na]- 95.9302	33	NA		-0.102917553973667	0.694296346597273	0	0.0839934200665198	0.161593303485926	0			0
M190.9284T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M191T502	190.928370609835	502.249725077914		[M-H+HCOOH]- 145.931	136	NA		0.551644128740366	0.695059095992711	0	-0.423754126876853	0.193466469515594	0			0
M686.2461T14.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M686T855	686.246071084892	854.531178177072			1177	88	@M606.3025T14.2|+2(NaCl)	0.277419162437134	0.695059095992711	0	-1.5712291183392	1.25825570425727e-08	1			0
M685.2636T14.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M685T880	685.26363393573	879.560178592362	[468][M+1]-		23	NA		0.157771853347246	0.695059095992711	0	0.111205320461742	0.263672972370291	0			0
M419.1531T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M419T952	419.153123736275	951.514542463026	[258][M]-		41	80	@M420.1556T15.9|-13C	0.832259734891945	0.696684452990578	0	-0.233587467085561	0.659573651684815	0			0
M124.0151T1.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M124T71	124.015114603182	71.0465275765932	[25][M]-	[M-H-CO]- 153.011	8	NA		-0.390463086368595	0.696684452990578	0	-0.523875945517331	0.020371794838858	1			0
M174.0457T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M174T53	174.045718300118	53.4459555429382			33	NA		-0.378356343300862	0.696684452990578	0	0.0159746905977709	0.928173796287031	0			0
M199.07T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M199T46	199.069988488834	46.3267418543163			1827	NA		0.313566738818386	0.696684452990578	0	-0.0059003835552911	0.951051516495949	0			0
M149.0456T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M149T61	149.045587271885	60.9864048219468			1833	NA		0.2874546624716	0.696684452990578	0	-0.08593417642237	0.635662724516341	0			0
M810.9569T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M811T47	810.956881050111	47.1444886288279			18	NA		0.260436708386678	0.696684452990578	0	-0.0843946369221911	0.606029715921316	0			0
M129.0557T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M129T501	129.055661722718	501.196475253649	[29][M]-		1809	NA		0.531808574212937	0.696743159049022	0	-0.391577345705462	0.22436287944078	0			0
M172.9913T8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M173T479	172.991342397511	478.962135934438	[55][M]-	[M+Cl]- 138.025	94	5	@M93.0345T8|+(SO3)|@M173.9944T8|-13C|@M174.9874T8|-34S|-41K|-37Cl	0.838861221151868	0.702387258941106	0	-0.196399867089319	0.724065017258237	0			0
M179.1077T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M179T952	179.107731474753	951.679791769128	[61][M]-		41	31	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)	0.692080465447798	0.702387258941106	0	-0.210920256278039	0.635354933606273	0			0
M153.0305T1.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M153T71	153.0305157438	71.2106949289776			8	NA		0.266970936793284	0.702387258941106	0	0.162419602107612	0.373844373909331	0			0
M565.1444T14.7_7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M565T882_7	565.144389865406	882.215097961848	[361][M+1]2-		11	NA		-0.138184313702665	0.702387258941106	0	-0.187953576877009	0.0205993780535682	1			0
M712.1856T15	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M712T898	712.185646054534	897.634182006528	[487][M]-		26	NA		0.12593607517328	0.702387258941106	0	-0.0428908011312696	0.594734597703382	0			0
M262.9761T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M263T52	262.976147862787	52.4319026994746	[124][M+2]-		33	NA		-0.187158053455693	0.718863836111851	0	0.254834177387975	0.0278483449781509	1			0
M165.0193T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	Terephthalic acid	CHEBI:15702	2	a,b	M165T502	165.019294330134	501.950901327176			136	NA		0.454517188333059	0.723091039823308	0	-0.516889175263316	0.0664394919686798	0			0
M188.104T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M188T61	188.103995131451	61.0127685789048			1834	NA		-0.619643113366052	0.725484517212475	0	-0.190187287255284	0.730662501366249	0			0
M674.9821T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M675T47	674.982058133266	47.1471565387898	[463][M]-	[M-2H+Na]- 654.02	18	NA		0.270544784981206	0.725484517212475	0	0.022898075891975	0.963102942700627	0			0
M372.224T18	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M372T1079	372.224037532381	1079.31134949025	[226][M+1]-		534	NA		-0.29538443069262	0.736266271449118	0	0.0739447588710522	0.711547790344424	0			0
M652.3444T15.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M652T917	652.344366660254	917.199110244942			1970	NA		-0.210849504015405	0.737579016415692	0	-0.0653215673939247	0.730060499518592	0			0
M705.2524T14.5	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M705T869	705.252379085807	869.381280234888	[479][M+1]-		36	NA		-0.238704537628617	0.738660618616548	0	-0.14407887189452	0.390276891437403	0			0
M661.4451T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M661T952	661.445140979239	951.512110544472		[2M-2H+Na]- 320.236	41	NA		0.994601376371918	0.750851488570214	0	-0.293290502340065	0.662392078382657	0			0
M911.8967T0.8_3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M912T48_3	911.89672923205	47.9957491434582	[609][M+2]2-		668	NA		0.215126619107348	0.750851488570214	0	0.0596882475232121	0.771397222263518	0			0
M207.8367T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M208T51	207.836727472834	51.3603263757602		[M+Cl]- 172.867 [M-H]- 208.844	33	NA		-0.21286736019985	0.750851488570214	0	0.0400136444645209	0.791087159172984	0			0
M911.8785T0.8_2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M912T48_2	911.878480789524	48.0652477415759		[M-H]- 912.882	18	NA		0.212643577244503	0.750851488570214	0	0.0593153299449707	0.770703005442796	0			0
M164.0718T9.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M164T559	164.071847760324	558.889428442324		[M-H-COCH2]- 207.09	294	NA		0.397296887610686	0.756445662171746	0	0.758306792102115	0.00182718621261507	1			0
M710.1707T14.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M710T854	710.170724810838	854.492093011518			1178	NA		0.306032045664189	0.756445662171746	0	-1.32963683706709	7.57639159962855e-07	1			0
M666.3081T17.1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M666T1027	666.308141229875	1027.04527468237			854	NA		0.233205563453373	0.756445662171746	0	-0.651317466205215	0.000132715560797974	1			0
M125.0971T9.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M125T595	125.09713097401	595.43834780424	[26][M]-		107	NA		0.20201376238529	0.756445662171746	0	-0.0342569496290963	0.811963431752924	0			0
M638.2978T16.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M638T1009	638.297779967433	1009.22510096137		[M-H-COCH2]- 681.322	19	NA		0.162576746970034	0.756445662171746	0	0.233669493331458	0.0193589179997818	1			0
M826.9307T0.8_1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M827T47_1	826.930726614572	47.417297479998			18	NA		-1.53421649933479	0.782389545209378	0	1.68235834470499	0.0900558818940959	0			0
M923.8204T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M924T49	923.82042394762	48.9086326750087		[M-2H+Na]- 902.849	18	142	@M855.8336T0.8|+(HCOONa)|@M991.8091T0.8|-(HCOONa)	-0.799957622209913	0.782389545209378	0	0.41922995124494	0.439016552249736	0			0
M319.2279T15.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui	8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid	CHEBI:34486	2	a,b	M319T952	319.227875154107	951.587307573708	[190][M]-	[M-H]- 320.236	41	48	@M257.2275T15.9_2|+(H2O)+(CO2)|@M301.2173T15.9|+(H2O)|@M302.2207T15.9|+(OH.)|@M320.2313T15.9|-13C|@M321.2342T15.9|-18O|-13C2|@M387.2152T15.9|-(HCOONa)	0.752010807169327	0.782389545209378	0	-0.201118255029847	0.708655516023265	0			0
M971.8777T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M972T47	971.877739512742	47.4123834930823	[634][M]2-		18	NA		0.272512732002966	0.782389545209378	0	0.100284351853061	0.670151279133649	0			0
M683.2373T14.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M683T855	683.237314565793	854.518550796654			1176	127	@M611.2477T14.2|+(CO2)+(CO)	0.235209197001465	0.782389545209378	0	-1.39142629521868	2.88792919861989e-08	1			0
M309.2799T20.3	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M309T1218	309.27994250779	1217.88990916739	[172][M]-		216	63	@M310.2833T20.3|-13C	-0.386644259503852	0.816186603731814	0	-0.662006047636149	0.00639196244973377	1			0
M377.0856T1	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M377T59	377.085610613344	58.8263515945778		[M+Cl+NH3]- 325.098	105	NA		0.753929445923896	0.820055506376889	0	-0.714407540236477	0.157710886138368	0			0
M128.0352T7.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M128T476	128.035200887551	476.359915766453			2086	NA		0.414948756209983	0.820055506376889	0	-0.133412951262741	0.653168851473213	0			0
M171.9466T8.4	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M172T502	171.946645857038	502.42405271323			136	NA		0.393632945811248	0.820055506376889	0	-0.314598099950901	0.239506644278439	0			0
M103.9201T7.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M104T476	103.92014847023	475.59276436864			201	NA		0.285923783631217	0.820055506376889	0	0.146556992449963	0.525043920094164	0			0
M737.2642T14.7	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M737T884	737.264222370093	884.021793777636	[496][M+3]-		172	NA		0.252022038133077	0.820055506376889	0	0.306919611144348	0.0619111836827474	0			0
M985.8256T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M986T47	985.825552699104	47.1920187793446		[3M-2H]2- 657.892	18	NA		-0.228316482148928	0.820055506376889	0	0.119097911272027	0.452674901933601	0			0
M226.9659T0.8	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M227T46	226.965864280028	46.149505508229			139	NA		-0.218088686665697	0.820055506376889	0	-0.0155725258621651	0.978255136622072	0			0
M125.0098T0.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			4		M125T53	125.009807777876	52.6269983144405	[24][M+1]-		33	NA		0.183664624351	0.820055506376889	0	-0.201671919752783	0.100183304761996	0			0
M604.3258T12.9	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M604T774	604.325795064432	774.003459458622			1677	NA		0.935177518770161	0.827228217284941	0	-0.305185422418823	0.680470813969213	0			0
M335.0495T1.2	metabolomics_plasma_c18acqui_neg	MX2	c18acqui			NA		M335T71	335.049506199941	71.0925946842954		[3M-H]- 112.018	8	68	@M357.0312T1.2|-Na	-0.807243648631237	0.827228217284941	0	-1.33387715128868	0.0138456368987225	1			0
