variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2
M112.0068T39.43	c18hyper	M112T39	112.006814909238	39.4346919968211	[33][M+2]+		388	5	@M110.0093T39.44|+34S|+41K|+37Cl|@M111.0101T39.43|+15N|@M153.0334T39.45|-(CH3CN)|-(C2H3N)			NA										0.179386186676789	0.590582810438914	0	-0.201349399405377	0.343320095323008	0	-0.107501326613514	0.820549062526638	0	-0.281399279587268	0.223018664089585	0	1.28533641694964	0.648002328255936	E	E	E	E	E	E	0	0
M128.0199T39.45_2	c18hyper	M128T39_2	128.01985158062	39.4480858941267	[58][M]+	[M+Na+NH3]+ 88.0022	14	5	@M95.0444T39.06_2|+(HS.)|@M110.0093T39.44|+(H2O)|@M129.0206T39.43|-13C|-15N			NA										0.136703487593007	0.718419453401267	0	-0.187196610039077	0.415955746351747	0	-0.118483678019906	0.816958161180519	0	-0.305377298474038	0.205816688934102	0	0.970083604503754	0.59940815194607	E	E	E	E	E	E	0	0
M129.0206T39.43	c18hyper	M129T39	129.020634893756	39.4347623097043	[58][M+1]+		14	5	@M111.0101T39.43|+(H2O)|@M128.0199T39.45_2|+13C|+15N			NA										0.135546611656958	0.683666849930472	0	-0.160852451376593	0.44994620889175	0	-0.0289753381916018	0.966935421789451	0	-0.285482143598394	0.186607456480137	0	1.03324018447068	0.285937191504562	E	E	E	E	E	E	0	0
M151.0359T39.45	c18hyper	M151T39	151.035896825239	39.4468715859703	[97][M]+	[M+Na]+ 128.051	14	5	@M110.0093T39.44|+(CH3CN)|+(C2H3N)|@M152.0367T39.46|-13C|-15N|@M153.0334T39.45|-34S|-41K|-37Cl|@M154.0369T39.38|-13C-37Cl|-13C-34S			NA										0.0827337297482842	0.819670350410938	0	-0.159362167849292	0.441733420392023	0	-0.170698967137273	0.691060876425464	0	-0.30332486949527	0.153254818218759	0	0.781899228384638	1.01321299444738	E	E	E	E	E	E	0	0
M152.0367T39.46	c18hyper	M152T39	152.036701016122	39.4626656817499	[97][M+1]+		14	5	@M111.0101T39.43|+(CH3CN)|+(C2H3N)|@M151.0359T39.45|+13C|+15N|@M153.0334T39.45|-15N|@M154.0369T39.38|-18O|-34S|-41K|-37Cl			NA										0.101393805234682	0.775254953358167	0	-0.139820997326051	0.531878244492802	0	-0.204679916637637	0.654065706118446	0	-0.294712437981218	0.192614829963104	0	0.83765296994694	1.14364177249096	E	E	E	E	E	E	0	0
M153.0334T39.45	c18hyper	M153T39	153.033395529539	39.4468715859703	[97][M+2]+		14	5	@M111.0101T39.43|+(CH2N2)|@M112.0068T39.43|+(CH3CN)|+(C2H3N)|@M151.0359T39.45|+34S|+41K|+37Cl|@M152.0367T39.46|+15N|@M154.0369T39.38|-13C			NA										0.105212323805077	0.775254953358167	0	-0.178827008922337	0.40570696211297	0	-0.186978273815303	0.690489450874754	0	-0.306961629116643	0.190941758407928	0	0.870222761282769	1.01229095905691	E	E	E	E	E	E	0	0
M154.0369T39.38	c18hyper	M154T39	154.036858991177	39.3796982738824	[97][M+3]+		393	5	@M151.0359T39.45|+13C+37Cl|+13C+34S|@M152.0367T39.46|+18O|+34S|+41K|+37Cl|@M153.0334T39.45|+13C			NA										0.172426857245544	0.793716948787706	0	-0.0730797283198843	0.904320398410245	0	-0.363948418374926	0.678629011710933	0	-0.0759943081008583	0.910374714596329	0	0.578090019560223	1.11723043755238	E	E	E	E	E	E	0	0
M177.9968T42.43	c18hyper	M178T42	177.996762849075	42.4303313433678		[M+2H-COCH2]2+ 395.984 [M+2H-COCH2]2+ 395.984	49	5	@M110.0093T39.44|+(HCOONa)			NA										0.109612796659604	0.731673338159727	0	-0.16633249581351	0.376613526263956	0	-0.143011501305644	0.708133056117933	0	-0.261739844017448	0.156595997985321	0	0.944225296161326	1.04883144791468	E	E	E	E	E	E	0	0
M96.9223T47.63	c18hyper	M97T48	96.9223448902847	47.628105888243			1185	6	@M98.9194T47.6|-34S|-41K|-37Cl|@M154.881T47.67|-(NaCl)|@M164.9099T46.5_1|-(HCOONa)|@M232.8976T46.14_2|-2(HCOONa)			NA										0.0473952924410632	0.889149306408096	0	-0.249142887630722	0.0323556428066186	1	0.043601928975896	0.785358457524797	0	-0.325730875200147	0.00148333404465287	1	0.998193530680802	0.373294238230107	E	E	E	E	E	E	0	0
M156.878T47.74	c18hyper	M157T48	156.878042122085	47.7446485840866			1236	6	@M98.9194T47.6|+(NaCl)|@M154.881T47.67|+34S|+41K|+37Cl|@M214.8369T48.17|-(NaCl)|@M224.8658T46.97_1|-(HCOONa)			NA										0.111236218629781	0.731718262619332	0	-0.285885702494356	0.074080902190972	0	0.102870538418461	0.676348563302844	0	-0.395410453733476	0.00332556901847394	1	1.20341153171309	0.59888606196733	E	E	E	E	E	E	0	0
M166.9069T46.49	c18hyper	M167T46	166.906888146068	46.4872515366017		[M+2H-C4H8]2+ 387.869	49	6	@M164.9099T46.5_1|+34S|+41K|+37Cl			NA										0.138705935157386	0.596712464454265	0	-0.367337556878892	0.00517378236269392	1	0.103387329791168	0.620404845818997	0	-0.440765277061477	0.000128267583610933	1	1.48292654210554	0.648454508241894	E	E	E	E	E	E	0	0
M212.8399T48.19	c18hyper	M213T48	212.839862927011	48.1853700182687			1289	6	@M154.881T47.67|+(NaCl)|@M214.8369T48.17|-34S|-41K|-37Cl|@M270.7987T48.33|-(NaCl)			NA										0.053947191301102	0.87965319475898	0	-0.229659858816298	0.0957078877471589	0	0.0129516466838027	0.925312613119193	0	-0.325920610822081	0.00576944430896035	1	0.86873844310417	0.0211754963136169	E	E	E	E	E	E	0	0
M214.8369T48.17	c18hyper	M215T48	214.836864432281	48.1695408278407			1291	6	@M156.878T47.74|+(NaCl)|@M212.8399T48.19|+34S|+41K|+37Cl|@M272.7957T48.34|-(NaCl)			NA										0.0809791535104338	0.769264190013865	0	-0.206955804518415	0.129779411246301	0	0.0617015226218456	0.757049107421165	0	-0.320831434839207	0.00621217811904077	1	1.12180830260778	0.357355178972867	E	E	E	E	E	E	0	0
M222.8687T47_1	c18hyper	M223T47_1	222.868702862218	46.9963222402786			1304	6	@M154.881T47.67|+(HCOONa)|@M164.9099T46.5_1|+(NaCl)|@M224.8658T46.97_1|-34S|-41K|-37Cl|@M290.8564T46.38|-(HCOONa)			NA										0.0675567282626268	0.869333484341018	0	-0.350730869528263	0.0137562653242144	1	0.0538844673605965	0.761734042329349	0	-0.388113420477801	0.000643995543481601	1	1.06356719681697	0.386452430749311	E	E	E	E	E	E	0	0
M224.8658T46.97_1	c18hyper	M225T47_1	224.865784555309	46.9695725503576		[M+H-H20]+ 241.865	90	6	@M156.878T47.74|+(HCOONa)|@M222.8687T47_1|+34S|+41K|+37Cl|@M292.8535T46.48|-(HCOONa)			NA										0.0447074317721068	0.935088432523589	0	-0.30490124265997	0.0324407313522551	1	0.00779284812625747	0.930132370436438	0	-0.385031366817536	0.000810935304944364	1	0.938778820216824	0.0161637591727686	E	E	E	E	E	E	0	0
M234.8947T46.13	c18hyper	M235T46	234.89470876713	46.1342896380282			49	6	@M98.9194T47.6|+2(HCOONa)|@M232.8976T46.14_2|+34S|+41K|+37Cl|@M292.8535T46.48|-(NaCl)			NA										0.0555981733450963	0.883982655325598	0	-0.337198748448372	0.00434965373480901	1	0.0480177864750182	0.784783808898957	0	-0.411853848616108	0.000439749644936139	1	1.08270460251299	0.381871667688857	E	E	E	E	E	E	0	0
M270.7987T48.33	c18hyper	M271T48	270.798702295831	48.3343780205705			1355	6	@M212.8399T48.19|+(NaCl)|@M272.7957T48.34|-34S|-41K|-37Cl			NA										0.0158434666589855	0.986410210653074	0	-0.164255085361386	0.213301495442528	0	0.0161060620841589	0.918929449445377	0	-0.252402137088875	0.0280264205588953	1	0.639067033328627	0.0477963930655652	E	E	E	E	E	E	0	0
M272.7957T48.34	c18hyper	M273T48	272.795694148907	48.3446875889551			1357	6	@M214.8369T48.17|+(NaCl)|@M270.7987T48.33|+34S|+41K|+37Cl|@M274.7928T48.35|-34S|-41K|-37Cl|@M330.7546T48.28|-(NaCl)			NA										0.0195635067577697	0.969356262321746	0	-0.151775732971764	0.229139390211642	0	0.00344890718474034	0.952852839968553	0	-0.246203272444216	0.0259854266987792	1	0.661408841949943	0.0982746736426783	E	E	E	E	E	E	0	0
M274.7928T48.35	c18hyper	M275T48	274.792812540934	48.3465923112193			1360	6	@M272.7957T48.34|+34S|+41K|+37Cl			NA										0.000254387709667014	0.959336064463624	0	-0.165223278488	0.175083339377591	0	0.0120597100018873	0.929107405675256	0	-0.283028617664673	0.012964541639076	1	0.419744947427284	0.110993792249671	E	E	E	E	E	E	0	0
M290.8564T46.38	c18hyper	M291T46	290.8563768371	46.3839655393042			49	6	@M222.8687T47_1|+(HCOONa)|@M232.8976T46.14_2|+(NaCl)|@M292.8535T46.48|-34S|-41K|-37Cl			NA										0.0292170959153957	0.999793064001299	0	-0.406475260185019	0.0040560406718832	1	0.0402428917146942	0.78975162163797	0	-0.406977642054084	0.000149566778446464	1	0.802018689935312	0.272616213429774	E	E	E	E	E	E	0	0
M292.8535T46.48	c18hyper	M293T46	292.853478162327	46.4770294578529			49	6	@M224.8658T46.97_1|+(HCOONa)|@M234.8947T46.13|+(NaCl)|@M290.8564T46.38|+34S|+41K|+37Cl			NA										0.0651647350455082	0.886770877512952	0	-0.433366364117401	0.00104136192783188	1	0.0293324358560003	0.821662249307629	0	-0.418861080518301	7.92061152320049e-05	1	1.08923674365099	0.315446793282929	E	E	E	E	E	E	0	0
M300.8852T45.82	c18hyper	M301T46	300.885240704301	45.8192523544491			49	6	@M232.8976T46.14_2|+(HCOONa)|@M358.8441T46.15|-(NaCl)|@M368.873T45.68|-(HCOONa)			NA										0.0443309455517493	0.925228739283298	0	-0.332719966770064	0.00342414606696926	1	0.054127318629849	0.743478622167698	0	-0.343724880815529	0.000810935304944364	1	0.910919109485084	0.395728652552247	E	E	E	E	E	E	0	0
M328.7575T48.22	c18hyper	M329T48	328.757500177799	48.2179880874865			1395	6	@M330.7546T48.28|-34S|-41K|-37Cl			NA										0.0796432588160005	0.833548197272836	0	-0.309010990980614	0.0532069203590164	0	-0.0486556625277998	0.927878953081517	0	-0.448544215467869	0.00394387028767596	1	0.951599857377759	0.174401386339223	E	E	E	E	E	E	0	0
M330.7546T48.28	c18hyper	M331T48	330.754586906679	48.2829397842261			1398	6	@M272.7957T48.34|+(NaCl)|@M328.7575T48.22|+34S|+41K|+37Cl|@M332.7517T48.28|-34S|-41K|-37Cl|@M388.7135T48.42|-(NaCl)			NA										0.0631184932561695	0.883982655325598	0	-0.281156776556148	0.0869962999330885	0	0.0551597780611193	0.808027224066845	0	-0.356302593722345	0.0102537914377399	1	0.800965411408034	0.204113042804452	E	E	E	E	E	E	0	0
M332.7517T48.28	c18hyper	M333T48	332.751727673796	48.2829397842261			1400	6	@M330.7546T48.28|+34S|+41K|+37Cl			NA										0.008509858050326	0.971903558397477	0	-0.256961636049393	0.160207699499186	0	0.0280173787712403	0.895308919793273	0	-0.41838850784924	0.007376650088279	1	0.487589946119925	0.0273160499153423	E	E	E	E	E	E	0	0
M358.8441T46.15	c18hyper	M359T46	358.844131542534	46.145813136648		[M+H+HCOOH]+ 311.845	49	6	@M300.8852T45.82|+(NaCl)			NA										0.081619631802301	0.778104000313025	0	-0.344710284640115	0.0041689739819193	1	0.0225235138464619	0.88054854864906	0	-0.387529050066171	0.00112247805511259	1	1.08971797396948	0.0484979797646625	E	E	E	E	E	E	0	0
M368.873T45.68	c18hyper	M369T46	368.873049795558	45.6790544656196			49	6	@M300.8852T45.82|+(HCOONa)			NA										0.0399483522692243	0.930260287061969	0	-0.278090371965558	0.0166990240694964	1	-0.000697422391990443	0.955661169096839	0	-0.355451872422869	0.00225942817146814	1	0.9122252969507	0.00533660658511395	E	E	E	E	E	E	0	0
M388.7135T48.42	c18hyper	M389T48	388.71350389808	48.4154335986591			1447	6	@M330.7546T48.28|+(NaCl)|@M390.7107T48.43|-34S|-41K|-37Cl			NA										0.0455175355396165	0.901196554277151	0	-0.236683348870216	0.0654560663564748	0	0.0165403549507079	0.904686236676489	0	-0.350949355726909	0.00224621424647847	1	0.686839412530048	0.0630827103254946	E	E	E	E	E	E	0	0
M390.7107T48.43	c18hyper	M391T48	390.710703314711	48.4307236693282			1449	6	@M388.7135T48.42|+34S|+41K|+37Cl			NA										0.0495037564321326	0.87741427382904	0	-0.21879943071875	0.0731078945329772	0	0.0407323408734648	0.821181662586073	0	-0.310571150556227	0.00703091515990465	1	0.776901296776716	0.147753000018747	E	E	E	E	E	E	0	0
M98.9848T543.69	c18hyper	M99T544	98.9847745983649	543.68678352234			1609	7	@M140.0113T543.69|-(CH3CN)|-(C2H3N)			NA										-0.19155911931729	0.835583898628408	0	1.85122698549959	1.32176250728252e-12	1	-0.00403412190796004	0.785358457524797	0	2.0281987841544	6.96564662018157e-15	1	0.782120703336704	0.126160535062923	E	E	E	E	E	E	0	0
M105.0567T61.54	c18hyper	M105T62	105.056690640427	61.5411129437117	[28][M+1]+		26	8	@M104.0533T61.57|+13C|@M151.0621T61.56|-(HCOOH)|-(H2O-CO)|@M153.0579T61.54|-(CH4S)			NA										0.069980559085181	0.788578474524439	0	0.180385519950406	0.341878052990407	0	0.100748057428987	0.820465019795308	0	0.182218780110702	0.426639931416985	0	0.633160478185381	0.845476163403189	E	E	E	E	E	E	0	0
M135.0281T61.55	c18hyper	M135T62	135.028106510211	61.5508831869273	[69][M+2]+		26	8	@M133.0323T61.57|+34S|+41K|+37Cl	Diglycolic acid	C4H6O5	134.02152							CID8088	QEVGZEDELICMKH-UHFFFAOYSA-N	InChI=1S/C4H6O5/c5-3(6)1-9-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	0.0927299062658147	0.707614213194692	0	0.151713565752452	0.368198368845754	0	0.039205891385846	0.948446253426166	0	0.234722748417356	0.39109513865469	0	0.856315773690111	0.316342447976629	E	E	E	E	E	E	0	0
M150.0589T61.54_2	c18hyper	M150T62_2	150.058911198217	61.5411129437117	[96][M]+	[M+H-NH3]+ 166.07	26	8	@M104.0533T61.57|+(HCOOH)|+(H2O-CO)|@M133.0323T61.57|+(NH3)|+NH3|@M151.0621T61.56|-13C|@M152.0545T61.57|-34S|-41K|-37Cl|@M153.0579T61.54|-13C-37Cl|-13C-34S	L-Methionine;Methionine|S-Ethyl-L-cysteine|D-Penicillamine	C5H11NO2S	149.0511	C00073|C07418	Amino acid metabolism|Metabolism of other amino acids|Miscellaneous	Cysteine and Methionine|Glutathione metabolism|Miscellaneous	Methionine|Others|R-S-Glutathione|Miscellaneous	CHEBI:16643|CHEBI:7959	HMDB00696|HMDB14997	CID6137|CID92185|CID5852	FFEARJCKVFRZRR-BYPYZUCNSA-N|ULXKXLZEOGLCRJ-BYPYZUCNSA-N|VVNCNSJFMMFHPL-VKHMYHEASA-N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2S/c1-2-9-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2S/c1-5(2,9)3(6)4(7)8/h3,9H,6H2,1-2H3,(H,7,8)/t3-/m0/s1	0.141115417521053	0.565454006125315	0	0.0489692797465331	0.747396560085462	0	0.141489569615924	0.708133056117933	0	0.138188955600633	0.497465641755023	0	1.37971297082172	1.13554124704389	E	E	E	E	E	E	0	0
M104.1076T48.2_2	c18hyper	M104T48_2	104.10756966333	48.1999800693508	[29][M]+		1190	9	@M105.1109T48.28|-13C			NA										0.0077338876743589	0.930260287061969	0	-0.352591806375802	0.000573750240945585	1	-0.0747827180202059	0.776957486274955	0	-0.396949825429385	0.000229582200726732	1	0.583153307034994	0.710809400189499	E	E	E	E	E	E	0	0
M106.0376T293.01	c18hyper	M106T293	106.037588895406	293.005275601872	[30][M+1]+		84	10	@M181.0698T293.12|-(C2H5NO2)			NA										0.489279344670152	0.883982655325598	0	-0.292604529703235	0.913198989320211	0	-0.991379240015316	0.797242901913437	0	0.533040401926733	0.817588711508841	0	0.168756570863732	0.802449586029004	E	E	E	E	E	B	0	0
M180.0665T293.16	c18hyper	M180T293	180.066509177349	293.155023932837	[143][M]+	[M+H]+ 179.059	84	10	@M181.0698T293.12|-13C|@M182.0708T293.01|-18O|-13C2|@M202.0485T293.06|-Na|@M224.0305T293.01|-2Na	Hippuric acid;N-benzoylglycine	C9H9NO3	179.05824	C01586	Amino acid metabolism	Phenylalanine metabolism	Other	CHEBI:18089	HMDB00714	CID464	QIAFMBKCNZACKA-UHFFFAOYSA-N	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	0.292304709662428	0.852979413191152	0	-0.0672835282345581	0.968136791518785	0	0.0618503170883429	0.96537680711281	0	-0.134282255821009	0.884490204259169	0	0.12929062343827	0.207172772030876	E	E	E	E	E	E	0	0
M291.057T293.01	c18hyper	M291T293	291.057047763413	293.013200629958		[3M+2Na-H]+ 82.0396	84	10	@M202.0485T293.06|+(C2H3NO3)			NA										0.856954581916707	0.81401281169818	0	-0.745305955095342	0.779460946339179	0	0.298283424118996	0.938560435422877	0	-0.431468648181038	0.852218736150774	0	0.276860778494342	0.163772618379953	E	E	B	E	E	B	0	0
M296.0725T293.13	c18hyper	M296T293	296.072499066287	293.130399937138		[M+Na]+ 273.082	84	10	@M181.0698T293.12|+(H3PO4)+(NH3)|@M342.0783T293.09|-(HCOOH)|-(H2O-CO)			NA										0.710646251758387	0.848727013076307	0	-0.662007498094122	0.804278802103405	0	-0.317738478363932	0.94072298193658	0	0.350869914606188	0.897126007133894	0	0.20933527251028	0.436574313537043	E	E	B	E	E	B	0	0
M342.0783T293.09	c18hyper	M342T293	342.07832337921	293.093267660105		[M+Na+HCOOH]+ 273.082	84	10	@M296.0725T293.13|+(HCOOH)|+(H2O-CO)			NA										0.68857528394885	0.855671453006214	0	-0.631182034912872	0.817459734869307	0	-0.363578439986263	0.938560435422877	0	0.333741798866411	0.901841755854807	0	0.181255467953173	0.476503088857621	E	E	B	E	E	B	0	0
M190.0178T90.48	c18hyper	M190T90	190.01776467894	90.4782310521333	[166][M]+		2791	11	@M110.0607T90.4|+(SO3)|@M191.0211T89.92|-13C|@M192.0135T89.97|-34S|-41K|-37Cl|@M211.9999T90.34|-Na			NA										0.119318280494262	0.827583029130482	0	0.179986772362163	0.648615223931937	0	-0.169265987699932	0.849019373148307	0	0.0929186157924562	0.860498735571025	0	0.146443219184565	0.407309571743618	E	E	E	E	E	E	0	0
M146.1657T41.22	c18hyper	M146T41	146.165736391266	41.218761006438			103	12	@M112.1127T37.63|+2(NH3)	Spermidine	C7H19N3	145.1579	C00315	Amino acid metabolism|Metabolism of other amino acids	Aginine and Proline metabolism|beta-Alanine metabolism|Glutathione metabolism	Pustrescine|beta-Alanine|Spermidine	CHEBI:16610	HMDB01257	CID1102	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	0.393074315118444	0.524113117382948	0	-0.572979264450829	0.0833562023890396	0	0.636704411045585	0.0951076720019261	0	-0.787413266990423	0.00485031504896739	1	1.66316665813487	2.01018317270167	E	E	E	E	E	E	0	0
M160.134T309.56	c18hyper	M160T310	160.134036377963	309.557110681261	[116][M]+		80	13	@M114.1285T309.53|+(HCOOH)|+(H2O-CO)|@M161.1374T309.51|-13C			NA										0.0127220307282236	0.947490812116081	0	-0.58079882619457	0.00701726134222324	1	0.121154923922386	0.724052060739817	0	-0.627482922478364	0.00182517624118031	1	0.567322355403935	0.393292533003109	E	E	E	E	E	E	0	0
