variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M94.0379T8	c18acqui			NA		M94T480	94.0378771419891	479.755001033919	[6][M+1]-		94	5	@M93.0345T8|+13C|@M173.9944T8|-(SO3)
M172.9913T8	c18acqui			NA		M173T479	172.991342397511	478.962135934438	[55][M]-	[M+Cl]- 138.025	94	5	@M93.0345T8|+(SO3)|@M173.9944T8|-13C|@M174.9874T8|-34S|-41K|-37Cl
M137.0356T1.2	c18acqui	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b	M137T71	137.035578328491	71.2137695957664			8	6	@M93.0458T1.2|+(CO2)
M115.9206T7.5_1	c18acqui			4		M116T452_1	115.920569003448	452.438414701097		[M+Cl]- 80.9477	32	7	@M116.9285T7.5_1|-13C
M116.9285T7.5_1	c18acqui			4		M117T452_1	116.928454443286	452.449075866946			32	7	@M99.9257T7.5|+(OH.)|@M115.9206T7.5_1|+13C|@M117.9285T7.5|-13C|-15N
M115.9207T8.6	c18acqui			4		M116T519	115.920651108811	518.583239779087			60	8	@M116.9285T8.6|-13C|@M117.9285T8.6|-18O|-13C2
M116.9285T8.6	c18acqui			4		M117T519	116.928469821716	518.868958363584			60	8	@M99.9257T8.7|+(OH.)|@M115.9207T8.6|+13C|@M117.9285T8.6|-13C|-15N
M102.0279T1.2	c18acqui			4		M102T71	102.0278775672	71.3064507701262	[7][M+1]-		8	9	@M101.0243T1.2|+13C
M145.0142T1.2_1	c18acqui			4		M145T71_1	145.01420607273	71.2274569312638			8	9	@M101.0243T1.2|+(CO2)
M146.0458T0.9	c18acqui	L-glutamic acid	CHEBI:16015	1	a,b,c	M146T54	146.045835760397	54.412537134361	[42][M]-	[M-H-C3H2O3]- 233.055 [M-H-C6H10O5]- 309.106	105	10	@M102.056T0.9|+(CO2)
M102.9567T0.8	c18acqui			4		M103T50	102.956730394485	50.3683204829722			44	11	@M104.9538T0.8|-34S|-41K|-37Cl
M108.0536T9.4	c18acqui			4		M108T564	108.053573443776	563.740761694054	[9][M+1]-		96	12	@M107.0502T9.4|+13C|@M188.0101T9.4|-(SO3)
M187.007T9.4	c18acqui			4		M187T564	187.007031802144	563.678292095001	[69][M]-	[M+Cl]- 152.041	96	12	@M107.0502T9.4|+(SO3)|@M188.0101T9.4|-13C|@M189.0032T9.4|-34S|-41K|-37Cl
M188.9863T7.5	c18acqui			NA		M189T452	188.98629673665	452.135701036013	[72][M]-	[M-H]- 189.988	32	13	@M109.0294T7.5|+(SO3)
M111.0087T1.2_2	c18acqui			NA		M111T72_2	111.008701881015	71.5369075251912	[11][M]-	[M-H]- 112.018 [M-H-H20]- 130.026	8	14	@M112.0121T1.2_1|-13C|@M129.0193T1.2_1|-(H2O)
M173.0819T9.1	c18acqui			NA		M173T548	173.081871034696	548.340830466104	[56][M]-		129	15	@M111.0815T9.1|+(H2O)+(CO2)
M114.934T8.4	c18acqui			NA		M115T502	114.934042286944	502.114231227306			1806	16	@M116.9284T8.4|-34S|-41K|-37Cl
M115.9206T8.4	c18acqui			NA		M116T502	115.920610060723	502.310769924515			136	16	@M116.9284T8.4|-13C
M116.9284T8.4	c18acqui			NA		M117T502	116.928439959678	502.460370984149		[M-H-CO]- 145.931	136	16	@M114.934T8.4|+34S|+41K|+37Cl|@M115.9206T8.4|+13C|@M117.9286T8.4|-13C|-15N
M133.0142T1.2	c18acqui			NA		M133T71	133.014222797696	70.7607900457254		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2
M115.9206T7.9	c18acqui			NA		M116T476	115.920593543884	476.029095748172			201	18	@M116.9284T7.9|-13C
M116.9284T7.9	c18acqui			NA		M117T476	116.928440213309	476.249196843817			2087	18	@M115.9206T7.9|+13C
M115.9206T9.4	c18acqui			NA		M116T564	115.920637606379	564.47061808701			1434	19	@M116.9284T9.4|-13C
M116.9284T9.4	c18acqui			NA		M117T564	116.92844442669	564.120896469118			96	19	@M115.9206T9.4|+13C
M115.9206T9	c18acqui			NA		M116T538	115.920616032899	538.265050993291			1830	20	@M116.9284T9|-13C
M116.9284T9	c18acqui			NA		M117T538	116.928439018344	537.642956508352			1831	20	@M115.9206T9|+13C
M203.0826T7.5	c18acqui	L-Tryptophan	CHEBI:27897	1	a,b,c	M203T452	203.082596203659	452.39203297335	[83][M]-	[M-H]- 204.091	32	21	@M116.0505T7.5_2|+(C3H5NO2)|@M159.0927T7.5|+(CO2)|@M204.0858T7.5|-13C
M130.0622T1	c18acqui			4		M130T58	130.06215420357	58.1451779251806		[M-H]- 131.071	105	22	@M166.0389T1|-(HCl)
M130.0661T10.3	c18acqui			NA		M130T617	130.066098800329	616.98031454028			1705	23	@M174.056T10.3|-(CO2)
M158.9785T0.7	c18acqui			NA		M159T43	158.978495667859	43.4268570318642			90	24	@M130.9836T0.7_2|+(CO)|@M159.9798T0.7|-13C|-15N
M178.0509T8.4	c18acqui			NA		M178T502	178.050932788848	502.310769924515	[59][M]-	[M-H]- 179.058	136	25	@M134.061T8.4|+(CO2)|@M179.0544T8.4|-13C
M174.9561T0.7_1	c18acqui			NA		M175T43_1	174.956064601078	43.1329798232198	[58][M]-		90	26	@M146.9611T0.7_2|+(CO)
M189.0081T0.7	c18acqui			NA		M189T43	189.008139348729	43.1423333026378		[M-H]- 190.015	90	26	@M146.9611T0.7_2|+(C3H6)
M157.0367T1	c18acqui			NA		M157T58	157.036674398529	58.3268445715955			105	27	@M193.0134T1_2|-(HCl)
M204.0666T9.9	c18acqui			NA		M204T593	204.066631170941	593.062311040761			1539	28	@M160.0767T9.9|+(CO2)
M160.842T0.9	c18acqui			NA		M161T56	160.841998859504	56.2845958269524		[M+Cl]- 125.866 [M-H]- 161.846	105	29	@M162.839T0.9|-34S|-41K|-37Cl
M161.1334T15.7	c18acqui			NA		M161T943	161.133402038634	943.485635252172		[M-H-CO2]- 206.131	135	30	@M205.1234T15.7|-(CO2)
M205.1234T15.7	c18acqui			NA		M205T943	205.123396026015	943.477975797246	[85][M]-	[M-H]- 206.131 [M-H-CO]- 234.126	135	30	@M161.1334T15.7|+(CO2)|@M206.1269T15.7|-13C|@M233.1185T15.7|-(CO)
M206.1269T15.7	c18acqui			NA		M206T943	206.126923177577	943.427715610884	[85][M+1]-		135	30	@M205.1234T15.7|+13C|@M234.1259T15.7|-(CO)|@M325.2174T15.7|-(NC3H9)-(CH3COOH)
M233.1185T15.7	c18acqui			NA		M233T943	233.118466280782	943.206605320416		[M-H]- 234.126	135	30	@M205.1234T15.7|+(CO)
M234.1259T15.7	c18acqui			NA		M234T943	234.125949860521	943.166100386682			135	30	@M206.1269T15.7|+(CO)
M343.2278T15.7	c18acqui			NA		M343T943	343.227821663885	943.085927485344	[218][M]-	[M-H]- 344.236	135	30	@M281.2275T15.7|+(H2O)+(CO2)|@M325.2174T15.7|+(H2O)|@M344.2313T15.7|-13C|@M345.2343T15.7|-18O|-13C2|@M411.2153T15.7|-(HCOONa)
M163.1128T15.9	c18acqui			NA		M163T952	163.112849808759	951.680678826546			41	31	@M180.1112T15.9|-(OH.)|@M207.1026T15.9|-(CO2)
M179.1077T15.9	c18acqui			NA		M179T952	179.107731474753	951.679791769128	[61][M]-		41	31	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)
M208.1093T15.9	c18acqui			NA		M208T952	208.109278527418	951.648555784794			41	31	@M207.1026T15.9|+13C
M245.0124T8.6	c18acqui			NA		M245T515	245.012418962696	514.960044687685	[111][M]-	[M+Cl]- 210.046	200	32	@M165.0557T8.6|+(SO3)|@M246.0157T8.6|-13C
M167.021T1.2_2	c18acqui			NA		M167T71_2	167.02102952855	71.1816414550098	[54][M]-		8	33	@M168.0239T1.2|-13C|@M169.0254T1.2|-18O|-13C2
M211.0976T11.2	c18acqui			NA		M211T671	211.097587166502	670.69159170204			1575	34	@M167.1078T11.2|+(CO2)
M181.966T0.9	c18acqui			NA		M182T52	181.965976576972	52.380349636647			33	35	@M183.9629T0.9|-34S|-41K|-37Cl
M187.0976T9.9	c18acqui	Azelaic acid	CHEBI:48131	2	a,b	M187T596	187.097587203114	595.550688226469	[70][M]-	[M-H]- 188.106	107	36	@M188.101T9.9|-13C
M191.0197T1.2	c18acqui			NA		M191T71	191.019734855632	71.2595850720204	[74][M]-		8	37	@M192.0232T1.2|-13C
M203.0826T7.3	c18acqui	peptide		3	b,c	M203T441	203.082578310011	440.831244137212	[82][M]-	[M-H]- 204.09	195	38	@M204.0858T7.3|-13C
M213.0857T0.8	c18acqui			4		M213T46	213.085663586343	46.30018068445	[91][M]-	[M+Cl+NaCOOH]- 110.13	139	39	@M349.0606T0.8|-2(HCOONa)
M281.0731T0.8	c18acqui			NA		M281T47	281.073102491517	47.0790383046635		[M-H]- 282.08	18	39	@M349.0606T0.8|-(HCOONa)|@M417.048T0.8|-2(HCOONa)
M417.048T0.8	c18acqui			4		M417T47	417.048048657936	47.2290521741912	[256][M]-	[M-H+NaCOOH]- 350.068	18	39	@M281.0731T0.8|+2(HCOONa)|@M349.0606T0.8|+(HCOONa)|@M485.0354T0.8|-(HCOONa)|@M553.0227T0.8|-2(HCOONa)
M485.0354T0.8	c18acqui			4		M485T47	485.035416956192	47.1281506047621	[288][M]-		18	39	@M349.0606T0.8|+2(HCOONa)|@M417.048T0.8|+(HCOONa)|@M553.0227T0.8|-(HCOONa)|@M621.0103T0.8|-2(HCOONa)
M553.0227T0.8	c18acqui			4		M553T47	553.022728466703	47.2036274899055	[350][M]-		18	39	@M417.048T0.8|+2(HCOONa)|@M485.0354T0.8|+(HCOONa)|@M621.0103T0.8|-(HCOONa)|@M688.9976T0.8|-2(HCOONa)
M621.0103T0.8	c18acqui			4		M621T47	621.010287178245	47.1881026410738	[421][M]-		18	39	@M485.0354T0.8|+2(HCOONa)|@M553.0227T0.8|+(HCOONa)|@M688.9976T0.8|-(HCOONa)|@M756.9852T0.8|-2(HCOONa)
M688.9976T0.8	c18acqui			4		M689T47	688.997568668853	47.1656715207964	[476][M]-	[M+Cl]- 654.02	18	39	@M553.0227T0.8|+2(HCOONa)|@M621.0103T0.8|+(HCOONa)|@M756.9852T0.8|-(HCOONa)|@M824.9726T0.8|-2(HCOONa)
M756.9852T0.8	c18acqui			4		M757T47	756.985187048206	47.134985661814	[510][M]-	[M+Cl+NaCOOH]- 654.02	18	39	@M621.0103T0.8|+2(HCOONa)|@M688.9976T0.8|+(HCOONa)|@M824.9726T0.8|-(HCOONa)|@M892.9605T0.8|-2(HCOONa)
M824.9726T0.8	c18acqui			4		M825T47	824.97257563131	47.184186502803	[548][M]-		18	39	@M688.9976T0.8|+2(HCOONa)|@M756.9852T0.8|+(HCOONa)|@M825.9759T0.8|-13C|@M892.9605T0.8|-(HCOONa)|@M960.9476T0.8|-2(HCOONa)
M825.9759T0.8	c18acqui			4		M826T47	825.975931579004	47.2568487851554	[548][M+1]-		18	39	@M824.9726T0.8|+13C
M892.9605T0.8	c18acqui			4		M893T47	892.960465768313	47.184186502803	[598][M]-	[M-H]- 893.968	18	39	@M756.9852T0.8|+2(HCOONa)|@M824.9726T0.8|+(HCOONa)|@M960.9476T0.8|-(HCOONa)
M960.9476T0.8	c18acqui			4		M961T47	960.947555850388	47.2290859709867	[631][M]-	[M-H+NaCOOH]- 893.968	18	39	@M824.9726T0.8|+2(HCOONa)|@M892.9605T0.8|+(HCOONa)
M215.0328T0.9	c18acqui			4		M215T53	215.032786079221	53.4082162372063	[93][M]-	[M+Cl]- 180.063	33	40	@M216.0362T0.9|-13C|@M217.0299T0.9|-34S|-41K|-37Cl|@M272.9914T0.9|-(NaCl)
M274.9885T0.9	c18acqui			NA		M275T53	274.988541825572	53.4373616932063	[131][M+2]-		33	40	@M217.0299T0.9|+(NaCl)|@M272.9914T0.9|+34S|+41K|+37Cl|@M332.9471T0.9_2|-(NaCl)
M330.95T0.9_2	c18acqui			NA		M331T53_2	330.949991309802	53.3899271588285	[206][M]-	[M-H]- 331.953	33	40	@M332.9471T0.9_2|-34S|-41K|-37Cl|@M334.9442T0.9|-44Ca
M332.9471T0.9_2	c18acqui			4		M333T53_2	332.94714749308	53.4373616932063	[206][M+2]-		33	40	@M274.9885T0.9|+(NaCl)|@M330.95T0.9_2|+34S|+41K|+37Cl|@M334.9442T0.9|-34S|-41K|-37Cl
M334.9442T0.9	c18acqui			NA		M335T53	334.944179124568	53.3555096482214	[206][M+4]-		33	40	@M330.95T0.9_2|+44Ca|@M332.9471T0.9_2|+34S|+41K|+37Cl
M223.0284T12.6	c18acqui			NA		M223T757	223.028368456012	756.661499688138	[95][M]-		1387	41	@M239.0596T12.6|-(CH4)
M227.2017T17.7	c18acqui	Myristic acid	CHEBI:28875	1	a,b,c'	M227T1061	227.201667633925	1061.04273563064	[97][M]-		28	42	@M228.2051T17.7|-13C
M284.2465T17.8	c18acqui			NA		M284T1066	284.246540493806	1065.86506979002	[137][M+1]-		14	43	@M229.1962T17.8|+(C4H7.)|@M283.2432T17.8|+13C|@M328.2363T17.8|-(CO2)
M327.233T17.8	c18acqui			4		M327T1066	327.232994513426	1065.97185218865	[203][M]-	[M-H]- 328.24	14	43	@M229.1962T17.8|+(C5H6O2)|@M283.2432T17.8|+(CO2)|@M328.2363T17.8|-13C|@M329.2395T17.8|-18O|-13C2
M241.1809T15	c18acqui			NA		M241T899	241.180928341241	899.1674160492	[108][M]-	[M-H-CH2]- 256.195	1946	44	@M242.1842T15|-13C
M242.1761T11.5	c18acqui			NA		M242T692	242.176149077474	691.911614386338		[3M+2Cl]2- 138.145	10	45	@M243.1795T11.5_2|-13C|@M244.1819T11.5|-18O|-13C2
M253.2174T17.9	c18acqui			4		M253T1075	253.217368822553	1074.66356427814	[118][M]-	[M-H]- 254.225	534	46	@M254.2208T17.9|-13C|@M255.2238T17.9|-18O|-13C2
M255.233T18.9	c18acqui	Palmitic acid	CHEBI:15756	2	a,b	M255T1132	255.232972378168	1132.20760785175	[120][M]-		404	47	@M256.2364T18.9|-13C
M319.2279T15.9	c18acqui	8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid	CHEBI:34486	2	a,b	M319T952	319.227875154107	951.587307573708	[190][M]-	[M-H]- 320.236	41	48	@M257.2275T15.9_2|+(H2O)+(CO2)|@M301.2173T15.9|+(H2O)|@M302.2207T15.9|+(OH.)|@M320.2313T15.9|-13C|@M321.2342T15.9|-18O|-13C2|@M387.2152T15.9|-(HCOONa)
M388.2186T15.9	c18acqui			NA		M388T952	388.218568395672	951.587307573708	[241][M+1]-		41	48	@M320.2313T15.9|+(HCOONa)|@M387.2152T15.9|+13C
M303.233T18	c18acqui			4		M303T1079	303.232950344209	1079.05208243587		[M-H]- 304.239	534	49	@M259.2432T18|+(CO2)|@M304.2364T18|-13C|@M305.2395T18|-18O|-13C2
M265.1479T18.9	c18acqui			NA		M265T1133	265.14792986409	1132.56269035909	[126][M]-		430	50	@M266.1512T18.9|-13C|@M267.1446T18.9|-34S|-41K|-37Cl
M273.9602T0.7	c18acqui			NA		M274T43	273.960203830566	43.1353120914718			90	51	@M274.9571T0.7|-15N
M274.1044T1	c18acqui			NA		M274T59	274.104407749031	59.1453222542875			226	52	@M296.0864T1|-Na
M279.233T18.2	c18acqui			NA		M279T1090	279.232977316424	1090.36183559342	[135][M]-		622	53	@M280.2364T18.2|-13C|@M281.2393T18.2|-18O|-13C2
M281.2487T19	c18acqui	Elaidic acid	CHEBI:27997	2	a,b	M281T1141	281.248653873874	1141.4892748864	[136][M]-		93	54	@M282.2521T19|-13C
M283.2643T20.2	c18acqui			4		M283T1214	283.26426046975	1213.52887906467	[139][M]-	[M+Cl]- 248.295 [M-H]- 284.272	114	55	@M284.2676T20.2|-13C
M288.9365T0.7	c18acqui			NA		M289T43	288.936483344888	43.0935687372298	[140][M]-		90	56	@M289.9383T0.7|-13C|-15N|@M290.9347T0.7|-34S|-41K|-37Cl
M295.2279T15.4	c18acqui			NA		M295T925	295.227863049428	925.031275981044	[144][M]-		1259	57	@M296.2313T15.4|-13C|@M297.234T15.4|-18O|-13C2|@M363.2154T15.4|-(HCOONa)
M297.2435T15.7	c18acqui			NA		M297T942	297.243544273284	941.850848167278	[154][M]-		1800	58	@M298.2469T15.7|-13C|@M365.231T15.7|-(HCOONa)
M297.2435T15.9	c18acqui			NA		M297T952	297.243519233073	951.666513555798	[155][M]-		41	59	@M298.2469T15.9|-13C
M301.2173T17.3	c18acqui			NA		M301T1040	301.217272351643	1040.13738430196	[157][M]-	[M+Cl]- 266.248 [M-H]- 302.225	168	60	@M302.2207T17.3|-13C
M303.921T0.9	c18acqui			NA		M304T53	303.920962850974	53.4245467588409		[M+Cl]- 268.952	33	61	@M305.918T0.9|-34S|-41K|-37Cl
M305.2487T18.7	c18acqui			4		M305T1122	305.248683991498	1122.15089969026	[165][M]-		1110	62	@M306.2522T18.7|-13C
M309.2799T20.3	c18acqui			4		M309T1218	309.27994250779	1217.88990916739	[172][M]-		216	63	@M310.2833T20.3|-13C
M317.2122T15.2	c18acqui			NA		M317T911	317.212238895667	910.585523620938	[189][M]-		1213	64	@M318.2158T15.2|-13C
M321.2436T16.2	c18acqui			NA		M321T970	321.243554111467	969.866388719112	[193][M]-		1283	65	@M322.2472T16.2|-13C
M329.2486T18.1	c18acqui			NA		M329T1088	329.248593705361	1088.26698153089	[204][M]-		630	66	@M330.252T18.1|-13C
M329.2487T18.4	c18acqui			4		M329T1102	329.248656305976	1102.42847501721	[205][M]-	[M+Cl]- 294.279 [M-H]- 330.256	57	67	@M330.252T18.4|-13C
M335.0495T1.2	c18acqui			NA		M335T71	335.049506199941	71.0925946842954		[3M-H]- 112.018	8	68	@M357.0312T1.2|-Na
M353.1425T17.9	c18acqui			4		M353T1074	353.142514148579	1074.33428907205	[222][M]-		534	69	@M354.1449T17.9|-13C|@M355.1452T17.9|-18O|-41K|-13C2
M359.0483T1.2	c18acqui			4		M359T71	359.048287923263	70.8025775490228			8	70	@M381.0301T1.2|-Na
M378.9183T0.8	c18acqui			NA		M379T46	378.918309909408	46.2883239881367			139	71	@M446.9056T0.8|-(HCOONa)
M379.1582T18.2	c18acqui			NA		M379T1090	379.158232787779	1090.28397662959	[230][M]-		635	72	@M380.1605T18.2|-13C
M391.2854T14.7	c18acqui			NA		M391T881	391.285377348169	880.81007444019	[242][M]-		11	73	@M389.2699T14.8|+(H2)|@M392.2889T14.7|-13C|@M437.2908T14.7|-(HCOOH)|-(H2O-CO)
M403.1582T18	c18acqui			NA		M403T1079	403.158223716056	1078.88290935663	[249][M]-		534	74	@M404.1606T18|-13C
M405.2652T12.8	c18acqui			NA		M405T769	405.265183818608	768.806548577568		[M+Cl]- 370.296 [M-H]- 406.272 [M-H-HCOOH]- 452.278	180	75	@M423.2754T12.8|-(H2O)|@M451.2701T12.8|-(HCOOH)|-(H2O-CO)
M407.2802T12.9	c18acqui			NA		M407T772	407.280246991929	772.459885291632	[252][M]-	[M+Cl]- 372.311 [M-H]- 408.288	20	75	@M408.2836T12.9|-13C|@M409.2867T12.9|-18O|-13C2|@M453.286T12.9|-(HCOOH)|-(H2O-CO)|@M475.2677T12.9|-(HCOONa)
M423.2754T12.8	c18acqui			NA		M423T769	423.2753513942	768.550696211232		[M-H-CO]- 452.278	180	75	@M405.2652T12.8|+(H2O)|@M451.2701T12.8|-(CO)|@M453.286T12.9|-(CH2O)
M451.2701T12.8	c18acqui			NA		M451T769	451.270139360255	768.806548577568	[265][M]-	[M+Cl+HCOOH]- 370.296 [M-H+HCOOH]- 406.272 [M-H]- 452.278	180	75	@M405.2652T12.8|+(HCOOH)|+(H2O-CO)|@M423.2754T12.8|+(CO)|@M452.2735T12.8|-13C|@M453.286T12.9|-(H2)
M452.2735T12.8	c18acqui			NA		M452T768	452.273456741352	768.49344219246	[265][M+1]-		180	75	@M408.2836T12.9|+(CO2)|@M451.2701T12.8|+13C
M405.2647T12.2	c18acqui			NA		M405T730	405.264729261031	730.131385072308			163	76	@M406.2682T12.2|-13C
M407.1724T7.5	c18acqui			4		M407T452	407.172356262206	452.053190465716		[2M-H]- 204.091	32	77	@M429.1544T7.5|-Na
M407.2804T12.2	c18acqui			NA		M407T732	407.280393451529	732.182668645866			1427	78	@M453.286T12.2|-(HCOOH)|-(H2O-CO)
M418.894T0.7	c18acqui			NA		M419T43	418.894026019487	43.0172328098968	[257][M]-		90	79	@M420.892T0.7|-34S|-41K|-37Cl
M419.1531T15.9	c18acqui			NA		M419T952	419.153123736275	951.514542463026	[258][M]-		41	80	@M420.1556T15.9|-13C
M427.1582T17.8	c18acqui			NA		M427T1066	427.158171014607	1065.82924317481	[260][M]-		14	81	@M428.1611T17.8|-13C
M450.2626T14.2	c18acqui			4		M450T849	450.262632575985	849.296763591018	[264][M]-		2264	82	@M451.266T14.2|-13C
M452.2783T15.1	c18acqui			4		M452T906	452.27830406078	906.456103041522	[266][M]-		1186	83	@M453.2815T15.1|-13C
M604.8716T0.8	c18acqui			4		M605T48	604.871611009153	48.2395949445535	[400][M]-		18	84	@M468.8967T0.8|+2(HCOONa)|@M536.8842T0.8|+(HCOONa)|@M672.859T0.8|-(HCOONa)
M740.8464T0.8	c18acqui			4		M741T48	740.846422926197	48.2425518754511	[503][M]-	[M+Cl+NaCOOH]- 637.891	18	84	@M672.859T0.8|+(HCOONa)|@M808.834T0.8|-(HCOONa)|@M876.8217T0.8_1|-2(HCOONa)
M808.834T0.8	c18acqui			4		M809T48	808.8339568045	48.2943350434009	[541][M]-		18	84	@M672.859T0.8|+2(HCOONa)|@M740.8464T0.8|+(HCOONa)|@M876.8217T0.8_1|-(HCOONa)|@M944.8091T0.8_1|-2(HCOONa)
M876.8217T0.8_1	c18acqui			4		M877T48_1	876.821668028805	48.2515796616669	[589][M]-		18	84	@M740.8464T0.8|+2(HCOONa)|@M808.834T0.8|+(HCOONa)|@M944.8091T0.8_1|-(HCOONa)
M944.8091T0.8_1	c18acqui			4		M945T48_1	944.809095909433	48.2449382523184		[M+Cl+CF3COOH]- 775.846	18	84	@M808.834T0.8|+2(HCOONa)|@M876.8217T0.8_1|+(HCOONa)
M476.2783T14.6	c18acqui			4		M476T877	476.278273356559	876.640437208716	[277][M]-	[M-H]- 477.286	52	85	@M477.2817T14.6|-13C|@M478.2846T14.6|-18O|-13C2|@M544.2656T14.6|-(HCOONa)
M476.2783T14.4	c18acqui			4		M476T864	476.278306888413	864.131328566982	[278][M]-		1904	86	@M477.2819T14.4|-13C
M478.2939T15.5	c18acqui			4		M478T929	478.293942711082	929.142962653662	[280][M]-		1266	87	@M479.2973T15.5|-13C
M538.315T14.2	c18acqui			4		M538T855	538.315025785114	854.51038110453	[333][M]-		1167	88	@M478.2939T14.2|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M479.2973T14.2|+(CH3COO.)|@M539.3184T14.2|-13C|@M540.3212T14.2|-18O|-13C2|@M541.3243T14.2|-13C3|-13C-18O|@M582.3414T14.2|-(C2H4O)|@M606.3025T14.2|-(HCOONa)
M686.2461T14.2	c18acqui			4		M686T855	686.246071084892	854.531178177072			1177	88	@M606.3025T14.2|+2(NaCl)
M538.3151T14	c18acqui			4		M538T842	538.315050534733	841.761540890298	[335][M]-		1138	89	@M478.2941T14|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M539.3182T14|-13C
M481.313T15.2_2	c18acqui			NA		M481T914_2	481.312969548348	913.629119193042	[284][M+1]-		9	90	@M480.3096T15.2|+13C
M540.3309T15.2_2	c18acqui			NA		M540T914_2	540.330850703316	913.632862578942	[336][M]-	[M-H+HCOOH]- 495.333	9	90	@M480.3096T15.2|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M541.3341T15.2_16|-13C|@M542.3366T15.2_10|-18O|-13C2
M481.3129T15	c18acqui			NA		M481T897	481.312917976493	897.46760255199	[285][M+1]-		26	91	@M541.3341T15|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M540.3307T15	c18acqui			NA		M540T898	540.330736313532	897.51324700311	[337][M]-	[M-H+HCOOH]- 495.333	26	91	@M480.3096T15|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M541.3341T15|-13C|@M542.3367T15|-18O|-13C2
M498.2893T12.9	c18acqui			NA		M498T775	498.289270317665	775.253533937064	[293][M]-		123	92	@M499.2926T12.9|-13C
M498.2894T11.5	c18acqui			NA		M498T690	498.289420064004	689.641689857496			153	93	@M499.2927T11.5|-13C|@M515.2877T11.5|-(OH.)
M499.2927T11.5	c18acqui			NA		M499T688	499.292678452443	688.119367002402			153	93	@M498.2894T11.5|+13C
M514.2843T11.5	c18acqui			NA		M514T692	514.284264450462	691.99084996473	[309][M]-	[M+Cl]- 479.315 [M-H]- 515.292	10	93	@M515.2877T11.5|-13C|@M516.2863T11.5|-18O|-41K|-37Cl|-13C2|@M517.2865T11.5|-13C-37Cl|-13C-34S|@M582.2718T11.5|-(HCOONa)|@M598.2451T11.5|-(HCOOK)
