variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M686.2461T14.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M686T855	686.246071084892	854.531178177072			1177	88	@M606.3025T14.2|+2(NaCl)	0.484383456595978	0.538808743157763	0	-1.35397027406517	6.59870257167529e-08	1			0
M131.0713T8.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M131T516	131.071326573557	516.269234456861	[31][M]-		192	NA		0.543511875198041	0.601567419285154	0	-1.16858327865601	1.13159445580125e-05	1			0
M352.0279T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M352T53	352.02787043982	53.1257079147169			846	NA		-0.494085265459299	0.601567419285154	0	-0.128065184348429	0.60950911126582	0			0
M481.3129T16.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M481T996	481.312878650545	996.364773248766	[283][M+1]-		1418	NA		-0.229421723198127	0.601567419285154	0	-0.0675933565762143	0.571299167347461	0			0
M146.983T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M147T73	146.982990662658	73.3297591656468			1576	NA		-0.192269102250746	0.601567419285154	0	-0.0805408560392866	0.407634144888882	0			0.121746115795304
M543.0595T15.2_6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M543T914_6	543.059518854275	913.650735082338	[338][M+4]-		460	NA		-0.130263665558813	0.603193918085117	0	-0.104899640581799	0.122056365264055	0			0.153232017502717
M225.0495T1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M225T57	225.049494988648	57.4525349850601			105	NA		0.365299807114468	0.625190504610844	0	-0.507175804553537	0.00547344711283517	1			-0.0823176724752288
M173.0091T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M173T71	173.009101517059	71.1271807571874			8	NA		0.263745510228457	0.625190504610844	0	0.138323855240936	0.317997604410423	0			0
M206.0823T9.3	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M206T559	206.082298224686	558.701843500781		[M-H]- 207.09	294	NA		0.377365215332768	0.692844390512914	0	0.570432102765109	0.00768651732791925	1			0
M613.2016T10.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M613T641	613.201617206627	640.944009466842			37	128	@M614.2084T10.7|-13C	2.84011898779708	0.726512739155746	0	1.27206142680436	0.552665469524425	0		svm	0
M659.2073T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M659T692	659.207318437192	692.042668715478		[M+Cl+HCOOH]- 578.233 [M-H+HCOOH]- 614.209	10	93	@M613.2023T11.5|+(HCOOH)|+(H2O-CO)|@M660.2104T11.5|-13C|@M661.2095T11.5|-18O|-41K|-13C2|@M662.2152T11.5|-13C3|-13C-18O|@M681.1892T11.5|-Na	2.5275451656038	0.726512739155746	0	2.13248354123882	0.224533344225567	0		svm	0
M552.2031T12.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M552T773	552.203093097966	772.561722190386			20	NA		2.52517516268657	0.726512739155746	0	0.742751659342808	0.695748719627857	0		svm	0
M514.2843T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M514T692	514.284264450462	691.99084996473	[309][M]-	[M+Cl]- 479.315 [M-H]- 515.292	10	93	@M515.2877T11.5|-13C|@M516.2863T11.5|-18O|-41K|-37Cl|-13C2|@M517.2865T11.5|-13C-37Cl|-13C-34S|@M582.2718T11.5|-(HCOONa)|@M598.2451T11.5|-(HCOOK)	2.52508673100987	0.726512739155746	0	2.82739085576363	0.162274599207107	0		svm	0
M644.2424T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M644T692	644.242373445139	692.302845636948			10	93	@M613.2023T11.5|+(CH5N)|@M614.2093T11.5|+(CH4N.)|@M615.212T11.5|+(CH3N)|@M616.2103T11.5|+(C2H4)	2.36045159323291	0.726512739155746	0	1.92314913546158	0.297251786588653	0		svm	0
M613.2023T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M613T692	613.202302358299	691.842549835392		[M+Cl]- 578.233 [M-H]- 614.209	10	93	@M614.2093T11.5|-13C|@M615.212T11.5|-13C2|@M616.2103T11.5|-13C3|-13C-18O|@M644.2424T11.5|-(CH5N)|@M657.2254T11.5|-(C2H4O)|@M659.2073T11.5|-(HCOOH)|-(H2O-CO)|@M661.2095T11.5|-(CH4S)|@M681.1892T11.5|-(HCOONa)	2.20898878770382	0.726512739155746	0	1.57665574607639	0.272465177573953	0		svm	0
M407.2802T12.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M407T772	407.280246991929	772.459885291632	[252][M]-	[M+Cl]- 372.311 [M-H]- 408.288	20	75	@M408.2836T12.9|-13C|@M409.2867T12.9|-18O|-13C2|@M453.286T12.9|-(HCOOH)|-(H2O-CO)|@M475.2677T12.9|-(HCOONa)	2.05002653966569	0.726512739155746	0	1.15615658753935	0.519490947152314	0		svm	0
M518.2881T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M518T692	518.288102329163	692.112791755374	[309][M+4]-		10	93	@M515.2877T11.5|+13C+37Cl|+13C+34S|@M516.2863T11.5|+18O|+41K|+37Cl|+13C2|@M517.2865T11.5|+13C|+15N|@M598.2451T11.5|-(SO3)	2.00324835182652	0.726512739155746	0	1.20744388724304	0.395806761145382	0		svm	0
M614.2093T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M614T692	614.209348895862	692.042668715478	[414][M]-	[M+Cl]- 579.238 [M-H]- 615.216	10	93	@M613.2023T11.5|+13C|@M615.212T11.5|-13C|@M616.2103T11.5|-18O|-41K|-37Cl|@M617.2127T11.6|-13C-37Cl|-13C-18O|-13C-34S|@M644.2424T11.5|-(CH4N.)|@M657.2254T11.5|-(C2H3O.)|@M660.2104T11.5|-(HCOOH)|-(H2O-CO)|@M662.2152T11.5|-(CH4S)	1.97032586034457	0.726512739155746	0	1.83055953012599	0.234573488524186	0		svm	0
M681.1892T11.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M681T692	681.189212086638	692.443584746958			472	93	@M613.2023T11.5|+(HCOONa)|@M659.2073T11.5|+Na	1.90826498519471	0.726512739155746	0	1.18522214536184	0.451692431860504	0		svm	0
M423.2754T12.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M423T769	423.2753513942	768.550696211232		[M-H-CO]- 452.278	180	75	@M405.2652T12.8|+(H2O)|@M451.2701T12.8|-(CO)|@M453.286T12.9|-(CH2O)	1.77301047790992	0.726512739155746	0	1.26104519899066	0.319847570409981	0		svm	0
M512.2687T10.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M512T651	512.268674982471	650.67586273749	[307][M]-		86	104	@M513.272T10.8|-13C|@M514.2773T10.8|-18O|-13C2	1.77285586475211	0.726512739155746	0	2.03087617387843	0.134483664943836	0		svm	0
M405.2652T12.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M405T769	405.265183818608	768.806548577568		[M+Cl]- 370.296 [M-H]- 406.272 [M-H-HCOOH]- 452.278	180	75	@M423.2754T12.8|-(H2O)|@M451.2701T12.8|-(HCOOH)|-(H2O-CO)	1.68987483978703	0.726512739155746	0	1.63162876718076	0.20903094479122	0		svm	0
M498.2892T12.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M498T760	498.289230843814	759.972185864688			1912	94	@M499.2923T12.7|-13C	1.53473568014783	0.726512739155746	0	1.32643555352484	0.311480922940377	0			0
M910.6188T14.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M911T881	910.618787889288	881.210507072976	[608][M]-		11	144	@M911.6217T14.7|-13C	1.38761353635627	0.726512739155746	0	0.601795672926187	0.481312257058775	0		svm	0
M452.2735T12.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M452T768	452.273456741352	768.49344219246	[265][M+1]-		180	75	@M408.2836T12.9|+(CO2)|@M451.2701T12.8|+13C	1.31167927077764	0.726512739155746	0	0.978305584409188	0.35539361142531	0			0
M391.2854T14.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M391T881	391.285377348169	880.81007444019	[242][M]-		11	73	@M389.2699T14.8|+(H2)|@M392.2889T14.7|-13C|@M437.2908T14.7|-(HCOOH)|-(H2O-CO)	1.2789856277573	0.726512739155746	0	0.61771337589669	0.473090353823526	0			0
M612.1928T10.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M612T651	612.192758827833	651.198600293868			86	NA		1.20599836744764	0.726512739155746	0	1.00276273192795	0.280447953671806	0			0
M455.3172T15.5	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M455T932	455.317170583032	932.114034130476			176	NA		0.899657456793459	0.726512739155746	0	-0.196407331603629	0.864191570637441	0			0
M216.8537T8.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M217T503	216.853672228497	502.588900086623			136	NA		0.878591407661382	0.726512739155746	0	-0.321703316733329	0.705084507356853	0			0
M172.9913T8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M173T479	172.991342397511	478.962135934438	[55][M]-	[M+Cl]- 138.025	94	5	@M93.0345T8|+(SO3)|@M173.9944T8|-13C|@M174.9874T8|-34S|-41K|-37Cl	0.856858382254094	0.726512739155746	0	-0.867292574765006	0.184521375330255	0			0
M181.0717T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M181T54	181.071747200086	54.4327067289273		[M-H-CO]- 210.075	105	NA		0.819350946861622	0.726512739155746	0	-0.504480608226229	0.347756235941763	0			0
M321.0439T10.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M321T644	321.043904930827	643.73743081995			2164	NA		0.776981714572051	0.726512739155746	0	-0.9753317875339	0.0796696785151251	0			0
M279.1966T14.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M279T862	279.196559837911	862.296693184584			1903	NA		0.740415919949083	0.726512739155746	0	-0.145649920876584	0.91041797968487	0			0
M264.9343T0.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M265T48	264.934338651899	48.4523493189256		[2M-2H+K]- 113.997	18	NA		0.696470545536513	0.726512739155746	0	-0.911271161262215	0.0579332602341945	0			0
M403.1582T18	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M403T1079	403.158223716056	1078.88290935663	[249][M]-		534	74	@M404.1606T18|-13C	-0.691296162160386	0.726512739155746	0	0.423252609554607	0.449004380246423	0			0
M179.1079T15.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M179T911	179.107907254851	910.64725681701			1214	NA		0.684927348564109	0.726512739155746	0	-0.0356189758878394	0.9885778572883	0			0
M762.0928T12.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M762T766	762.092791474005	766.013116652664			54	126	@M682.1502T12.8|+2(NaCl)	0.66614333939479	0.726512739155746	0	0.106650932583088	0.843023880146208	0			0
M459.1456T15.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M459T952	459.145616716294	951.538386832176			41	NA		0.655742680662645	0.726512739155746	0	0.0990737057146696	0.83277303528675	0			0
M588.0529T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M588T53	588.052945621342	53.1511586324551			33	114	@M590.0498T0.9|-34S|-41K|-37Cl	-0.62219489687442	0.726512739155746	0	-0.207939268623912	0.551034888817906	0			0
M129.0557T8.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M129T501	129.055661722718	501.196475253649	[29][M]-		1809	NA		0.609562062354945	0.726512739155746	0	-0.0441793820873073	0.998532007879384	0			0
M349.9614T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M350T54	349.961446465625	54.357155338473		[M+Cl+HCOOH]- 268.976	105	NA		-0.604575579643368	0.726512739155746	0	-0.0665899236760215	0.88356799198578	0			0
M117.0557T7.1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui	2-Hydroxy 3-methylbutyric acid  (alpha-Hydroxyisovaleric acid)	CHEBI:60645	2	a,b	M117T425	117.055711982173	424.703580932414			293	NA		0.602248216945021	0.726512739155746	0	-1.8122800071672	1.9068397263548e-06	1			0
M113.0244T9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M113T538	113.0243596474	537.863477436389			140	NA		0.597528073152576	0.726512739155746	0	-0.257456387867004	0.708057782521285	0			0
M470.0699T8.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M470T519	470.0698871956	519.149747379141			60	3	@M425.0117T8.6|+(C2H7N)	0.59277114996957	0.726512739155746	0	2.111457435824	4.34614767889246e-05	1			0
M175.0248T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M175T71	175.024778989833	71.1178066882914		[2M-H]- 88.0176 [M-H+HCOOH]- 130.026	8	NA		0.576820227102852	0.726512739155746	0	-0.997125533258279	0.00141792679038114	1			0
M194.9275T2.1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M195T125	194.927484008371	125.380527053042			1566	NA		0.557054097686544	0.726512739155746	0	-0.358601172231173	0.531493395834087	0			0
M659.1753T12.8	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M659T765	659.17533268225	765.364486898118			2039	126	@M658.1722T12.8|+13C|@M660.1677T12.8|-15N|@M661.1707T12.8|-34S|-41K|-37Cl|@M662.1734T12.8|-13C-37Cl|-13C-34S|@M704.1933T12.8|-(NH3CO)	0.544340245492867	0.726512739155746	0	0.0215720043325334	0.938317572533294	0			0
M188.0717T11	metabolomics_plasma_c18acqui_neg	LAT	c18acqui	Indole-3-propionic acid	CHEBI:43580	2	a,b	M188T662	188.071690987761	662.270637997254			232	NA		0.538159342166214	0.726512739155746	0	-0.407466865985496	0.416843727328465	0			0
M190.9284T8.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M191T502	190.928370609835	502.249725077914		[M-H+HCOOH]- 145.931	136	NA		0.536208183138784	0.726512739155746	0	-0.176915811255411	0.770114084447865	0			0
M457.3323T14.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M457T877	457.332272835347	876.603127136142			1008	NA		0.531352247414601	0.726512739155746	0	1.0239306226507	0.0162656430440384	1			0
M96.96T2.1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M97T125	96.959988867226	124.648261494738			109	NA		0.527637154983779	0.726512739155746	0	-0.313173965236691	0.434641406543117	0			0
M231.9676T8.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M232T502	231.967647652034	502.468217141327		[M-H]- 232.975	136	NA		0.520238654194955	0.726512739155746	0	-0.404004439493914	0.367509551313649	0			0
M165.0557T9.3	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M165T559	165.055733767196	558.728635140818			294	NA		0.518040374886665	0.726512739155746	0	0.127966927471801	0.695748719627857	0			0
M359.0483T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M359T71	359.048287923263	70.8025775490228			8	70	@M381.0301T1.2|-Na	0.512087273009097	0.726512739155746	0	-0.217834316388208	0.692025512777971	0			0
M425.0117T8.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M425T519	425.011724743013	518.952497359201		[M-H]- 426.019	60	3	@M213.0054T8.7|+(C5H9O7P)|@M446.9938T8.7|-Na|@M462.9675T8.6|-K|@M470.0699T8.7|-(C2H7N)	0.498284653754315	0.726512739155746	0	1.89589397560291	0.000225703355313433	1			0
M544.2682T15.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M544T940	544.268183845464	940.480439842878	[345][M]-		2294	NA		0.495846213984386	0.726512739155746	0	-0.0447566008253411	0.987745466812931	0			0
M629.4554T18	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M629T1079	629.455363502614	1079.15622597863		[2M-2H+Na]- 304.239	534	NA		-0.488381779751379	0.726512739155746	0	0.290396118774376	0.551034888817906	0			0
M212.0023T8.7	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M212T520	212.002293157443	519.575395642256	[89][M]-		1078	3	@M79.9573T8.6|+(C5H8O4)|@M132.0455T8.7|+(SO3)|@M210.9945T8.6|+13C|@M213.0054T8.7|-13C|@M213.9985T8.7|-34S|-41K|-37Cl|@M291.959T8.7|-(SO3)	0.488036729314924	0.726512739155746	0	1.48664816594476	0.000893129266437214	1			0
M292.0723T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M292T53	292.072283515974	53.2396528436159	[141][M]-	[M+Cl]- 257.103	33	NA		-0.486718229479148	0.726512739155746	0	-0.107336956475693	0.695936377369457	0			0
M121.0295T8.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui	4-Hydroxybenzaldehyde	CHEBI:17597	2	a,b	M121T531	121.029485644015	531.479600710349	[23][M]-		182	NA		0.472730993934904	0.726512739155746	0	0.44947663146225	0.132102477189309	0			0
M145.0142T1.2_1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M145T71_1	145.01420607273	71.2274569312638			8	9	@M101.0243T1.2|+(CO2)	0.466740261210436	0.726512739155746	0	-0.467584742212036	0.149879410382065	0			0
M303.233T18	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M303T1079	303.232950344209	1079.05208243587		[M-H]- 304.239	534	49	@M259.2432T18|+(CO2)|@M304.2364T18|-13C|@M305.2395T18|-18O|-13C2	-0.465607870220374	0.726512739155746	0	0.421740111490035	0.213656577633999	0			0
M174.956T8.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M175T503	174.956025042685	502.70150704875		[M-H]- 175.966	136	NA		0.458874987794275	0.726512739155746	0	-0.293743071744318	0.474892245661786	0			0
M102.0279T1.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M102T71	102.0278775672	71.3064507701262	[7][M+1]-		8	9	@M101.0243T1.2|+13C	0.457371137252359	0.726512739155746	0	-0.481468632118183	0.172539179859308	0			0
M294.0694T0.9	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M294T53	294.069376617487	53.2445858082778	[141][M+2]-		33	NA		-0.453213666570383	0.726512739155746	0	-0.1447361672091	0.578180114193606	0			0
M462.9675T8.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M463T518	462.967450991703	518.223241627061			1079	3	@M425.0117T8.6|+K	0.452355755490759	0.726512739155746	0	1.36602925986032	0.000947938912450322	1			0
M155.1078T10.3	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M155T615	155.107770058154	615.050076264474			1713	NA		0.448947526331306	0.726512739155746	0	-0.195810362796635	0.705555438707683	0			0
M98.9558T2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M99T123	98.9558149178906	122.837101686924			1565	NA		0.434285965070336	0.726512739155746	0	-0.295052001783448	0.495585703212318	0			0
M135.1177T17.8_2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M135T1066_2	135.117745479739	1066.43805800381		[M-H-C4H8]- 192.188	14	NA		-0.433088801858359	0.726512739155746	0	0.165732548412853	0.726586502028709	0			0
M260.2468T18	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M260T1079	260.246848726531	1079.08396322827	[122][M+1]-		541	NA		-0.424621921564377	0.726512739155746	0	0.28557077227148	0.462447769788928	0			0
M205.1963T18	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M205T1079	205.196322951247	1079.09740514131			534	NA		-0.420830152749927	0.726512739155746	0	0.673617765373429	0.00591131759639012	1			0
M90.0278T1.4	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M90T83	90.0277869814517	82.7840479910946	[3][M+1]-		1999	NA		0.404215558929492	0.726512739155746	0	-0.228031957631153	0.477457950808261	0			0
M186.1132T10.1	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M186T608	186.113202027229	608.129206278582			1731	NA		0.403047173068613	0.726512739155746	0	-0.780301168101076	0.00599113562616359	1			0
M215.0018T8.6	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M215T518	215.001820443075	517.982670655387	[89][M+3]-		60	NA		0.397465779413588	0.726512739155746	0	0.859925527351539	0.0136919922767498	1			0
M164.0718T9.3	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M164T559	164.071847760324	558.889428442324		[M-H-COCH2]- 207.09	294	NA		0.391227820504472	0.726512739155746	0	0.472421580196119	0.0997673147123169	0			0
M807.5585T15.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			NA		M808T912	807.558548463956	912.332724891684	[539][M+1]-		9	NA		0.382874165475959	0.726512739155746	0	0.426023878185369	0.157961880742161	0			0
M538.315T14.2	metabolomics_plasma_c18acqui_neg	LAT	c18acqui			4		M538T855	538.315025785114	854.51038110453	[333][M]-		1167	88	@M478.2939T14.2|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M479.2973T14.2|+(CH3COO.)|@M539.3184T14.2|-13C|@M540.3212T14.2|-18O|-13C2|@M541.3243T14.2|-13C3|-13C-18O|@M582.3414T14.2|-(C2H4O)|@M606.3025T14.2|-(HCOONa)	0.38035745062713	0.726512739155746	0	-1.29970962384477	1.53607295460913e-06	1			0
