variableMetadata	set	gene	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	formula	monoisotopic_mass	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	chebi_id	hmdb_id	pubchem_id	inchikey	inchi	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M240.1098T61.69	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M240T62	240.109796707037	61.6921222018147			26	NA				NA										1.0038128877525	0.210421378327999	0	0.417978127360959	0.283149365073793	0	2.01086734956101		0
M358.7101T354.15	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M359T354	358.710062461152	354.15250965027			4201	NA				NA										-0.941324198778618	0.210421378327999	0	-0.121170378554329	0.692644996418525	0	2.10518861280199		0
M699.585T424.44_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M700T424_1	699.584980425279	424.444850930016		[M+H+NH3]+ 681.556	38	NA				NA										-0.880323685585379	0.210421378327999	0	-0.446029241047714	0.188941333545305	0	2.07696761347183		0
M728.674T427.35	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M729T427	728.673973184153	427.347428338651			2136	NA				NA										0.752717946401207	0.210421378327999	0	-1.14405255636576	0.000128962576488969	1	2.37247331380153		0
M357.9986T326.51	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M358T327	357.998603894651	326.511318184528			1105	NA				NA										0.604146589601012	0.210421378327999	0	1.33584689546639	1.00611782674775e-05	1	0.704606518610302		0
M325.2069T361.34	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M325T361	325.206909203147	361.344017671787	[507][M]2+		107	216	@M325.7087T361.34|-13Cdb			NA										-0.538156865711867	0.210421378327999	0	-1.08138912679932	2.93070492235111e-05	1	1.06945744719409		0
M435.9794T63	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M436T63	435.979392940082	62.9966051393019			26	256	@M437.9746T63.03|-34S|-41K|-37Cl			NA										0.457579060468145	0.210421378327999	0	0.144765667156857	0.388107937579547	0	2.02737320962088		0
M249.9839T48.79	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M250T49	249.983881953517	48.7912162608173	[305][M+1]+		1331	NA				NA										0.431148205121106	0.210421378327999	0	-0.139871436829136	0.587635753273464	0	2.76724228450277		0
M129.0664T163.18	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M129T163	129.066381092024	163.184754021338			11	NA				NA										0.429216102382181	0.210421378327999	0	-0.137089030132127	0.588548716683427	0	2.15794091157791		0
M784.7554T394.34_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M785T394_1	784.755359843989	394.338651024952	[1311][M]+		699	NA				NA										-0.302967865895477	0.210421378327999	0	0.0109783557953786	0.947453107444626	0	2.52024336032439		0
M494.3952T990.85	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M494T991	494.395188774724	990.851117196699	[823][M+1]+		81	285	@M430.38T991.02|+(H2O)+(HCOOH)|@M431.3861T990.99|+Na+CH3CN|@M432.3904T991.02|+(H2O)+(CO2)|@M452.3651T990.95|+(C2H4N.)|@M453.3684T990.95|+(CH3CN)|+(C2H3N)|@M493.3919T990.94|+13C			NA										3.28300977701223	0.210516282256736	0	1.56167439011448	0.236199288215298	0	1.79366207336246		0
M931.8735T440.01	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M932T440	931.873524168533	440.014746012029	[1425][M+2]2+		1987	NA				NA										-1.38464643431332	0.210516282256736	0	-1.14472898567016	0.0433732681858004	1	1.69111307965033		0
M946.577T446.86_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M947T447_1	946.577032724501	446.859614616642			1990	NA				NA										-1.00379487215615	0.210516282256736	0	0.0766486761964575	0.994003289253174	0	2.18338736769453		0
M231.1715T155.51	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M231T156	231.171522184875	155.505953346129			4603	NA				NA										-0.958209607922845	0.210516282256736	0	-0.37817855970245	0.30920373955814	0	1.68900398919647		0
M660.3594T384.13_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M660T384_2	660.35935486894	384.128734088406			690	NA				NA										-0.874033564534839	0.210516282256736	0	0.998942847420359	0.00595375461959562	1	2.14373682961865		0
M660.6935T384.13_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M661T384_1	660.693521326756	384.128734088406			691	NA				NA										-0.834688725554511	0.210516282256736	0	0.946681653855157	0.00656184615802074	1	2.16179154152771		0
M234.0617T62.99	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M234T63	234.06167166401	62.9881070781855		[M+2H-C6H10O4]2+ 612.156	26	NA				NA										0.751250218371471	0.210516282256736	0	-0.51182607865727	0.138592164039997	0	2.76493889152578		-0.0171176339013475
M561.7894T273.1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M562T273	561.78937470251	273.103591437105			4330	NA				NA										-0.686823511564301	0.210516282256736	0	0.0852649421926071	0.92623739523616	0	2.00054272330825		0
M101.0603T100.72	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M101T101	101.060327537102	100.716076899149		[M+K]+ 62.0956	69	NA				NA										0.412987919331798	0.210516282256736	0	-0.0443950459015774	0.947453107444626	0	2.49739908365198		0
M298.0975T231.2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M298T231	298.097462142133	231.196744302387		[M+Na+NaCOOH]+ 207.12	8	NA		5'-Methylthioadenosine;5'-Deoxy-5'-(methylthio)adenosine	C11H15N5O3S	297.08956	C00170	Amino acid metabolism	Cysteine and Methionine	Methionine	CHEBI:17509	HMDB01173	CID439176	WUUGFSXJNOTRMR-IOSLPCCCSA-N	InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1	0.35775362180766	0.210516282256736	0	-0.698713832390759	2.69102624938926e-06	1	1.97484675965543		0
M784.4212T394.35	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M784T394	784.42121103132	394.350288877366	[1310][M]+		698	539	@M785.4239T394.39_3|-13C			NA										-0.307619319057411	0.210516282256736	0	0.00630031491181526	0.928244844199341	0	2.53469598678025		0
M465.1465T359.45	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M465T359	465.146515804098	359.448493188475			4361	NA				NA										0.482651343745641	0.216393156247249	0	1.35823306441391	9.06964067757811e-07	1	0.755980667222307		0
M660.025T384.13_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M660T384_1	660.025014539934	384.125309917648	[1139][M]+		689	476	@M661.0277T384.13_2|-13C			NA										-0.85123263224002	0.219192696524042	0	1.01593835920596	0.00434965373480901	1	2.10399297218617		0
M240.0358T187.4	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M240T187	240.035795390226	187.403274352389			4032	NA				NA										0.474347627359508	0.219192696524042	0	-1.50191694068222	8.95423464612825e-11	1	1.6396644203016		0
M845.702T447.34_3	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M846T447_3	845.70198939149	447.342747304453			1966	NA				NA										-0.570165548368024	0.243290730907354	0	-0.637387980534957	0.0116220999599515	1	1.46426761337625		0
M313.6625T268.24	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M314T268	313.662468676004	268.235012059986			4383	NA				NA										-0.41487444996995	0.244848056880699	0	-0.963261187960414	1.41041962081265e-05	1	0.77330413682649		0
M317.2088T311.23	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M317T311	317.208806387263	311.231959358524			3726	NA				NA										-0.717181558922158	0.247812401992885	0	0.03025413333825	0.95908131185981	0	2.40814827928945		0
M237.0881T123.77	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M237T124	237.088098314771	123.7719948614	[271][M]+		3215	116	@M238.0915T123.73|-13C			NA										-0.801214793785487	0.254166844462645	0	0.049758318371417	0.988104580389771	0	1.94521910936852		0
M845.8842T447.35_5	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M846T447_5	845.884224898883	447.349038441348			1968	NA				NA										-0.582908292340395	0.254166844462645	0	-0.665918433330827	0.0111834795913017	1	1.42052991396001		0
M431.061T48.82	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M431T49	431.060982698729	48.8159766300445			1466	NA				NA										-0.34336443781471	0.267481458605226	0	0.151167530350085	0.447583469769724	0	2.41518621521444		0
M218.1143T64.78	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M218T65	218.114283911656	64.7813126877461	[226][M]+	[M+H-COCH2]+ 259.114	124	NA				NA										0.389517736467077	0.276245109874513	0	0.202334492794673	0.228249712589941	0	2.16692351314213		0
M437.9746T63.03	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M438T63	437.974568481564	63.0330368254205	[723][M]+	[M+Na+NaCOOH]+ 346.99 [M+Na+NaCOOH]+ 346.99	26	256	@M393.9845T62.95|+(CO2)|@M435.9794T63|+34S|+41K|+37Cl			NA										0.427041735623305	0.279127288923626	0	0.129522843503363	0.472000492004709	0	1.93305758792559		0
M239.165T655.26	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M239T655	239.165040882038	655.25669679521			25	NA				NA										0.951755120183744	0.284551116578861	0	0.0897159774866658	0.775066818308057	0	2.34352356864002		0
M432.2449T390.9	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M432T391	432.244919350847	390.895899274361			627	NA				NA										-0.735328814407827	0.291825755869015	0	0.0069833711970162	0.919738695568571	0	2.06677202330451		0
M131.3289T75.06_43	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M131T75_43	131.328889540849	75.0558022226248			1	NA				NA										-0.521727974327693	0.293385217759534	0	0.0532613424756114	0.959076797771566	0	1.86355559339397		0
M288.9951T55.4	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M289T55	288.995096926605	55.4010836408496			1774	NA				NA										-0.38187178358179	0.297466715212401	0	0.111919780788185	0.682085701025904	0	2.21537093997868		0
M429.3754T950.68	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M429T951	429.375366162709	950.677204495666	[708][M]+		116	286	@M430.3787T950.71|-13C			NA										1.48985980671236	0.30256721959822	0	-0.142565088657143	0.968136791518785	0	1.83516323526437		0
M468.3388T991.07	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M468T991	468.338758133319	991.066717538416		[M+K]+ 429.376	81	285	@M430.38T991.02|+K			NA										4.06239227342368	0.303971900716004	0	0.549403419175889	0.720168678895101	0	1.86240998727677		0
M946.6787T447.04_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M947T447_2	946.678725476632	447.044429000847			1991	NA				NA										-0.909970475958129	0.303971900716004	0	-0.193396072128714	0.609881844998007	0	1.96543121452164		0
M431.2678T392.74	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M431T393	431.267752808484	392.743999126098			626	NA				NA										-0.576217821393163	0.303971900716004	0	-0.805156074914878	0.00416706778293181	1	1.46541001452168		0
M252.1072T339.66	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M252T340	252.107236502116	339.664116103945	[311][M+1]+		88	NA				NA										0.357302385505038	0.303971900716004	0	1.09038818279445	1.23057003442994e-06	1	0.653566092245101		0
M374.1406T58.12	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M374T58	374.140637911461	58.1244306626032	[592][M+1]+		53	NA				NA										0.267193430119331	0.303971900716004	0	0.0938671285046286	0.421989101309828	0	1.67981096889821		0
M291.0989T142.58	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M291T143	291.098871624141	142.582171987428			87	NA				NA										0.743918992058134	0.313880477597653	0	0.236204408527373	0.472214133523687	0	2.33775525531584		0
M845.9753T447.4_6	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M846T447_6	845.975290023106	447.396126987215			1969	NA				NA										-0.574816097394702	0.313880477597653	0	-0.702300159418247	0.0110916948288219	1	1.30665188962681		0
M785.0894T394.28_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M785T394_2	785.089429973166	394.276059870735			700	NA				NA										-0.284476163928399	0.316445210494713	0	0.0255795480598362	0.975418961394907	0	2.2821482885481		0
M881.7408T991.01	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M882T991	881.740846290847	991.009483431557	[1405][M]+	[2M+Na]+ 429.376	81	575	@M882.7443T991.01|-13C|@M883.7476T990.91|-18O|-13C2			NA										3.11913680856428	0.329941948914248	0	1.30695319939546	0.352977709305299	0	1.58228317617554		0
M224.0929T259.56	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M224T260	224.09287863898	259.560416056917	[240][M]+		2481	106	@M225.0962T259.5|-13C|@M246.075T259.59|-Na	N-Acetyl-L-tyrosine	C11H13NO4	223.08446		Amino acid metabolism	Tyrosine metabolism	Others	CHEBI:21563	HMDB00866	CID68310	CAHKINHBCWCHCF-JTQLQIEISA-N	InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1	0.702085126290939	0.329941948914248	0	0.682303758035935	0.0407794271083203	1	1.88361123538026		0
M874.1036T424.35_1	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M874T424_1	874.103566824489	424.345073031295	[1400][M]2+		38	572	@M874.6052T424.27_1|-13Cdb			NA										-0.684425061364847	0.329941948914248	0	-0.411921929507043	0.193378206905438	0	1.79884141736676		0
M115.0508T58.54	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M115T59	115.050811716252	58.5398892453028		[M+H]+ 114.048	53	NA		Dihydrouracil|1-Methylhydantoin;N-Methylhydantoin	C4H6N2O2	114.0429	C00429|C02565	Amino acid metabolism|Metabolism of cofactors and vitamins|Metabolism of other amino acids|Nucleotide metabolism	Aginine and Proline metabolism|Pantothenate and CoA biosynthesis|beta-Alanine metabolism|Pyrimidine metabolism	Arginine|beta-Alanine|Uracil	CHEBI:15901|CHEBI:16354	HMDB00076|HMDB03646	CID649|CID69217	OIVLITBTBDPEFK-UHFFFAOYSA-N|RHYBFKMFHLPQPH-UHFFFAOYSA-N	InChI=1S/C4H6N2O2/c7-3-1-2-5-4(8)6-3/h1-2H2,(H2,5,6,7,8)|InChI=1S/C4H6N2O2/c1-6-2-3(7)5-4(6)8/h2H2,1H3,(H,5,7,8)	0.587499574006216	0.329941948914248	0	0.337565709506336	0.21306273760173	0	1.92390142266383		0
M205.0744T371.49	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M205T371	205.07440282682	371.485034463111			79	NA				NA										0.448539794884988	0.329941948914248	0	0.0709291679937429	0.694253975778352	0	1.90905118162231		0
M775.3108T447.44_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M775T447_2	775.310814583436	447.438820741736			1955	NA				NA										-0.707426549349401	0.33042561511214	0	-0.747015893339707	0.0281244477149841	1	1.38910610973802		0
M273.2187T400.54	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M273T401	273.218657475223	400.538123689727		[M+H]+ 272.208 [2M+3H]3+ 408.305	132	NA				NA										-0.434182329132959	0.339106504120374	0	-0.113392833795258	0.55459533483081	0	2.11042120195678		0
M401.343T860.16	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M401T860	401.342984592342	860.158419769314			54	NA				NA										-1.23828546154508	0.348943643172963	0	-0.164374677660618	0.74082999667926	0	1.76463761918302		0
M710.2244T299.42_5	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M710T299_5	710.22440364895	299.419260468381			9	NA				NA										0.861965633995741	0.348943643172963	0	-0.202544371558544	0.78361408716262	0	2.27489826404645		0
M251.0498T287.07	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M251T287	251.049809587878	287.067139780516	[310][M]+		101	NA				NA										0.799281760119094	0.348943643172963	0	1.07269611693668	0.00897481062385978	1	1.34115331685045		0
M776.9809T424.6	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M777T425	776.980874958101	424.601452426837		[M+Na]+ 753.99 [M+Na]+ 753.99	38	NA				NA										-0.776710540938614	0.348943643172963	0	-0.629996383781885	0.0921660000460001	0	1.61381005684106		0
M846.2477T447.26_9	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M846T447_9	846.247743523133	447.263595190038			1972	NA				NA										-0.637162881088399	0.348943643172963	0	-0.648979408360521	0.039635453206961	1	1.3940258671855		0
M874.2288T424.35_2	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M874T424_2	874.228794065265	424.345073031295	[1401][M]2+		38	NA				NA										-0.636679648519836	0.348943643172963	0	-0.499633197743778	0.107133970476234	0	1.65585500264999		0
M305.155T222.64	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M305T223	305.154970448984	222.636393237076	[473][M+1]+		4577	NA				NA										-0.634789905687192	0.348943643172963	0	0.177701873412758	0.729267256960875	0	2.03776853506601		0
M777.4273T424.35_4	metabolomics_plasma_c18hyper_pos	LAT	c18hyper	M777T424_4	777.427323345122	424.348281856123	[1292][M]+		38	NA				NA										-0.634640054200656	0.348943643172963	0	-0.445177677101679	0.14050081683567	0	1.73624500706138		0
