variableMetadata	chromato	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	mixomics_LAT	mixomics_MX2
M89.0243T1.2	c18acqui	M89T71	89.0243491336104	71.3080511060262	[2][M]-		8	4	@M90.0277T1.2|-13C	Unknown		4		0.17169387327602	0.552015004652139	0	-0.151194973307344	0.252436729074522	0	-0.0373284372650531	0.955616617470517	0	-0.0283485338472502	0.916636868861772	0	1.92567675827326	0.0550636883177059	E	E	E	E	E	E	0	0
M137.0356T1.2	c18acqui	M137T71	137.035578328491	71.2137695957664			8	5	@M93.0458T1.2|+(CO2)	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b	0.101737348577659	0.927390516586085	0	0.207336918103943	0.507447769741669	0	0.523667195887892	0.417263813166822	0	0.0463260822621763	0.946496471083108	0	0.552595171331603	2.46545798665471	E	E	E	E	E	E	0	0
M96.96T2.4	c18acqui	M97T143	96.9599809218482	143.297456270798			142	6	@M98.9558T2.4|-34S|-41K|-37Cl	Unknown		4		0.156982710404021	0.770189070025714	0	0.329470272126306	0.0958256113191227	0	0.038897613804906	0.972722738517508	0	0.0723030853365625	0.827657865976497	0	1.44062293198999	0.454363559138484	E	E	E	E	E	E	0	0
M115.9206T7.5_1	c18acqui	M116T452_1	115.920569003448	452.438414701097		[M+Cl]- 80.9477	32	7	@M116.9285T7.5_1|-13C|@M117.9285T7.5|-18O|-13C2	Unknown		4		-0.09657332846621	0.955333775599802	0	0.508723828806451	0.0219935069585442	1	-0.0250171108912216	0.955616617470517	0	0.534703361000801	0.0210730091462382	1	0.096145414102811	0.631854404690727	E	E	E	E	E	E	0	0
M116.9285T7.5_1	c18acqui	M117T452_1	116.928454443286	452.449075866946			32	7	@M99.9257T7.5|+(OH.)|@M115.9206T7.5_1|+13C|@M117.9285T7.5|-13C|-15N	Unknown		4		-0.0117280824641526	0.978216938503131	0	0.633374382815328	0.00389654430719091	1	-0.0171171792979781	0.955616617470517	0	0.694489808269596	0.00234140522326995	1	0.468227471526613	0.575409498438264	E	E	E	E	E	E	0	0
M115.9207T8.6	c18acqui	M116T519	115.920651108811	518.583239779087			60	8	@M116.9285T8.6|-13C|@M117.9285T8.6|-18O|-13C2	Unknown		4		0.115428878483334	0.671810770738823	0	0.346741360984408	0.00518539343128472	1	-0.155552310178399	0.765561366864927	0	0.404343873335206	0.034199054644837	1	1.39217798896995	1.36054981291984	E	E	E	E	E	E	0	0
M116.9285T8.6	c18acqui	M117T519	116.928469821716	518.868958363584			60	8	@M99.9257T8.7|+(OH.)|@M115.9207T8.6|+13C|@M117.9285T8.6|-13C|-15N	Unknown		4		0.149562896905801	0.557216260922575	0	0.341704612983449	0.00580898007944906	1	-0.100954728063325	0.862864456443553	0	0.391475786328025	0.0525533415689477	0	1.58413347952209	1.13860043548831	E	E	E	E	E	E	0	0
M102.0279T1.2	c18acqui	M102T71	102.0278775672	71.3064507701262	[7][M+1]-		8	9	@M101.0243T1.2|+13C	Unknown		4		0.475214850115474	0.512679388157418	0	-0.487219899709338	0.120035178081528	0	0.0852331366889523	0.862864456443553	0	-0.609139077127651	0.00133971360246798	1	1.6258240747088	0.62681891268359	E	E	E	E	E	E	0	0
M145.0142T1.2_1	c18acqui	M145T71_1	145.01420607273	71.2274569312638			8	9	@M101.0243T1.2|+(CO2)	Unknown		4		0.473154850334275	0.483894110639079	0	-0.48437249709035	0.0796030450776231	0	0.219090336488554	0.612359922715218	0	-0.754168222812373	0.000157017894240415	1	1.82191199186547	1.10540803327895	E	E	E	E	E	E	0	0
M146.0458T0.9	c18acqui	M146T54	146.045835760397	54.412537134361	[42][M]-	[M-H-C3H2O3]- 233.055 [M-H-C6H10O5]- 309.106	105	10	@M102.056T0.9|+(CO2)	L-glutamic acid	CHEBI:16015	1	a,b,c	0.250910602818974	0.552015004652139	0	-0.0965623105248721	0.708989612643217	0	0.0828315076814015	0.809581653827289	0	-0.465848950016838	0.00136889287372728	1	2.0856103320144	0.590615402157281	E	E	E	E	E	E	0	0
M102.9567T0.8	c18acqui	M103T50	102.956730394485	50.3683204829722			44	11	@M104.9538T0.8|-34S|-41K|-37Cl	Unknown		4		0.0435483687707183	0.872542621932432	0	0.075304683264708	0.406133031403344	0	-0.0832964197119921	0.764895539561146	0	0.0054663871767211	0.949877496885316	0	0.6799882225687	1.48752527601356	E	E	E	E	E	E	0	0
M108.0536T9.4	c18acqui	M108T564	108.053573443776	563.740761694054	[9][M+1]-		96	12	@M107.0502T9.4|+13C|@M188.0101T9.4|-(SO3)	Unknown		4		0.450296419966286	0.823984163983343	0	-0.0234163725280574	0.993077063730432	0	-0.36460433791845	0.780456007582398	0	1.42775736919117	0.00661075309259017	1	0.579986686234757	0.719752548396629	E	E	B	E	E	E	0	0
M187.007T9.4	c18acqui	M187T564	187.007031802144	563.678292095001	[69][M]-	[M+Cl]- 152.041	96	12	@M107.0502T9.4|+(SO3)|@M188.0101T9.4|-13C|@M189.0032T9.4|-34S|-41K|-37Cl	Unknown		4		0.631117681531499	0.763304547411337	0	0.0296097583591717	0.948134447598598	0	-0.65499587180989	0.678924715311304	0	1.88417337311165	0.00492084197687396	1	0.679992003613094	0.942297960248332	E	E	B	E	E	A	0	0
M188.9863T7.5	c18acqui	M189T452	188.98629673665	452.135701036013	[72][M]-	[M-H]- 189.988	32	13	@M109.0294T7.5|+(SO3)|@M189.9894T7.5|-13C			NA		0.0841251920437802	0.95331453859312	0	0.207530840740121	0.553812062094481	0	-0.580798106281842	0.481605298367394	0	0.0327618252798523	0.910634738342229	0	0.739714060356744	2.03701635274849	E	E	E	E	E	E	0	0
M111.0087T1.2_2	c18acqui	M111T72_2	111.008701881015	71.5369075251912	[11][M]-	[M-H]- 112.018 [M-H-H20]- 130.026	8	14	@M112.0121T1.2_1|-13C|@M129.0193T1.2_1|-(H2O)			NA		0.270595586442653	0.202560823996226	0	0.1684370647157	0.115191715306681	0	0.0239914549104547	0.960413313694109	0	0.0134673797260696	0.95029712326227	0	2.85557246466901	0.136206130390663	E	E	E	E	E	E	-0.171078668301986	0
M173.0819T9.1	c18acqui	M173T548	173.081871034696	548.340830466104	[56][M]-		129	15	@M111.0815T9.1|+(H2O)+(CO2)|@M174.0854T9.1|-13C			NA		0.0541673393192532	0.934702407845416	0	0.0143550677786077	0.941856149868218	0	0.19385843835795	0.764895539561146	0	-0.0919186386269129	0.690806788729021	0	0.734210452520373	1.56344559602837	E	E	E	E	E	E	0	0
M114.934T8.4	c18acqui	M115T502	114.934042286944	502.114231227306			1806	16	@M116.9284T8.4|-34S|-41K|-37Cl			NA		0.240081649424676	0.736616214375568	0	-0.0860004297244377	0.82783667892993	0	0.0623379264898993	0.951711780952968	0	-0.143068566854984	0.653569344675409	0	1.48245875529904	0.198971490305739	E	E	E	E	E	E	0	0
M115.9206T8.4	c18acqui	M116T502	115.920610060723	502.310769924515			136	16	@M116.9284T8.4|-13C|@M117.9286T8.4|-18O|-13C2			NA		0.249443767007262	0.648656621845764	0	0.0668771762385862	0.759337503108796	0	0.141478844639451	0.885283741728415	0	-0.0808972148312073	0.812291691258577	0	1.71628493599348	0.0204585799988826	E	E	E	E	E	E	0	0
M116.9284T8.4	c18acqui	M117T502	116.928439959678	502.460370984149		[M-H-CO]- 145.931	136	16	@M114.934T8.4|+34S|+41K|+37Cl|@M115.9206T8.4|+13C|@M117.9286T8.4|-13C|-15N			NA		0.325550790364163	0.58117035269514	0	-0.0300910524250924	0.98981942635577	0	0.207545719191272	0.797499621446102	0	-0.148841828807234	0.6180061153187	0	1.77336035213193	0.325148926521006	E	E	E	E	E	E	0	0
M133.0142T1.2	c18acqui	M133T71	133.014222797696	70.7607900457254		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2			NA		0.476428112544511	0.178578264199715	0	0.219237913700784	0.199116974767989	0	0.0633148331922158	0.930983111769522	0	0.0399760350384604	0.893450195249476	0	2.86130858250338	0.474332023002831	E	E	E	E	E	E	-0.0671321146276809	0
M115.9206T7.9	c18acqui	M116T476	115.920593543884	476.029095748172			201	18	@M116.9284T7.9|-13C			NA		0.278071934755372	0.687484132444199	0	0.261294709128814	0.3472079851199	0	0.296109345431823	0.780058157881769	0	0.43759604677564	0.211388832875742	0	1.4381305421839	0.426169078394083	E	E	E	E	E	E	0	0
M116.9284T7.9	c18acqui	M117T476	116.928440213309	476.249196843817			2087	18	@M115.9206T7.9|+13C			NA		0.322462426850683	0.626665363937795	0	0.294225420788564	0.292461192343562	0	0.385013262679569	0.685031655146913	0	0.446414298520425	0.208148074516363	0	1.63397433056054	0.678683146719454	E	E	E	E	E	E	0	0
M115.9206T9.4	c18acqui	M116T564	115.920637606379	564.47061808701			1434	19	@M116.9284T9.4|-13C			NA		0.0693174035547504	0.841862256815335	0	-0.0517200590698703	0.705232334445089	0	-0.0754662797540799	0.79301713645401	0	0.110133521178952	0.302052595170978	0	0.793110974560532	0.868080276998596	E	E	E	E	E	E	0	0
M116.9284T9.4	c18acqui	M117T564	116.92844442669	564.120896469118			96	19	@M115.9206T9.4|+13C			NA		0.11388256155052	0.742559149407324	0	-0.0655134135419928	0.673288746601312	0	-0.0161561909361758	0.955616617470517	0	0.103347867177934	0.366929302143562	0	0.924163419067503	0.0447702230046179	E	E	E	E	E	E	0	0
M115.9206T9	c18acqui	M116T538	115.920616032899	538.265050993291			1830	20	@M116.9284T9|-13C			NA		0.0310223419627551	0.955333775599802	0	-0.0748201706149505	0.435961828393924	0	-0.109366472027174	0.800710850717945	0	-0.0763367960398895	0.655901798235976	0	0.860168714700383	1.28769451710968	E	E	E	E	E	E	0	0
M116.9284T9	c18acqui	M117T538	116.928439018344	537.642956508352			1831	20	@M115.9206T9|+13C			NA		0.0576874004274632	0.829562460374315	0	-0.0594703621032497	0.542314566280586	0	-0.106606852242381	0.800710850717945	0	-0.102686655211119	0.515400876277063	0	1.25789074991517	1.2074992312827	E	E	E	E	E	E	0	0
M203.0826T7.5	c18acqui	M203T452	203.082596203659	452.39203297335	[83][M]-	[M-H]- 204.091	32	21	@M116.0505T7.5_2|+(C3H5NO2)|@M159.0927T7.5|+(CO2)|@M204.0858T7.5|-13C	L-Tryptophan	CHEBI:27897	1	a,b,c	0.0362468332838368	0.927390516586085	0	0.527219726307557	0.00315803734480508	1	-0.0241627709105039	0.949938360835653	0	0.485856642036541	0.00602059277269563	1	0.784878088859846	0.291475878606452	E	E	E	E	E	E	0	0
M119.0503T9.2	c18acqui	M119T554	119.050301549604	553.679386236466		[M-H-CO2]- 164.047	194	22	@M163.04T9.2|-(CO2)			NA		0.0549966993627677	0.981930033222828	0	-0.127445088513669	0.829940913168878	0	0.6163564156349	0.697520322386001	0	0.552871648742871	0.366929302143562	0	0.430843462507029	1.31856459037115	E	E	E	E	E	E	0	0
M121.0295T8.9	c18acqui	M121T531	121.029485644015	531.479600710349	[23][M]-		182	23	@M122.0328T8.9|-13C	4-Hydroxybenzaldehyde	CHEBI:17597	2	a,b	0.485421927205337	0.450237053523024	0	0.420209781114622	0.11862264208119	0	0.507974306803696	0.482861091575339	0	0.63258191798503	0.0457734491842296	1	2.25351533820941	1.63394348716293	E	E	E	E	E	E	0	0
M124.0073T0.9	c18acqui	M124T53	124.007336473433	52.6476572738028	[24][M]-	[M-H]- 125.017	33	24	@M181.966T0.9|-(NaCl)	L-taurine	CHEBI:15729	2	a,b	0.125774607805027	0.6957862164551	0	-0.0142703383776634	0.985891981078264	0	0.24339260597516	0.215849679383811	0	-0.23658489504302	0.0208656918471647	1	1.3838661743374	2.23829833780589	E	E	E	E	E	E	0	0
M183.9629T0.9	c18acqui	M184T52	183.9628663174	52.3443755290355		[M-H]- 184.969	33	24	@M181.966T0.9|+34S|+41K|+37Cl	Unknown		4		0.148906634068171	0.578341805615655	0	-0.0717875235585144	0.636215975714699	0	0.242512575316471	0.283043562991542	0	-0.257942280122897	0.0180932997774884	1	1.8852456399176	1.99729856757126	E	E	E	E	E	E	0	0
M130.0622T1	c18acqui	M130T58	130.06215420357	58.1451779251806		[M-H]- 131.071	105	25	@M166.0389T1|-(HCl)	Unknown		4		0.185578990345542	0.5664146010417	0	-0.252127405492979	0.059844034188204	0	0.302199161373448	0.248119662404898	0	-0.265697854079519	0.0400088255592455	1	1.71596963657035	1.89974914079542	E	E	E	E	E	E	0	0
M130.0661T10.3	c18acqui	M130T617	130.066098800329	616.98031454028			1705	26	@M174.056T10.3|-(CO2)			NA		1.35857984212115	0.0417976307531082	1	0.17219932912927	0.558033655957078	0	0.618151956084459	0.481605298367394	0	0.0186214103462277	0.989449680975318	0	3.14150761385588	1.15513890905018	A	E	A	E	E	A	-0.524235802521666	0
M158.9785T0.7	c18acqui	M159T43	158.978495667859	43.4268570318642			90	27	@M130.9836T0.7_2|+(CO)|@M159.9798T0.7|-13C|-15N			NA		0.122614287838612	0.557216260922575	0	0.0857619612853213	0.35429420338634	0	-0.0561483114349208	0.869476668395259	0	0.0280578954369304	0.814636835007927	0	1.89576398301645	0.596983783411229	E	E	E	E	E	E	0	0
M131.0826T0.9	c18acqui	M131T55	131.082554295268	54.6444154280761	[32][M]-		105	28	@M174.0884T0.9|-(NHCO)	L-Ornithine	CHEBI:15729	2	a,b	0.20250885234789	0.502356907076068	0	0.204788613566135	0.0961758042639389	0	0.146396598950274	0.655811176757824	0	0.181023912298082	0.127691897414997	0	1.95165270840456	1.44353860037796	E	E	E	E	E	E	0	0
M178.0509T8.4	c18acqui	M178T502	178.050932788848	502.310769924515	[59][M]-	[M-H]- 179.058	136	29	@M134.061T8.4|+(CO2)			NA		0.812531159150454	0.713090814423533	0	-0.272662833103846	0.839697743505668	0	0.463071825173472	0.768647744039743	0	-0.475805546527786	0.400387940370911	0	1.14828318002814	0.915880890760939	E	E	B	E	E	E	0	0
M139.1128T15.9	c18acqui	M139T952	139.112765059232	951.688575941322			41	30	@M207.1026T15.9|-(HCOONa)			NA		0.462855833353217	0.713090814423533	0	0.31526856404281	0.53329376189849	0	0.679053948626805	0.411466346183162	0	-0.0453172168101634	0.863963791036264	0	1.33464020937193	2.04640329863583	E	E	E	E	E	E	0	-0.0610497389875048
M163.1128T15.9	c18acqui	M163T952	163.112849808759	951.680678826546			41	30	@M180.1112T15.9|-(OH.)|@M207.1026T15.9|-(CO2)			NA		0.423550816176869	0.790703732784052	0	0.0669300749565203	0.896888781075007	0	0.614820837547203	0.481605298367394	0	-0.216662637969739	0.563895019183204	0	1.14122131320732	1.73779809241996	E	E	E	E	E	E	0	0
M179.1077T15.9	c18acqui	M179T952	179.107731474753	951.679791769128	[61][M]-		41	30	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)			NA		0.397723622535295	0.823984163983343	0	-0.01949591496445	0.993077063730432	0	0.715038463639191	0.424214738064623	0	-0.217291362081653	0.54792457423209	0	1.07016165311162	2.00641779198972	E	E	E	E	E	E	0	0
M208.1093T15.9	c18acqui	M208T952	208.109278527418	951.648555784794			41	30	@M180.1112T15.9|+(CO)|@M207.1026T15.9|+13C			NA		0.362456185453061	0.816324024231696	0	0.243029062496529	0.642737596080482	0	0.617647175984237	0.481605298367394	0	0.0316211677041114	0.986873410969791	0	1.01504201821379	1.83129186423426	E	E	E	E	E	E	0	0
M174.9561T0.7_1	c18acqui	M175T43_1	174.956064601078	43.1329798232198	[58][M]-		90	31	@M146.9611T0.7_2|+(CO)|@M175.9596T0.7|-13C			NA		0.137432595769237	0.790703732784052	0	-0.144651436615135	0.426993564410375	0	0.0144501062864144	0.969325773245149	0	-0.219331840123139	0.155187274479582	0	1.09986778198991	0.178710691362695	E	E	E	E	E	E	0	0
M189.0081T0.7	c18acqui	M189T43	189.008139348729	43.1423333026378		[M-H]- 190.015	90	31	@M146.9611T0.7_2|+(C3H6)			NA		0.0998369524705431	0.841862256815335	0	-0.16017378249118	0.309359934006565	0	-0.0168240716865018	0.98715026677673	0	-0.223192136301474	0.130177329531228	0	0.591917577321318	0.218590680190755	E	E	E	E	E	E	0	0
M157.0367T1	c18acqui	M157T58	157.036674398529	58.3268445715955			105	32	@M193.0134T1_2|-(HCl)			NA		0.344726723721845	0.185605826370374	0	-0.132820020428857	0.466405194495478	0	0.414480543232578	0.0681555266804059	0	-0.0318022261916795	0.743510436287044	0	2.48214458008035	3.10973626729491	E	E	E	S	E	E	0	-0.169947219340559
M204.0666T9.9	c18acqui	M204T593	204.066631170941	593.062311040761			1539	33	@M160.0767T9.9|+(CO2)			NA		0.426850363548814	0.929555746082936	0	-1.08935989904966	0.238631848732387	0	-0.336293114922071	0.900015579988087	0	-0.957500088699286	0.242945978702152	0	0.383307050068	0.287023541048022	E	E	E	E	E	E	0	0
M161.1334T15.7	c18acqui	M161T943	161.133402038634	943.485635252172		[M-H-CO2]- 206.131	135	34	@M205.1234T15.7|-(CO2)|@M233.1185T15.7|-(CO2)-(CO)			NA		0.150091427926958	0.955333775599802	0	0.0703392422255682	0.929585468671231	0	0.400807621778732	0.703154396186621	0	-0.267480552674121	0.505360895693176	0	0.506663378263311	1.0635688079547	E	E	E	E	E	E	0	0
M205.1234T15.7	c18acqui	M205T943	205.123396026015	943.477975797246	[85][M]-	[M-H]- 206.131 [M-H-CO]- 234.126	135	34	@M161.1334T15.7|+(CO2)|@M206.1269T15.7|-13C|@M233.1185T15.7|-(CO)			NA		0.398894913711242	0.853534623873845	0	0.0104102179988601	0.974686709322919	0	0.613910205963085	0.606329014330985	0	-0.288639335822861	0.534773433237108	0	0.859994799781361	1.36270817643079	E	E	E	E	E	E	0	0
M206.1269T15.7	c18acqui	M206T943	206.126923177577	943.427715610884	[85][M+1]-		135	34	@M205.1234T15.7|+13C|@M234.1259T15.7|-(CO)|@M325.2174T15.7|-(NC3H9)-(CH3COOH)			NA		0.232716230342234	0.934702407845416	0	-0.0998101624729255	0.931473213701979	0	0.259164181110121	0.862864456443553	0	-0.333174234809048	0.48582361436853	0	0.569647447937956	0.376490923856465	E	E	E	E	E	E	0	0
M233.1185T15.7	c18acqui	M233T943	233.118466280782	943.206605320416		[M-H]- 234.126	135	34	@M161.1334T15.7|+(CO2)+(CO)|@M205.1234T15.7|+(CO)|@M234.1259T15.7|-13C			NA		0.382849121398474	0.832810596526042	0	-0.0142703015110275	0.990720215774714	0	0.359189090707506	0.749142461593554	0	-0.40249330627832	0.319672682939736	0	0.834987369827067	1.01900591894726	E	E	E	E	E	E	0	0
M234.1259T15.7	c18acqui	M234T943	234.125949860521	943.166100386682			135	34	@M206.1269T15.7|+(CO)|@M233.1185T15.7|+13C			NA		0.352000574254188	0.886277676473771	0	-0.107311458574241	0.940908355012428	0	0.607738496240769	0.60599129265241	0	-0.376033114438536	0.401546993046244	0	0.70108499622482	1.31354568947724	E	E	E	E	E	E	0	0
M343.2278T15.7	c18acqui	M343T943	343.227821663885	943.085927485344	[218][M]-	[M-H]- 344.236	135	34	@M281.2275T15.7|+(H2O)+(CO2)|@M325.2174T15.7|+(H2O)|@M344.2313T15.7|-13C|@M345.2343T15.7|-18O|-13C2|@M411.2153T15.7|-(HCOONa)			NA		0.331847216606716	0.913947279969997	0	-0.118733594130765	0.929585468671231	0	0.451963142146372	0.749142461593554	0	-0.387546263269842	0.448602505196301	0	0.689925860915108	0.936088475912119	E	E	E	E	E	E	0	0
M211.0976T11.2	c18acqui	M211T671	211.097587166502	670.69159170204			1575	35	@M167.1078T11.2|+(CO2)			NA		-0.150616249298915	0.829562460374315	0	-0.144789358714092	0.562989299125389	0	-0.128284564517864	0.862864456443553	0	-0.177442227745027	0.43616814459252	0	0.429111857599263	0.796909709465531	E	E	E	E	E	E	0	0
M173.9944T8	c18acqui	M174T478	173.994436306933	477.851581794233	[55][M+1]-		94	36	@M174.9874T8|-15N			NA		1.00854704285405	0.450237053523024	0	-0.749071055514213	0.207883075811137	0	0.883618384029269	0.424214738064623	0	-0.156124384179142	0.734091638973556	0	1.86182568061349	2.05147702907329	E	E	B	E	E	E	0	0
M191.0197T1.2	c18acqui	M191T71	191.019734855632	71.2595850720204	[74][M]-		8	37	@M192.0232T1.2|-13C			NA		0.367755786255962	0.202560823996226	0	0.0639655610658636	0.624261892346078	0	0.0570353546244071	0.894982083399533	0	-0.195796933110515	0.213273080646736	0	2.93433368455804	0.483784320653162	E	E	E	E	E	E	-0.238380333476683	0
M213.0857T0.8	c18acqui	M213T46	213.085663586343	46.30018068445	[91][M]-	[M+Cl+NaCOOH]- 110.13	139	38	@M281.0731T0.8|-(HCOONa)|@M349.0606T0.8|-2(HCOONa)	Unknown		4		-0.164334370872309	0.701429713406352	0	0.352672556522542	0.0112137147799505	1	0.0832211181164215	0.875308608048379	0	0.52841956005209	0.000103938519578364	1	0.761997319811161	0.319259931681594	E	E	E	E	E	E	0	0
M417.048T0.8	c18acqui	M417T47	417.048048657936	47.2290521741912	[256][M]-	[M-H+NaCOOH]- 350.068	18	38	@M281.0731T0.8|+2(HCOONa)|@M349.0606T0.8|+(HCOONa)|@M485.0354T0.8|-(HCOONa)|@M553.0227T0.8|-2(HCOONa)	Unknown		4		-0.130895121018789	0.780519672853719	0	0.488676428875127	7.72804224329834e-05	1	0.00671743491199095	0.971922991931234	0	0.595839716606045	1.0048980644254e-05	1	0.522716741981517	0.0583654844480691	E	E	E	E	E	E	0	0
