sampleMetadata	gene	mouse_nb	sex	initial_name	CLASS	InjOrder	SourisGenre	Genre	Type	BW	batch	injectionOrder	sampleType	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X529f	MX2	529	F	Ec57700N_529F_M_Lo_GC3_01_16987	SPLE	17002	509F	F	M	Lo	pos	17002	sample	29.3564316455167	-3.97642137797312	0.258246696159562	0.141193802276679	0.138630710047731	X529f
X531f	MX2	531	F	Ec57688N_531F_M_Lo_GA7_01_16973	SPLE	17001	623F	F	C	Lo	pos	17001	sample	9.9335649287038	-1.94484893414901	0.849983068806102	0.141193802276679	0.433363028090339	X531f
W616f	WT	616	F	Ec57698N_616F_C_Lo_GC1_01_16985	SPLE	17000	502M	M	M	Hi	pos	17000	sample	-16.5307423507737	8.8994234217997	0.561786967463231	0.141193802276679	0.27448311917684	W616f
W617f	WT	617	F	Ec57684N_617F_C_Lo_GA3_01_16969	SPLE	16999	634M	M	C	Hi	pos	16999	sample	-25.8933631804311	9.3739402352064	0.301796443724611	0.141193802276679	0.0632212978925748	W617f
W620f	WT	620	F	Ec57717N_620F_C_Lo_GE4_01_17007	SPLE	16998	836F	F	L	Hi	pos	16998	sample	-4.33643213079657	-51.3244187970437	0.00981228690446223	0.141193802276679	0.13761178474572	W620f
W621f	WT	621	F	Ec57708N_621F_C_Lo_GD3_01_16997	SPLE	16997	621F	F	C	Lo	pos	16997	sample	-5.93607544658208	-44.4985846514919	0.0278155759799603	0.141193802276679	0.32149982445445	W621f
W622f	WT	622	F	Ec57723N_622F_C_Lo_BA2_01_17014	SPLE	16995	825M	M	L	Hi	pos	16995	sample	-19.7538696548305	5.67946079468852	0.512227064894546	0.879021584210312	0.610375587644176	W622f
W623f	WT	623	F	Ec57712N_623F_C_Lo_GD7_01_17001	SPLE	16994	527M	M	M	Hi	pos	16994	sample	-22.9261702836333	-28.1912266973041	0.105482079694883	0.879021584210312	0.313827977307058	W623f
W625m	WT	625	M	Ec57703N_625M_C_Hi_GC6_01_16991	SPLE	16993	517F	F	M	Lo	pos	16993	sample	10.5715914152431	3.61447977918439	0.818147152184489	0.879021584210312	0.502043878906338	W625m
W627m	WT	627	M	Ec57721N_627M_C_Hi_GE8_01_17012	SPLE	16992	632F	F	C	Lo	pos	16992	sample	16.4687364597933	-0.993653993495084	0.652781670482123	0.879021584210312	0.193956505426922	W627m
W628m	WT	628	M	Ec57685N_628M_C_Hi_GA4_01_16970	SPLE	16991	625M	M	C	Hi	pos	16991	sample	-12.8673791032519	-7.01528274668121	0.702377977246806	0.879021584210312	0.00254016609599206	W628m
W629m	WT	629	M	Ec57714N_629M_C_Lo_GE1_01_17004	SPLE	16990	503M	M	M	Hi	pos	16990	sample	-24.9533711121347	14.7769021337596	0.255650545833288	0.243234342852662	0.186362270320211	W629m
W630m	WT	630	M	Ec57696N_630M_C_Hi_GB7_01_16983	SPLE	16988	818F	F	L	Lo	pos	16988	sample	8.75216269145597	7.79375594521091	0.789558562260461	0.243234342852662	0.705187543134055	W630m
W631m	WT	631	M	Ec57690N_631M_C_Hi_GB1_01_16976	SPLE	16987	529F	F	M	Lo	pos	16987	sample	17.2616046087459	-0.247799545940175	0.627348994708266	0.243234342852662	0.0733027822561203	W631m
W632f	WT	632	F	Ec57704N_632F_C_Lo_GC7_01_16992	SPLE	16986	824M	M	L	Hi	pos	16986	sample	-21.6487646592683	5.93777334177688	0.451633426711557	0.243234342852662	0.405629206142104	W632f
W633f	WT	633	F	Ec57692N_633F_C_Lo_GB3_01_16978	SPLE	16985	616F	F	C	Lo	pos	16985	sample	19.9370832999438	0.0399614044074869	0.53798735349685	0.243234342852662	0.0231414421235947	W633f
W634m	WT	634	M	Ec57710N_634M_C_Hi_GD5_01_16999	SPLE	16984	501F	F	M	Lo	pos	16984	sample	21.4244661784144	1.06119856397838	0.488408610731016	0.243234342852662	0.130318624202155	W634m
L818f	LAT	818	F	Ec57701N_818F_L_Lo_GC4_01_16988	SPLE	16983	630M	M	C	Hi	pos	16983	sample	-24.1883383577293	17.030497435498	0.237464722501044	0.243234342852662	0.0531807477859148	L818f
L819f	LAT	819	F	Ec57691N_819F_L_Lo_GB2_01_16977	SPLE	16981	849M	M	L	Hi	pos	16981	sample	-24.0298127018993	-33.2646745353362	0.057114743671582	0.243234342852662	0.000170586730373845	L819f
L824m	LAT	824	M	Ec57699N_824M_L_Hi_GC2_01_16986	SPLE	16980	518F	F	M	Lo	pos	16980	sample	8.93885335967145	-4.41220590366694	0.849624702016055	0.879021584210312	0.00350177466663615	L824m
L825m	LAT	825	M	Ec57707N_825M_L_Hi_GD2_01_16995	SPLE	16979	848M	M	L	Hi	pos	16979	sample	-26.0014877999119	12.9407447617728	0.258873930935327	0.879021584210312	0.606160050142754	L825m
L826m	LAT	826	M	Ec57720N_826M_L_Hi_GE7_01_17011	SPLE	16978	633F	F	C	Lo	pos	16978	sample	21.3931287002661	10.2449463352662	0.40363796121526	0.879021584210312	0.107883970096161	L826m
L827m	LAT	827	M	Ec57689N_827M_L_Lo_GA8_01_16974	SPLE	16977	819F	F	L	Lo	pos	16977	sample	7.91932180082108	19.4588573952388	0.444157106032532	0.879021584210312	0.0202511439396511	L827m
L836f	LAT	836	F	Ec57709N_836F_L_Hi_GD4_01_16998	SPLE	16976	631M	M	C	Hi	pos	16976	sample	-23.9133597883326	13.0596019285509	0.300999239306388	0.879021584210312	0.549054170423654	L836f
L841f	LAT	841	F	Ec57722N_841F_L_Lo_BA1_01_17013	SPLE	16974	827M	M	L	Lo	pos	16974	sample	-17.3622182796311	17.910570384765	0.343756203428924	0.879021584210312	0.229615048309874	L841f
L848m	LAT	848	M	Ec57693N_848M_L_Hi_GB4_01_16979	SPLE	16973	531F	F	M	Lo	pos	16973	sample	27.7343197769387	10.2429619768242	0.252305587846467	0.879021584210312	0.0445344608094658	L848m
L849m	LAT	849	M	Ec57695N_849M_L_Hi_GB6_01_16981	SPLE	16972	854F	F	L	Lo	pos	16972	sample	15.3202843288607	4.59752634652721	0.665108572898967	0.243234342852662	0.682935256139402	L849m
L854f	LAT	854	F	Ec57687N_854F_L_Lo_GA6_01_16972	SPLE	16971	513M	M	M	Hi	pos	16971	sample	-23.7107662535941	28.7439980084747	0.0947106868097396	0.243234342852662	0.019902304385961	L854f
L859m	LAT	859	M	Ec57715N_859M_L_Hi_GE2_01_17005	SPLE	16970	628M	M	C	Hi	pos	16970	sample	-11.2910393011277	10.9057773636662	0.653333643423651	0.243234342852662	0.252463429174711	L859m
L862f	LAT	862	F	Ec57716N_862F_L_Lo_GE3_01_17006	SPLE	16969	617F	F	C	Lo	pos	16969	sample	25.7739876911628	8.71484677409807	0.311325813271042	0.243234342852662	0.652971374338122	L862f
