variableMetadata	set	gene	measurement	category	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
Open.field.test.av..speed.center..cm.s.	preclinical	MX2	Open field test:av. speed center (cm/s)	Open field	0.823761904761906	0.643235771388744	0	0.711682692307692	0.252352785492284	0	1.38075445729968		0
Pavlovian.fear.conditioning.context.freezing.con.1	preclinical	MX2	Pavlovian fear conditioning:context freezing con-1	Pavlovian fear cond.	-17.8666666666667	0.67035505609052	0	1.13461538461539	0.925407983478676	0	1.56805950546002		0
Pavlovian.fear.conditioning.Freezing.....Con.1	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) Con-1	Pavlovian fear cond.	-14.8874761904762	0.67035505609052	0	0.947740384615386	0.925407983478676	0	1.56798131906223		0
ECG.in.anaesthetized.conditions.Number.of.signals	preclinical	MX2	ECG in anaesthetized conditions:Number of signals	ECG	31.3714285714286	0.67117940961113	0	-16.5240384615385	0.571245885659522	0	1.33767023471929		0
Rotarod.test.Trial.1..s.	preclinical	MX2	Rotarod test:Trial 1 (s)	Rotarod	-28.4333333333333	0.67117940961113	0	40.3894230769231	0.116893765611824	0	1.44880525965864		0
Grip.test.Trial2..4paws...g.	preclinical	MX2	Grip test:Trial2 (4paws) (g)	Grip test	18.4142857142857	0.67117940961113	0	-22.8701923076923	0.164695211689254	0	1.21905432540924		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T60..mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T60 (mg/dl)	Glucose tolerance test	-16.7857142857143	0.67117940961113	0	-49.0416666666667	0.000523024163443252	1	0.413331253895266		0
Grip.test.Grip.mean..4paws...g.	preclinical	MX2	Grip test:Grip mean (4paws) (g)	Grip test	16.593380952381	0.67117940961113	0	-23.1200961538462	0.152250556765699	0	1.25820656930978		0
Grip.test.Trial3..4paws...g.	preclinical	MX2	Grip test:Trial3 (4paws) (g)	Grip test	16.1142857142857	0.67117940961113	0	-21.8990384615385	0.164695211689254	0	1.36964801371322		0
Clinical.chemistry.parameters.Glucose.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:Glucose mg/dl (mg/dl)	Clinical chemistry	-15.3233766233766	0.67117940961113	0	69.9576923076923	0.00111631589853762	1	0.47054292660537		0
Grip.test.Trial.3..g.	preclinical	MX2	Grip test:Trial 3 (g)	Grip test	-8.98095238095237	0.67117940961113	0	-22.2932692307692	0.00210370156708583	1	0.474105217876755		0
Auditory.startle.reflex.reactivity.and.PPI...P1.Glb	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:Glb	Auditory and PPI	8.13909523809523	0.67117940961113	0	1.84528846153847	0.850646207266626	0	1.69180501067933		0
ECG.in.anaesthetized.conditions.QT.corrigé..ms.Corr.	preclinical	MX2	ECG in anaesthetized conditions:QT corrigé (ms Corr)	ECG	7.65742857142857	0.67117940961113	0	3.14384615384616	0.693524685445956	0	1.36319454131097		0
Clinical.chemistry.parameters.HDL.Chol..mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:HDL Chol. mg/dl (mg/dl)	Clinical chemistry	-4.44753246753247	0.67117940961113	0	-8.34865384615385	0.00514553109727385	1	1.29329784594498		0
Dysmorphology.IMPC.Loc..activity	preclinical	MX2	Dysmorphology IMPC:Loc. activity	Dysmorphology	-3.76666666666667	0.67117940961113	0	-2.39423076923077	0.529875457846259	0	1.30853609683407		0
Modified.SHIRPA.Loc..activity	preclinical	MX2	Modified SHIRPA:Loc. activity	SHIRPA	-3.76666666666667	0.67117940961113	0	-2.39423076923077	0.529875457846259	0	1.30853609683407		0
Auditory.startle.reflex.reactivity.and.PPI...P1.BN..65.	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:BN (65)	Auditory and PPI	3.49285714285714	0.67117940961113	0	1.35528846153846	0.676839068152219	0	1.18897072270198		0
Open.field.test...distance.in.the.Center.I2..cm.	preclinical	MX2	Open field test:% distance in the Center I2 (cm)	Open field	-3.24142857142857	0.67117940961113	0	-0.959615384615386	0.813479569201072	0	0.976609099565019		0
Echocardiography.using.the.Vevo.light.EF....	preclinical	MX2	Echocardiography using the Vevo light:EF (%)	Echocardiography	3.08409523809524	0.67117940961113	0	2.46927884615385	0.411422523908936	0	1.14359770330631		0
Echocardiography.using.the.Vevo.light.FS....	preclinical	MX2	Echocardiography using the Vevo light:FS (%)	Echocardiography	2.10533333333333	0.67117940961113	0	1.50346153846154	0.47163674841312	0	1.19893390065704		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..NEUTRO....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%NEUTRO (%)	Haematology	1.72797202797203	0.67117940961113	0	1.93076923076923	0.181798684868855	0	1.39423621891759		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T60..mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T60 (mmol/l)	Glucose tolerance test	-0.914285714285715	0.67117940961113	0	-2.7	0.000519202990307709	1	0.405181735838519		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.LYMPHO..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:LYMPHO (x10E03 cells/µL)	Haematology	-0.901818181818182	0.67117940961113	0	-1.56531468531469	0.00541793487156372	1	0.789162063421018		0
Clinical.chemistry.parameters.Glucose..mmol.l.	preclinical	MX2	Clinical chemistry parameters:Glucose (mmol/l)	Clinical chemistry	-0.851298701298701	0.67117940961113	0	3.88653846153846	0.00111631589853762	1	0.47054292660537		0
Dysmorphology.IMPC.Body.weight..g.	preclinical	MX2	Dysmorphology IMPC:Body weight (g)	Dysmorphology	0.640952380952381	0.67117940961113	0	-4.57644230769231	2.03092185327917e-07	1	1.09672992804571		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.RBC..x10E06.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:RBC (x10E06 cells/µL)	Haematology	-0.501678321678321	0.67117940961113	0	-0.505314685314685	0.252352785492284	0	1.73313492754387		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.LYMPHO.BRUT..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:LYMPHO BRUT (x10E03 cells/µL)	Haematology	-0.450909090909091	0.67117940961113	0	-0.782657342657343	0.00564214489265641	1	0.789162063421018		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.RBC.brut..x10E06.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:RBC brut (x10E06 cells/µL)	Haematology	-0.250839160839161	0.67117940961113	0	-0.252657342657343	0.253995280397663	0	1.73313492754387		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120..LUC....	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:%LUC (%)	Haematology	-0.208391608391608	0.67117940961113	0	-0.194405594405594	0.257613642117014	0	1.27386365193851		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.Body.length..cm.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:Body length (cm)	Body composition	0.118095238095238	0.67117940961113	0	-0.190384615384614	0.100205277639905	0	1.63115980772114		0
Clinical.chemistry.parameters.HDL.Chol...mmol.l.	preclinical	MX2	Clinical chemistry parameters:HDL Chol. (mmol/l)	Clinical chemistry	-0.114935064935065	0.67117940961113	0	-0.215705128205128	0.00949179301581311	1	1.29351203016426		0
Open.field.test.Number.of.Rearings.I4	preclinical	MX2	Open field test:Number of Rearings I4	Open field	5.01904761904762	0.675920703123688	0	-11.9951923076923	0.0140024646140934	1	1.11029821167704		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.WBC..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:WBC (x10E03 cells/µL)	Haematology	-0.930909090909091	0.688247949790833	0	-1.74769230769231	0.0079950318461798	1	0.61504489351813		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.WBC.brut..x10E03.cells.µL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:WBC brut (x10E03 cells/µL)	Haematology	-0.465454545454545	0.688247949790833	0	-0.873846153846154	0.00816731936851172	1	0.61504489351813		0
Auditory.startle.reflex.reactivity.and.PPI...P1.PP85	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:PP85	Auditory and PPI	-80.0219047619048	0.698422417805669	0	-157.142788461538	0.0340938179835804	1	0.695043375342634		0
Open.field.test.Latency.center..s.	preclinical	MX2	Open field test:Latency center (s)	Open field	-7.21428571428572	0.698422417805669	0	5.45480769230769	0.479580628024766	0	0.756188027878083		0
Open.field.test...distance.in.the.Center.I3..cm.	preclinical	MX2	Open field test:% distance in the Center I3 (cm)	Open field	3.49095238095238	0.698422417805669	0	-0.967307692307692	0.813528466841429	0	1.44818600921204		0
Test.de.Tolérance.au.Glucose..GTT..Body.weight..g.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Body weight (g)	Glucose tolerance test	0.69285714285714	0.698422417805669	0	-4.39583333333333	2.06765901265733e-07	1	1.08791718579347		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.HGB..g.dL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:HGB (g/dL)	Haematology	-0.542657342657343	0.698422417805669	0	-0.565034965034965	0.30753303554514	0	1.46190704557673		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.HGB.brut..g.dL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:HGB brut (g/dL)	Haematology	-0.271328671328671	0.698422417805669	0	-0.282517482517482	0.311737589196754	0	1.46190704557673		0
Dysmorphology.IMPC.Vibrissae...presence	preclinical	MX2	Dysmorphology IMPC:Vibrissae - presence	Dysmorphology	-0.133333333333333	0.698422417805669	0	-0.0144230769230769	0.967121420499693	0	0.898259724573677		0
Auditory.startle.reflex.reactivity.and.PPI...P1.Body.weight..g.	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:Body weight (g)	Auditory and PPI	0.603809523809524	0.699413078731326	0	-4.84038461538461	2.21557177962088e-07	1	0.952690647255782		0
Grip.test.Trial1..4paws...g.	preclinical	MX2	Grip test:Trial1 (4paws) (g)	Grip test	15.2523809523809	0.764301505623044	0	-24.5865384615385	0.168148226533412	0	1.10438729314687		0
ECG.in.anaesthetized.conditions.QT..ms.	preclinical	MX2	ECG in anaesthetized conditions:QT (ms)	ECG	2.35542857142858	0.764301505623044	0	-1.55451923076923	0.571245885659522	0	1.06693718320406		0
Grip.test.Weight..g.	preclinical	MX2	Grip test:Weight (g)	Grip test	0.533333333333335	0.764301505623044	0	-5.12884615384615	1.14631778366014e-07	1	0.9287710733289		0
Modified.SHIRPA.Body.weight	preclinical	MX2	Modified SHIRPA:Body weight	SHIRPA	0.533333333333335	0.764301505623044	0	-5.12884615384615	1.14631778366014e-07	1	0.9287710733289		0
Rotarod.test.Body.weight..g.	preclinical	MX2	Rotarod test:Body weight (g)	Rotarod	0.533333333333335	0.764301505623044	0	-5.12884615384615	1.14631778366014e-07	1	0.9287710733289		0
Grip.test.Trial.1..g.	preclinical	MX2	Grip test:Trial 1 (g)	Grip test	-9.12857142857143	0.790810614535675	0	-18.7788461538462	0.0554086908028448	0	0.754780216217901		0
Grip.test.Grip.mean..g.	preclinical	MX2	Grip test:Grip mean (g)	Grip test	-7.85642857142857	0.790810614535675	0	-20.305	0.0108475102242224	1	0.564454986802848		0
Echocardiography.using.the.Vevo.light.Body.mass..g.	preclinical	MX2	Echocardiography using the Vevo light:Body mass (g)	Echocardiography	0.561428571428571	0.790810614535675	0	-4.44711538461538	1.84631429517679e-06	1	1.13178335847727		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.fat.weight..g.	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:fat weight (g)	Body composition	0.204047619047619	0.790810614535675	0	-1.72086538461539	6.71208217770466e-07	1	0.728376674237345		0
Hot.plate.test.Type.of.response	preclinical	MX2	Hot plate test:Type of response	Hot plate	-0.152380952380953	0.794663164002705	0	0.322115384615385	0.0947836969460306	0	1.19478258283865		0
Open.field.test.Number.of.Rearings.I1	preclinical	MX2	Open field test:Number of Rearings I1	Open field	4.57619047619048	0.818519555508255	0	-5.21634615384615	0.372286567626249	0	1.01817311017242		0
Anapath...A2.heart	preclinical	MX2	Anapath:% A2 heart	Anapath	-0.0332380952380953	0.842715868668017	0	0.0212019230769231	0.629353008168637	0	0.786317587233547		0
Open.field.test.Dist.I1..cm.	preclinical	MX2	Open field test:Dist I1 (cm)	Open field	128.561904761905	0.844006078677642	0	3.97403846153884	0.998405886768467	0	1.15945456150428		0
Auditory.startle.reflex.reactivity.and.PPI...P1.ST110	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:ST110	Auditory and PPI	82.9538095238095	0.844006078677642	0	-573.307692307692	0.000242611604044585	1	0.945450828125197		0
Pavlovian.fear.conditioning.freezing.total.context	preclinical	MX2	Pavlovian fear conditioning:freezing total context	Pavlovian fear cond.	-23.2857142857143	0.844006078677642	0	49.3365384615385	0.124529274547715	0	1.14376507239363		0
Clinical.chemistry.parameters.TG.mg.dl..mg.dl.	preclinical	MX2	Clinical chemistry parameters:TG mg/dl (mg/dl)	Clinical chemistry	-13.8686363636364	0.844006078677642	0	-21.1095512820513	0.252352785492284	0	0.654528428641298		0
Pavlovian.fear.conditioning.context.freezing.con.2	preclinical	MX2	Pavlovian fear conditioning:context freezing con-2	Pavlovian fear cond.	-7.80952380952381	0.844006078677642	0	16.9615384615385	0.181798684868855	0	0.896885381590903		0
Pavlovian.fear.conditioning.Freezing.....Con.2	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) Con-2	Pavlovian fear cond.	-6.50747619047619	0.844006078677642	0	14.1332211538462	0.181798684868855	0	0.896823954114985		0
Pavlovian.fear.conditioning.Freezing.....total	preclinical	MX2	Pavlovian fear conditioning:Freezing (%) total	Pavlovian fear cond.	-6.46695238095238	0.844006078677642	0	13.70375	0.124529274547715	0	1.14360128055557		0
Open.field.test...Time.Spent.in.the.Center.I4..cm.	preclinical	MX2	Open field test:% Time Spent in the Center I4 (cm)	Open field	2.7047619047619	0.844006078677642	0	0.326442307692307	0.974708939275777	0	0.732282790228868		0
Open.field.test...distance.in.the.Center.I4..cm.	preclinical	MX2	Open field test:% distance in the Center I4 (cm)	Open field	2.57238095238095	0.844006078677642	0	-0.806249999999999	0.848120698677035	0	0.7176441407573		0
ECG.in.anaesthetized.conditions.ST..ms.	preclinical	MX2	ECG in anaesthetized conditions:ST (ms)	ECG	1.68538095238095	0.844006078677642	0	-1.31245192307692	0.629353008168637	0	0.933252258500134		0
Clinical.chemistry.parameters.TG..mmol.l.	preclinical	MX2	Clinical chemistry parameters:TG (mmol/l)	Clinical chemistry	-0.156688311688312	0.844006078677642	0	-0.238525641025641	0.253995280397663	0	0.654424108294939		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.MCH..pg.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:MCH (pg)	Haematology	0.142657342657342	0.844006078677642	0	0.159440559440558	0.426033605564607	0	1.41979980546721		0
Eye.Morphology.Fusion.between.cornea.and.lens	preclinical	MX2	Eye Morphology:Fusion between cornea and lens	Eye	0.0714285714285714	0.844006078677642	0	0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Iris.Pigmentation	preclinical	MX2	Eye Morphology:Iris Pigmentation	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Iris.transilumination	preclinical	MX2	Eye Morphology:Iris transilumination	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Iris.Pupil	preclinical	MX2	Eye Morphology:Iris/Pupil	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Lens	preclinical	MX2	Eye Morphology:Lens	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Lens.Opacity	preclinical	MX2	Eye Morphology:Lens Opacity	Eye	0.0714285714285714	0.844006078677642	0	0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Pupil.Dilation	preclinical	MX2	Eye Morphology:Pupil Dilation	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Pupil.Light.Response	preclinical	MX2	Eye Morphology:Pupil Light Response	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Pupil.Position	preclinical	MX2	Eye Morphology:Pupil Position	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Pupil.Shape	preclinical	MX2	Eye Morphology:Pupil Shape	Eye	-0.0714285714285714	0.844006078677642	0	-0.0625	0.571245885659522	0	0.750608247636897		0
Eye.Morphology.Synechia	preclinical	MX2	Eye Morphology:Synechia	Eye	0.0714285714285714	0.844006078677642	0	0.0625	0.571245885659522	0	0.750608247636897		0
Clinical.chemistry.parameters.Non.HDL.Chol...mmol.l.	preclinical	MX2	Clinical chemistry parameters:Non HDL Chol. (mmol/l)	Clinical chemistry	0.0551948051948052	0.844006078677642	0	0.0785256410256411	0.30753303554514	0	0.796773459233525		0
ECG.in.anaesthetized.conditions.STE..mv.	preclinical	MX2	ECG in anaesthetized conditions:STE (mv)	ECG	0.0233333333333333	0.844006078677642	0	-0.00235576923076923	0.946499695860502	0	1.21128083957827		0
Shock.threshold.test.Freq..jump	preclinical	MX2	Shock threshold test:Freq. jump	Shock threshold	-0.0666666666666667	0.84992379321223	0	-0.0769230769230769	0.488206668288425	0	0.323420127311821		0
Rotarod.test.Passive.rotation..T3.	preclinical	MX2	Rotarod test:Passive rotation (T3)	Rotarod	-0.171428571428571	0.85280339007752	0	-0.0384615384615385	0.935573934495034	0	0.0271877071164813		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T0..mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T0 (mg/dl)	Glucose tolerance test	-4.21428571428571	0.869300203695345	0	2.83333333333333	0.714214097035156	0	0.359998259870657		0
ECG.in.anaesthetized.conditions.PR..ms.	preclinical	MX2	ECG in anaesthetized conditions:PR (ms)	ECG	-0.980952380952381	0.870744952470529	0	2.24615384615385	0.203515478652061	0	0.894218783777272		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.lean.percent....	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:lean percent (%)	Body composition	-0.66990476190476	0.870744952470529	0	4.82307692307693	0.000464627266839438	1	0.452309095437996		0
Ultrafocus...Densitométrie.osseuse.et.composition.corporelle.fat.percent....	preclinical	MX2	Ultrafocus - Densitométrie osseuse et composition corporelle:fat percent (%)	Body composition	0.669190476190476	0.870744952470529	0	-4.82230769230769	0.000464627266839438	1	0.451738051451429		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.T0..mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose T0 (mmol/l)	Glucose tolerance test	-0.221428571428572	0.870744952470529	0	0.1625	0.693524685445956	0	0.353737201773912		0
Anapath.A2.heart..mg...mg.	preclinical	MX2	Anapath:A2 heart (mg) (mg)	Anapath	-6.84285714285713	0.915547494322184	0	-23.3317307692308	0.0212731546732039	1	0.153441569809332		0
Auditory.startle.reflex.reactivity.and.PPI...P1...PP75	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:% PP75	Auditory and PPI	4.82047619047619	0.915547494322184	0	1.41365384615385	0.925407983478676	0	1.05600058326865		0
Echocardiography.using.the.Vevo.light.LVAW_s..mm.	preclinical	MX2	Echocardiography using the Vevo light:LVAW_s (mm)	Echocardiography	0.0351904761904762	0.915547494322184	0	-0.0703365384615384	0.305224228741262	0	1.05813907720606		0
Haematology...Complete.blood.count..CBC.on.the.Advia.120.MCHC..g.dL.	preclinical	MX2	Haematology - Complete blood count (CBC)on the Advia 120:MCHC (g/dL)	Haematology	0.224475524475523	0.920940319769689	0	0.17832167832168	0.730532153167758	0	0.392127018033455		0
Open.field.test...Time.Spent.in.the.Center.I3..cm.	preclinical	MX2	Open field test:% Time Spent in the Center I3 (cm)	Open field	1.55857142857143	0.921800020022645	0	-2.69903846153846	0.379956206289405	0	1.07483824047976		0
Auditory.startle.reflex.reactivity.and.PPI...P1.P90	preclinical	MX2	Auditory startle reflex reactivity and PPI - P1:P90	Auditory and PPI	-19.0719047619048	0.925024096812342	0	-18.7355769230769	0.629353008168637	0	0.31104852332341		0
Grip.test.Trial.2..g.	preclinical	MX2	Grip test:Trial 2 (g)	Grip test	-5.46190476190476	0.925024096812342	0	-19.8461538461538	0.0175685676930698	1	0.376955976570198		0
Clinical.chemistry.parameters.ALP..U.l.	preclinical	MX2	Clinical chemistry parameters:ALP (U/l)	Clinical chemistry	-3.05494505494507	0.925024096812342	0	42.1833333333333	3.47733077026686e-06	1	1.16879581402957		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.auc.0.120...min.mg.dl.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose auc(0-120) (min*mg/dl)	Glucose tolerance test	-567	0.933868430048111	0	-4376.33333333333	0.0014071062448437	1	0.0814619600683552		0
Open.field.test.Dist.global..cm.	preclinical	MX2	Open field test:Dist global (cm)	Open field	229.154285714285	0.933868430048111	0	-217.218269230771	0.73261666920259	0	0.812501947838004		0
Open.field.test.Distance.whole.arena..cm.	preclinical	MX2	Open field test:Distance whole arena (cm)	Open field	229.154285714285	0.933868430048111	0	-217.218269230771	0.73261666920259	0	0.812501947838004		0
Open.field.test.Distance.center..cm.	preclinical	MX2	Open field test:Distance center (cm)	Open field	76.6557142857143	0.933868430048111	0	-232.359615384615	0.269751604291995	0	0.833781081005242		0
Open.field.test.Dist.I4..cm.	preclinical	MX2	Open field test:Dist I4 (cm)	Open field	75.0704761904763	0.933868430048111	0	50.9115384615386	0.850646207266626	0	0.486629752270801		0
Test.de.Tolérance.au.Glucose..GTT..Glucose.auc.0.120...min.mmol.l.	preclinical	MX2	Test de Tolérance au Glucose (GTT):Glucose auc(0-120) (min*mmol/l)	Glucose tolerance test	-31	0.933868430048111	0	-240.833333333333	0.0014071062448437	1	0.0801024789936733		0
