variableMetadata	chromato	name	chebi_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M204.9823T993.88	hilic			0.230481252476959	0.0502715356769962	0	-0.00460120793377428	0.962305355004327	0	0.102563731591019	0.707492765175304	0	0.0413149590567059	0.861948633990441	0	1.41280515076937	0.597879432263499	E	E	E	E	E	E								NA			M205T994	204.982328315229	993.884055541235		[M-H]- 205.991 [M-H]- 205.991	14	4	@M161.9764T993.88|+(NHCO)|@M183.0002T992.91|+Na|@M247.9883T993.74|-(NHCO)|@M248.9723T993.65|-(CO2)|@M265.999T993.84|-(NH3)-(CO2)
M205.9662T993.61	hilic			0.191038581522882	0.0552941285674428	0	-0.00765259110729843	0.97838573914281	0	0.0795221553258258	0.721089019757194	0	0.0595106991551546	0.738435611651461	0	1.42530629993597	0.58216803514504	E	E	E	E	E	E								NA			M206T994	205.966232262883	993.609555738802			14	4	@M161.9764T993.88|+(CO2)|@M183.9842T992.81|+Na|@M247.9883T993.74|-(CH2N2)|@M248.9723T993.65|-(NHCO)|@M249.9563T993.63_1|-(CO2)|@M265.999T993.84|-(NH3)-(CONH)|@M273.9541T993.6|-(HCOONa)
M227.9743T993.82_2	hilic			0.13934481170207	0.0984728918162445	0	0.0232216923517115	0.806133084433482	0	0.105508191099126	0.647238852122926	0	0.126210970862509	0.328934198357083	0	1.26111854670002	0.868331562184343	E	E	E	E	E	E								NA			M228T994_2	227.974312910646	993.819910667847			14	4	@M183.9842T992.81|+(CO2)|@M249.9563T993.63_1|-Na
M247.9883T993.74	hilic			0.239773453718264	0.0560963641511352	0	-0.000462985615886424	0.953261221807017	0	0.11343092023208	0.697538172984374	0	0.0786635418505739	0.719946015853475	0	1.32524779581004	0.675960702245688	E	E	E	E	E	E								NA			M248T994	247.988275450109	993.738850924037			14	4	@M204.9823T993.88|+(NHCO)|@M205.9662T993.61|+(CH2N2)|@M265.999T993.84|-(H2O)
M248.9723T993.65	hilic			0.208865731664293	0.0419479691533278	1	-0.00255581961635087	0.956756590116052	0	0.0973631814327831	0.70475811998491	0	0.0785513088274499	0.678165776868402	0	1.47099522985651	0.692389510552479	E	E	E	E	E	E								NA			M249T994	248.972263653795	993.652097929855			14	4	@M204.9823T993.88|+(CO2)|@M205.9662T993.61|+(NHCO)|@M265.999T993.84|-(NH3)|-NH3
M249.9563T993.63_1	hilic			0.16988692531174	0.0646927655326414	0	0.0261638315216146	0.786342308266431	0	0.106894131117329	0.681780752037654	0	0.117229815662959	0.464030941264183	0	1.35826492274892	0.765925548574351	E	E	E	E	E	E								NA			M250T994_1	249.956305592175	993.625888774107		[M+Cl+HCOOH]- 168.976	14	4	@M205.9662T993.61|+(CO2)|@M227.9743T993.82_2|+Na|@M271.9384T993.85|-Na
M265.999T993.84	hilic			0.224511159369772	0.021585604216828	1	-0.00554185208418545	0.959226570227792	0	0.11169169515772	0.671074934722252	0	0.0832659466582513	0.644679701157107	0	1.64268061177497	0.774837996742117	E	E	E	E	E	E								NA			M266T994	265.998960223003	993.837828401286			14	4	@M204.9823T993.88|+(NH3)+(CO2)|@M205.9662T993.61|+(NH3)+(CONH)|@M247.9883T993.74|+(H2O)|@M248.9723T993.65|+(NH3)|+NH3
M271.9384T993.85	hilic			0.229059453824739	0.0359517352508701	1	-0.00582356183705812	0.962762680150592	0	0.0908704916529146	0.724788181620134	0	0.0821280822251325	0.688093630652031	0	1.47609326667575	0.573561002219932	E	E	E	E	E	E								NA			M272T994	271.938397533325	993.845117697651		[M+Cl+NaCOOH]- 168.976	14	4	@M249.9563T993.63_1|+Na|@M272.9407T993.96|-13C|@M273.9541T993.6|-(H2)|@M288.965T993.72|-(NH3)|-NH3|@M331.971T993.73|-(NH3)-(CONH)|@M332.955T993.68|-(NH3)-(CO2)|@M339.9259T993.63|-(HCOONa)
M272.9407T993.96	hilic			0.35085835456437	0.0268775560825049	1	-0.0208725981203415	0.990000019330924	0	0.186524396969855	0.676138465370739	0	0.0760907431225242	0.829628608234247	0	1.45591092618086	0.807714705942621	E	E	E	E	E	E								NA			M273T994	272.9406609932	993.96257640954			14	4	@M271.9384T993.85|+13C
M273.9541T993.6	hilic			0.216665478840603	0.0373092796575636	1	0.00627905823657926	0.911537276327268	0	0.104639708047348	0.695173805463846	0	0.113985474680874	0.516502165306985	0	1.50405941619247	0.701773752741869	E	E	E	E	E	E								NA			M274T994	273.954076270758	993.596098715205			14	4	@M205.9662T993.61|+(HCOONa)|@M271.9384T993.85|+(H2)
M288.965T993.72	hilic			0.282895713284439	0.0236499306843133	1	-0.0210787976493911	0.997072622640083	0	0.108830760939245	0.710633166361482	0	0.0797444150158739	0.732084295590507	0	1.54439109640927	0.626475992407289	E	E	E	E	E	E								NA			M289T994	288.964974713946	993.717545998828		[2M-H]- 144.996	14	4	@M271.9384T993.85|+(NH3)|+NH3|@M331.971T993.73|-(NHCO)|@M332.955T993.68|-(CO2)|@M356.9522T993.69_2|-(HCOONa)
M311.9311T993.74	hilic			0.281115975321001	0.0292558157340503	1	-0.0297640179679881	0.972128143788364	0	0.107306328160902	0.71506035884592	0	0.0686915004030411	0.77650974788354	0	1.49366689237406	0.603162600097395	E	E	E	E	E	E								NA			M312T994	311.931071207343	993.740366600783		[2M-3H]3- 469.402	14	4	@M339.9259T993.63|-(CO)|@M353.9528T993.27|-(CH2N2)|@M354.9369T993.71|-(NHCO)|@M355.921T993.74_1|-(CO2)|@M356.9522T993.69_2|-(NH3CO)|@M371.9634T993.65|-(NH3)-(CONH)|@M379.9186T993.44|-(HCOONa)
M324.9207T993.64_1	hilic			0.569350821079645	0.00654588582086806	1	-0.0207138560451341	0.961486246164812	0	0.217617829359476	0.697538172984374	0	0.152651893389367	0.717590005643214	0	1.73498892732903	0.696414801372248	E	E	E	E	E	E								NA			M325T994_1	324.920734087977	993.639446290625		[2M-2H+K]- 143.988	14	4	@M500.8942T993.65|-2(HCOOH)-(HCOOK)|@M520.9338T993.54|-(C5H9O6P)
M331.971T993.73	hilic			0.295177187606615	0.021735532854092	1	-0.0405291314936349	0.942930559969233	0	0.129523870784116	0.689806486304417	0	0.0793712392812047	0.742398730887211	0	1.56928390670474	0.738472585572889	E	E	E	E	E	E								NA			M332T994	331.970974043927	993.734449138872			14	4	@M161.9764T993.88|+(C3H7O6P)|@M271.9384T993.85|+(NH3)+(CONH)|@M288.965T993.72|+(NHCO)|@M353.9528T993.27|-Na|@M419.8939T993.37|-4Na
M332.955T993.68	hilic			0.245595313150297	0.0317521241299286	1	0.000836425113078576	0.940080410573072	0	0.146452457615606	0.649587211610416	0	0.140786328682228	0.477604915629036	0	1.47862476569175	0.870194690110747	E	E	E	E	E	E								NA			M333T994	332.954994932936	993.684296349231			14	4	@M271.9384T993.85|+(NH3)+(CO2)|@M288.965T993.72|+(CO2)|@M354.9369T993.71|-Na
M333.939T993.65	hilic			0.218931920638891	0.0427974742404303	1	0.00870470185557082	0.900083675025193	0	0.150267838900479	0.633341752468113	0	0.139501155182543	0.447888479830706	0	1.37510817484015	0.912040037897097	E	E	E	E	E	E								NA			M334T994	333.939020226177	993.649723531854			14	4	@M355.921T993.74_1|-Na
M339.9259T993.63	hilic			0.263852073700626	0.0183759626487382	1	0.0143493662896717	0.857031849185722	0	0.126591145986509	0.682284722682481	0	0.146370999341105	0.437145922185643	0	1.60269961423435	0.762191968629416	E	E	E	E	E	E								NA			M340T994	339.925894203135	993.629043358679		[M+Cl]- 304.956	14	4	@M271.9384T993.85|+(HCOONa)|@M311.9311T993.74|+(CO)|@M356.9522T993.69_2|-(NH3)|-NH3|@M419.8939T993.37|-(HPO3)
M344.9169T993.37	hilic			0.552055968171146	0.00914889073867277	1	-0.0513572404457356	0.97838573914281	0	0.1555207861722	0.7610540384213	0	0.10798150885385	0.803328263588377	0	1.6819957238463	0.54128248359537	E	E	E	E	E	E								NA			M345T993	344.916937045174	993.366625238536	[487][M]2-		14	4	@M460.9017T993.71|-(H3PO4)-(H2O)
M353.9528T993.27	hilic			0.627267594126211	0.0507761917748413	0	-0.143915516303622	0.849780111095806	0	0.279361904954744	0.710486343620987	0	0.169487309994253	0.781225809764656	0	1.27277886265698	0.561956723876312	E	E	E	E	E	E								NA			M354T993	353.952766586357	993.269495163592			14	4	@M311.9311T993.74|+(CH2N2)|@M331.971T993.73|+Na|@M371.9634T993.65|-(H2O)
M354.9369T993.71	hilic			0.336848998224504	0.0141950182008057	1	-0.0213124888216392	0.992898479674978	0	0.136256841541002	0.707492765175304	0	0.108466127246576	0.689733437724332	0	1.6208796567408	0.644714064958371	E	E	E	E	E	E								NA			M355T994	354.936919661583	993.708349613207	[501][M]2-		14	4	@M311.9311T993.74|+(NHCO)|@M332.955T993.68|+Na|@M356.9522T993.69_2|-(H2)|@M371.9634T993.65|-(NH3)|-NH3|@M414.9696T993.96|-(NH3)-(CONH)|@M415.9535T993.65|-(NH3)-(CO2)|@M422.9247T993.63|-(HCOONa)
M355.921T993.74_1	hilic			0.29139902689127	0.0182081708605217	1	0.00108764761136371	0.926508711501667	0	0.152468675558087	0.669402640279727	0	0.133951067741261	0.557754886739457	0	1.5841100352762	0.818481970221092	E	E	E	E	E	E								NA			M356T994_1	355.920983716683	993.740366600783	[504][M]2-		14	4	@M311.9311T993.74|+(CO2)|@M333.939T993.65|+Na|@M356.9244T993.75_1|-13C|@M377.903T993.63_1|-Na|@M407.9196T993.27_1|-(H2S)-(H2O)|@M415.9535T993.65|-(NH3)-(CONH)|@M416.9377T993.76|-(NH3)-(CO2)
M356.9244T993.75_1	hilic			0.387771823357369	0.030229172442147	1	-0.104298644748351	0.765404455324697	0	0.0864058000741181	0.889429157853088	0	0.172245124130608	0.691467390499496	0	1.4761880647642	0.179379802414759	E	E	E	E	E	E								NA			M357T994_1	356.924429072643	993.754546678487	[504][M+2]2-		14	4	@M355.921T993.74_1|+13C
M356.9522T993.69_2	hilic			0.459420638055894	0.00654588582086806	1	-0.00871872086282011	0.942930559969233	0	0.134325246550212	0.791970140853069	0	0.238914814205458	0.494643550120884	0	1.80709857499965	0.383051303189584	E	E	E	E	E	E								NA			M357T994_2	356.952168044075	993.692086335363		[M+Cl+NH3]- 304.956	14	4	@M288.965T993.72|+(HCOONa)|@M311.9311T993.74|+(NH3CO)|@M339.9259T993.63|+(NH3)|+NH3|@M354.9369T993.71|+(H2)
M371.9634T993.65	hilic			0.344164528156504	0.0137231667996302	1	-0.0236259993628742	0.997072622640083	0	0.128155558036543	0.710486343620987	0	0.10075762829781	0.709214249439681	0	1.64630346413572	0.61903145548764	E	E	E	E	E	E								NA			M372T994	371.963448270527	993.654472327856		[M+Cl]- 336.99 [M+Cl]- 336.99	14	4	@M311.9311T993.74|+(NH3)+(CONH)|@M353.9528T993.27|+(H2O)|@M354.9369T993.71|+(NH3)|+NH3|@M414.9696T993.96|-(NHCO)
M377.903T993.63_1	hilic			0.357117269414466	0.0128454558978072	1	-0.0294376280360353	0.989889207880578	0	0.146910255653935	0.691778758549274	0	0.0893987258778672	0.747801270349891	0	1.65230854781446	0.71810346957529	E	E	E	E	E	E								NA			M378T994_1	377.90295428712	993.629043358679	[527][M]2-		14	4	@M355.921T993.74_1|+Na|@M379.9186T993.44|-(H2)|@M394.9294T993.71|-(NH3)|-NH3|@M399.8847T993.91|-Na|@M422.9247T993.63|-(NH3CO)|@M437.9355T993.58|-(NH3)-(CONH)|@M438.9195T993.72|-(NH3)-(CO2)|@M439.9035T993.75|-(H2O)-(CO2)
M379.9186T993.44	hilic			0.354486768361385	0.0163281669159065	1	-0.0512827164495064	0.926508711501667	0	0.141158143981205	0.689417577133437	0	0.10375454997458	0.689025136495047	0	1.61307669357814	0.773292906274004	E	E	E	E	E	E								NA			M380T993	379.918571057623	993.437975620867			14	4	@M311.9311T993.74|+(HCOONa)|@M377.903T993.63_1|+(H2)|@M422.9247T993.63|-(NHCO)
M394.9294T993.71	hilic			0.366020689949679	0.0138854438733597	1	-0.0213350755352018	0.98700728485085	0	0.160307953137821	0.686395526964472	0	0.109927628891413	0.703674620929307	0	1.62239645460884	0.728862408832692	E	E	E	E	E	E								NA			M395T994	394.929407472301	993.708349613207			14	4	@M377.903T993.63_1|+(NH3)|+NH3|@M422.9247T993.63|-(CO)|@M437.9355T993.58|-(NHCO)|@M438.9195T993.72|-(CO2)|@M454.9621T993.67|-(NH3)-(CONH)
M399.8847T993.91	hilic			0.310069422560927	0.0715115470480882	0	-0.0414658012197577	0.959226570227792	0	0.0778207255782082	0.843274638324182	0	0.0888228246145228	0.769953265617768	0	1.24182976948904	0.225414575250439	E	E	E	E	E	E								NA			M400T994	399.884718431303	993.91142682262		[M+Cl+HCOOH]- 318.919	14	4	@M377.903T993.63_1|+Na|@M417.8957T993.88|-(H2O)|@M461.8857T993.69_1|-(H2O)-(CO2)
M407.9196T993.27_1	hilic			0.919905941601719	0.00585331008879657	1	0.0306203073686699	0.844536137693338	0	0.284892038881576	0.760461504137407	0	0.324567725297875	0.649240372911729	0	1.77968563454476	0.517534179482117	E	E	E	E	E	E								NA			M408T993_1	407.919624235182	993.272966075471		[M+Cl+NaCOOH]- 304.956	14	4	@M355.921T993.74_1|+(H2S)+(H2O)
M408.9035T993.38	hilic			0.634484327459312	0.00712119265808972	1	-0.0483717422047008	0.995144959772625	0	0.251572874142564	0.695173805463846	0	0.190895904434544	0.688093630652031	0	1.75709225434892	0.75393585943035	E	E	E	E	E	E								NA			M409T993	408.903460767017	993.378198166511		[M-H+NaCOOH]- 341.922	14	4	@M430.8853T993.4|-Na|@M460.9017T993.71|-(H2S)-(H2O)|@M500.8942T993.65|-(CH2S)-(HCOOH)
M414.9696T993.96	hilic			0.415293923816272	0.0113190617161261	1	-0.0427436959456706	0.967615309700489	0	0.16500071773144	0.689417577133437	0	0.0789972010521893	0.808951666686397	0	1.66735347349249	0.719927377839512	E	E	E	E	E	E								NA			M415T994	414.969616543899	993.96257640954		[M+Cl]- 379.997	14	4	@M354.9369T993.71|+(NH3)+(CONH)|@M371.9634T993.65|+(NHCO)
M415.9535T993.65	hilic			0.313291194836186	0.0212909306612393	1	0.0639745849691646	0.633042856924226	0	0.13688480143119	0.760461504137407	0	0.158952986998141	0.645535817965526	0	1.46432719482086	0.508250223022194	E	E	E	E	E	E								NA			M416T994	415.953511359147	993.649723531854			14	4	@M354.9369T993.71|+(NH3)+(CO2)|@M355.921T993.74_1|+(NH3)+(CONH)
M416.9377T993.76	hilic			0.363209474536314	0.0180336904796259	1	0.02478275637195	0.833894411689224	0	0.17228896078457	0.687578498977605	0	0.205201963654634	0.442584942458151	0	1.48822916650517	0.731458796378217	E	E	E	E	E	E								NA			M417T994	416.937684805425	993.759195061012		[M-2H+K]- 379.997	14	4	@M355.921T993.74_1|+(NH3)+(CO2)|@M438.9195T993.72|-Na
M417.8957T993.88	hilic			0.283511426450094	0.0227569281655163	1	-0.0250528199951709	0.984027593961255	0	0.106315151360267	0.71506035884592	0	0.0769122133786695	0.739662938609319	0	1.55767281161405	0.59620879034999	E	E	E	E	E	E								NA			M418T994	417.895674588641	993.884055541235	[560][M]-	[M-H+NH3]- 401.877	14	4	@M399.8847T993.91|+(H2O)|@M419.8939T993.37|-34S|-41K|-37Cl|@M460.9017T993.71|-(NHCO)|@M461.8857T993.69_1|-(CO2)|@M477.9281T993.68|-(NH3)-(CONH)
M419.8939T993.37	hilic			0.743163744915254	0.00943601484300885	1	-0.000180105469670622	0.916410118300275	0	0.294269488528666	0.697538172984374	0	0.241588620361778	0.662776453634283	0	1.65398986675798	0.754076307618445	E	E	E	E	E	E								NA			M420T993	419.893897154949	993.372411702523	[560][M+2]-		14	4	@M331.971T993.73|+4Na|@M339.9259T993.63|+(HPO3)|@M417.8957T993.88|+34S|+41K|+37Cl
M422.9247T993.63	hilic			0.380410545666676	0.0104815606157024	1	0.0154733831743634	0.858286755703394	0	0.128639688693861	0.726443531325023	0	0.173336727567833	0.500039376671413	0	1.69304414841643	0.534805682585217	E	E	E	E	E	E								NA			M423T994	422.924747460405	993.629043358679			14	4	@M354.9369T993.71|+(HCOONa)|@M377.903T993.63_1|+(NH3CO)|@M379.9186T993.44|+(NHCO)|@M394.9294T993.71|+(CO)
M430.8853T993.4	hilic			0.650703236723938	0.0194058842611763	1	-0.0864669426397278	0.945929388489067	0	0.302155884064405	0.682284722682481	0	0.222918731035755	0.663725006524867	0	1.468910669702	0.818557880323357	E	E	E	E	E	E								NA			M431T993	430.885347527591	993.398323466354			14	4	@M408.9035T993.38|+Na|@M606.8586T993.49|-2(HCOOH)-(HCOOK)
M437.9355T993.58	hilic			0.410081914079701	0.00893231029038178	1	-0.00506763325177673	0.938680560121365	0	0.148903898002494	0.710633166361482	0	0.13056421547304	0.675532296761083	0	1.72660159886773	0.63138772830509	E	E	E	E	E	E								NA			M438T994	437.935521273199	993.583219073193		[M-H+CF3COOH]- 304.956	14	4	@M377.903T993.63_1|+(NH3)+(CONH)|@M394.9294T993.71|+(NHCO)|@M454.9621T993.67|-(NH3)|-NH3
M438.9195T993.72	hilic			0.360289818514474	0.0119347137941927	1	0.00630024431005438	0.896420452974741	0	0.182466723663968	0.662564579099916	0	0.158099434564189	0.552881017967979	0	1.65462618582572	0.864503312110211	E	E	E	E	E	E								NA			M439T994	438.919504979685	993.717545998828			14	4	@M377.903T993.63_1|+(NH3)+(CO2)|@M394.9294T993.71|+(CO2)|@M416.9377T993.76|+Na|@M460.9017T993.71|-Na
M439.9035T993.75	hilic			0.292934335527637	0.0141950182008057	1	0.00388043653123304	0.908586029650489	0	0.144177498417715	0.682440367449958	0	0.136241025730012	0.552499062334218	0	1.65957196986279	0.751967276046171	E	E	E	E	E	E								NA			M440T994	439.903529290481	993.746284062693	[576][M]2-		14	4	@M377.903T993.63_1|+(H2O)+(CO2)|@M461.8857T993.69_1|-Na|@M483.8675T993.71|-2Na|@M505.8491T993.86|-3Na|@M523.8599T993.73|-(HCOOK)
M454.9621T993.67	hilic			0.460596374346355	0.0280078279741468	1	-0.103233194554479	0.830894207230067	0	0.214394247659783	0.672118130820637	0	0.140634469582137	0.692535965842091	0	1.38939080889217	0.785863364520779	E	E	E	E	E	E								NA			M455T994	454.96205738191	993.667072785901			14	4	@M394.9294T993.71|+(NH3)+(CONH)|@M437.9355T993.58|+(NH3)|+NH3
M460.9017T993.71	hilic			0.414575491465072	0.00884273438178421	1	-0.0376078615550774	0.980384878093586	0	0.172832861729365	0.683725710938505	0	0.107476372612016	0.725341092282145	0	1.72089446993794	0.765450360963188	E	E	E	E	E	E								NA			M461T994	460.901727616172	993.708349613207	[582][M]2-		14	4	@M344.9169T993.37|+(H3PO4)+(H2O)|@M408.9035T993.38|+(H2S)+(H2O)|@M417.8957T993.88|+(NHCO)|@M438.9195T993.72|+Na|@M477.9281T993.68|-(NH3)|-NH3|@M520.9338T993.54|-(NH3)-(CONH)|@M521.9179T993.73|-(NH3)-(CO2)|@M522.9018T993.75|-(H2O)-(CO2)|@M528.889T993.54|-(HCOONa)
